r,C_d
0.000000000000000000e+00,5.694896622541744335e+00
1.000000000000000000e+00,2.507989521778022368e+00
2.000000000000000000e+00,2.192531085590441631e+00
3.000000000000000000e+00,2.021460758249606915e+00
4.000000000000000000e+00,1.857614803364320499e+00
5.000000000000000000e+00,1.723768059474049874e+00
6.000000000000000000e+00,1.612120831598056636e+00
7.000000000000000000e+00,1.517390401854142201e+00
8.000000000000000000e+00,1.435641399284928843e+00
9.000000000000000000e+00,1.364051507817104714e+00
1.000000000000000000e+01,1.300573663673309843e+00
1.100000000000000000e+01,1.243695795887140854e+00
1.200000000000000000e+01,1.192278340254533164e+00
1.300000000000000000e+01,1.145445724631390494e+00
1.400000000000000000e+01,1.102512019976712443e+00
1.500000000000000000e+01,1.062931711880627406e+00
1.600000000000000000e+01,1.026263506030762329e+00
1.700000000000000000e+01,9.921452224933249298e-01
1.800000000000000000e+01,9.602759244669993866e-01
1.900000000000000000e+01,9.304033578066320809e-01
2.000000000000000000e+01,9.023134564711383643e-01
2.100000000000000000e+01,8.758226787754307407e-01
2.200000000000000000e+01,8.507738210605416684e-01
2.300000000000000000e+01,8.270303363824481613e-01
2.400000000000000000e+01,8.044725550660529745e-01
2.500000000000000000e+01,7.829952497349311757e-01
2.600000000000000000e+01,7.625053464003038739e-01
2.700000000000000000e+01,7.429204240328278752e-01
2.800000000000000000e+01,7.241664879155914614e-01
2.900000000000000000e+01,7.061773876071337774e-01
3.000000000000000000e+01,6.888933132422279115e-01
3.100000000000000000e+01,6.722600888091360138e-01
3.200000000000000000e+01,6.562282882713210697e-01
3.300000000000000000e+01,6.407527542794977382e-01
3.400000000000000000e+01,6.257920217916611572e-01
3.500000000000000000e+01,6.113078759106217452e-01
3.600000000000000000e+01,5.972648465011975993e-01
3.700000000000000000e+01,5.836298032820430581e-01
3.800000000000000000e+01,5.703717105911885188e-01
3.900000000000000000e+01,5.574613496340077301e-01
4.000000000000000000e+01,5.448710736021491474e-01
4.100000000000000000e+01,5.325743990496947244e-01
4.200000000000000000e+01,5.205461266154990385e-01
4.300000000000000000e+01,5.087617004749555027e-01
4.400000000000000000e+01,4.971974205793796564e-01
4.500000000000000000e+01,4.858298857218541489e-01
4.600000000000000000e+01,4.746360007485312948e-01
4.700000000000000000e+01,4.635923923941080993e-01
4.800000000000000000e+01,4.526762159208544967e-01
4.900000000000000000e+01,4.418637931885225356e-01
5.000000000000000000e+01,4.311302562301866370e-01
5.100000000000000000e+01,4.204499403046118022e-01
5.200000000000000000e+01,4.097958476062515953e-01
5.300000000000000000e+01,3.991387442614509617e-01
5.400000000000000000e+01,3.884470203783183528e-01
5.500000000000000000e+01,3.776857833352211258e-01
5.600000000000000000e+01,3.668164283378383961e-01
5.700000000000000000e+01,3.557950930408413370e-01
5.800000000000000000e+01,3.445722856957800229e-01
5.900000000000000000e+01,3.330905259180824696e-01
6.000000000000000000e+01,3.212824892595315673e-01
6.100000000000000000e+01,3.090701618898146763e-01
6.200000000000000000e+01,2.963624940558611254e-01
