site,n_tilde
0.000000000000000000e+00,5.103153849854177970e+00
1.000000000000000000e+00,5.610147550591974230e+00
2.000000000000000000e+00,5.934232861850979646e+00
3.000000000000000000e+00,5.907646403603039609e+00
4.000000000000000000e+00,5.835641481419731491e+00
5.000000000000000000e+00,5.767070820450303614e+00
6.000000000000000000e+00,5.717948192954882991e+00
7.000000000000000000e+00,5.686266460503555109e+00
8.000000000000000000e+00,5.667169896376651472e+00
9.000000000000000000e+00,5.656231255028032479e+00
1.000000000000000000e+01,5.650268814237303872e+00
1.100000000000000000e+01,5.647204574191794890e+00
1.200000000000000000e+01,5.645758459683518637e+00
1.300000000000000000e+01,5.645174557343324295e+00
1.400000000000000000e+01,5.645022587650021073e+00
1.500000000000000000e+01,5.645067074214036751e+00
1.600000000000000000e+01,5.645185174304990561e+00
1.700000000000000000e+01,5.645317102988958169e+00
1.800000000000000000e+01,5.645436913183589311e+00
1.900000000000000000e+01,5.645535826790908374e+00
2.000000000000000000e+01,5.645613268847892385e+00
2.100000000000000000e+01,5.645671815174366337e+00
2.200000000000000000e+01,5.645714985915002870e+00
2.300000000000000000e+01,5.645746406991531074e+00
2.400000000000000000e+01,5.645769214695735450e+00
2.500000000000000000e+01,5.645785797014307050e+00
2.600000000000000000e+01,5.645797744205345303e+00
2.700000000000000000e+01,5.645806295249788498e+00
2.800000000000000000e+01,5.645812543960765595e+00
2.900000000000000000e+01,5.645817108542610541e+00
3.000000000000000000e+01,5.645820361674672938e+00
3.100000000000000000e+01,5.645822688598662431e+00
3.200000000000000000e+01,5.645824374784204736e+00
3.300000000000000000e+01,5.645825630325109756e+00
3.400000000000000000e+01,5.645826480731837904e+00
3.500000000000000000e+01,5.645827076247247334e+00
3.600000000000000000e+01,5.645827552638293056e+00
3.700000000000000000e+01,5.645827857733942245e+00
3.800000000000000000e+01,5.645828101820590916e+00
3.900000000000000000e+01,5.645828314199070164e+00
4.000000000000000000e+01,5.645828356303258744e+00
4.100000000000000000e+01,5.645828113491743849e+00
4.200000000000000000e+01,5.645827815310660469e+00
4.300000000000000000e+01,5.645827528118214644e+00
4.400000000000000000e+01,5.645827031944538277e+00
4.500000000000000000e+01,5.645826143575153111e+00
4.600000000000000000e+01,5.645824819826550822e+00
4.700000000000000000e+01,5.645823148629175670e+00
4.800000000000000000e+01,5.645821067355406342e+00
4.900000000000000000e+01,5.645818122977811271e+00
5.000000000000000000e+01,5.645813963054138185e+00
5.100000000000000000e+01,5.645808192350131094e+00
5.200000000000000000e+01,5.645800176802124426e+00
5.300000000000000000e+01,5.645789069019707007e+00
5.400000000000000000e+01,5.645773734492882667e+00
5.500000000000000000e+01,5.645752557201014099e+00
5.600000000000000000e+01,5.645723260908998675e+00
5.700000000000000000e+01,5.645682867282434181e+00
5.800000000000000000e+01,5.645628079732166071e+00
5.900000000000000000e+01,5.645555117382575538e+00
6.000000000000000000e+01,5.645461017377559898e+00
6.100000000000000000e+01,5.645345560055481826e+00
6.200000000000000000e+01,5.645215370196122961e+00
6.300000000000000000e+01,5.645091747100691393e+00
6.400000000000000000e+01,5.645025739797491227e+00
6.500000000000000000e+01,5.645124021272796000e+00
6.600000000000000000e+01,5.645593480302334655e+00
6.700000000000000000e+01,5.646815613307756720e+00
6.800000000000000000e+01,5.649465726608401184e+00
6.900000000000000000e+01,5.654696349987323956e+00
7.000000000000000000e+01,5.664396091765773633e+00
7.100000000000000000e+01,5.681495962128142452e+00
7.200000000000000000e+01,5.710170742294765844e+00
7.300000000000000000e+01,5.755310490269454959e+00
7.400000000000000000e+01,5.819889220729466572e+00
7.500000000000000000e+01,5.893255084758942886e+00
7.600000000000000000e+01,5.934323630150961648e+00
7.700000000000000000e+01,5.716582875832774135e+00
7.800000000000000000e+01,5.242663465846079340e+00
