r,C_nn
0.000000000000000000e+00,8.991420771311826599e-01
1.000000000000000000e+00,-4.210769944013743604e-01
2.000000000000000000e+00,-1.527608244947931126e-02
3.000000000000000000e+00,-1.365475048828912463e-02
4.000000000000000000e+00,-3.388499291784086154e-03
5.000000000000000000e+00,-1.565431189047394867e-03
6.000000000000000000e+00,-6.243038793813937559e-04
7.000000000000000000e+00,-2.002255925646068135e-04
8.000000000000000000e+00,2.439363817874351525e-05
9.000000000000000000e+00,1.438595206471049437e-04
1.000000000000000000e+01,2.019982180883062028e-04
1.100000000000000000e+01,2.245313153457217936e-04
1.200000000000000000e+01,2.270149236123231162e-04
1.300000000000000000e+01,2.176051714810611770e-04
1.400000000000000000e+01,2.016845789336585426e-04
1.500000000000000000e+01,1.824681885702617024e-04
1.600000000000000000e+01,1.621603622190548322e-04
1.700000000000000000e+01,1.425270879478190977e-04
1.800000000000000000e+01,1.249673083894009551e-04
1.900000000000000000e+01,1.103024809525621208e-04
2.000000000000000000e+01,9.877535056190822615e-05
2.100000000000000000e+01,8.926834223377255739e-05
2.200000000000000000e+01,7.994029846791761429e-05
2.300000000000000000e+01,7.054144918505755868e-05
2.400000000000000000e+01,6.159836122243689260e-05
2.500000000000000000e+01,5.337352635503833653e-05
2.600000000000000000e+01,4.605807287028085284e-05
2.700000000000000000e+01,3.966245299213966291e-05
2.800000000000000000e+01,3.415566539199943463e-05
2.900000000000000000e+01,2.947154160892750951e-05
3.000000000000000000e+01,2.551443156129096224e-05
3.100000000000000000e+01,2.218729762315518883e-05
3.200000000000000000e+01,1.939618038715451576e-05
3.300000000000000000e+01,1.705476462809940585e-05
3.400000000000000000e+01,1.509197133131578994e-05
3.500000000000000000e+01,1.344810710435240253e-05
3.600000000000000000e+01,1.207034893635494655e-05
3.700000000000000000e+01,1.091189160185024321e-05
3.800000000000000000e+01,9.931162090914824603e-06
3.900000000000000000e+01,9.082369853530281034e-06
4.000000000000000000e+01,8.309115981930403905e-06
4.100000000000000000e+01,7.554338518289682725e-06
4.200000000000000000e+01,6.756835333021626866e-06
4.300000000000000000e+01,5.911330096530775791e-06
4.400000000000000000e+01,5.146537347400226281e-06
4.500000000000000000e+01,4.529994924062918926e-06
4.600000000000000000e+01,4.041791251907511651e-06
4.700000000000000000e+01,3.636688239438967685e-06
4.800000000000000000e+01,3.263070611048135561e-06
4.900000000000000000e+01,2.892059971948413022e-06
5.000000000000000000e+01,2.514716923585069708e-06
5.100000000000000000e+01,2.111270788418551092e-06
5.200000000000000000e+01,1.655926931576345851e-06
5.300000000000000000e+01,1.141023984629896404e-06
5.400000000000000000e+01,5.750038445384575425e-07
5.500000000000000000e+01,-2.028096002248958030e-08
5.600000000000000000e+01,-5.934697249188047863e-07
5.700000000000000000e+01,-1.053543867257644706e-06
5.800000000000000000e+01,-1.275801767341988580e-06
5.900000000000000000e+01,-1.124284821685250790e-06
6.000000000000000000e+01,-5.220781575943078678e-07
6.100000000000000000e+01,4.944539799822678106e-07
6.200000000000000000e+01,1.743793013986305596e-06
6.300000000000000000e+01,2.907995094503235123e-06
