site,n
0.000000000000000000e+00,1.232233579121591260e+00
1.000000000000000000e+00,1.712151487045144416e+00
2.000000000000000000e+00,1.955505499672571590e+00
3.000000000000000000e+00,2.051387946089251901e+00
4.000000000000000000e+00,2.090348268968786449e+00
5.000000000000000000e+00,2.104797237274549815e+00
6.000000000000000000e+00,2.109972413709198857e+00
7.000000000000000000e+00,2.110718623580821074e+00
8.000000000000000000e+00,2.108108939701238249e+00
9.000000000000000000e+00,2.102277158471719254e+00
1.000000000000000000e+01,2.093648726386742265e+00
1.100000000000000000e+01,2.083153497208451999e+00
1.200000000000000000e+01,2.071909560290465802e+00
1.300000000000000000e+01,2.060840967183826145e+00
1.400000000000000000e+01,2.050560664669831112e+00
1.500000000000000000e+01,2.041382061073704790e+00
1.600000000000000000e+01,2.033359884061842315e+00
1.700000000000000000e+01,2.026395361832625586e+00
1.800000000000000000e+01,2.020333422840578930e+00
1.900000000000000000e+01,2.015134796938292894e+00
2.000000000000000000e+01,2.010848103449925706e+00
2.100000000000000000e+01,2.007345231128977225e+00
2.200000000000000000e+01,2.004405875483889599e+00
2.300000000000000000e+01,2.001858850761568664e+00
2.400000000000000000e+01,1.999566522323544371e+00
2.500000000000000000e+01,1.997444642557078875e+00
2.600000000000000000e+01,1.995610768553757630e+00
2.700000000000000000e+01,1.994298583310881945e+00
2.800000000000000000e+01,1.993487776902058917e+00
2.900000000000000000e+01,1.993021985829596776e+00
3.000000000000000000e+01,1.992795903076521880e+00
3.100000000000000000e+01,1.992726998274429340e+00
3.200000000000000000e+01,1.992755839823171726e+00
3.300000000000000000e+01,1.992840581286881019e+00
3.400000000000000000e+01,1.992952068599655346e+00
3.500000000000000000e+01,1.993070403247489519e+00
3.600000000000000000e+01,1.993182247508076044e+00
3.700000000000000000e+01,1.993278744899212418e+00
3.800000000000000000e+01,1.993354275550800025e+00
3.900000000000000000e+01,1.993405572880493581e+00
4.000000000000000000e+01,1.993431135003210786e+00
4.100000000000000000e+01,1.993430986902759994e+00
4.200000000000000000e+01,1.993406493714043659e+00
4.300000000000000000e+01,1.993360631122792936e+00
4.400000000000000000e+01,1.993298254382702916e+00
4.500000000000000000e+01,1.993226658025777143e+00
4.600000000000000000e+01,1.993156563538586834e+00
4.700000000000000000e+01,1.993103393642848831e+00
4.800000000000000000e+01,1.993089344505498239e+00
4.900000000000000000e+01,1.993145937198080642e+00
5.000000000000000000e+01,1.993317753982934759e+00
5.100000000000000000e+01,1.993666981698744456e+00
5.200000000000000000e+01,1.994278866293957675e+00
5.300000000000000000e+01,1.995261240529856206e+00
5.400000000000000000e+01,1.996772631738914727e+00
5.500000000000000000e+01,1.998834859305671952e+00
5.600000000000000000e+01,2.001217184651196135e+00
5.700000000000000000e+01,2.003806099631912030e+00
5.800000000000000000e+01,2.006690031845530520e+00
5.900000000000000000e+01,2.010009959069761543e+00
6.000000000000000000e+01,2.013941801121474917e+00
6.100000000000000000e+01,2.018685307803433027e+00
6.200000000000000000e+01,2.024476751845788680e+00
6.300000000000000000e+01,2.031453954693946073e+00
6.400000000000000000e+01,2.039582621101236448e+00
6.500000000000000000e+01,2.048849294294206480e+00
6.600000000000000000e+01,2.059222859828883312e+00
6.700000000000000000e+01,2.070490265266772489e+00
6.800000000000000000e+01,2.082113464511142542e+00
6.900000000000000000e+01,2.093115908457414243e+00
7.000000000000000000e+01,2.102300256227131570e+00
7.100000000000000000e+01,2.108668181595094726e+00
7.200000000000000000e+01,2.111700278544411002e+00
7.300000000000000000e+01,2.111206361597651071e+00
7.400000000000000000e+01,2.106128063264787187e+00
7.500000000000000000e+01,2.091700817116637356e+00
7.600000000000000000e+01,2.052764374853105256e+00
7.700000000000000000e+01,1.956993526409819939e+00
7.800000000000000000e+01,1.713247102341430850e+00
7.900000000000000000e+01,1.234382730771641512e+00
