r,C_j
0.000000000000000000e+00,6.300601393348443935e+01
1.000000000000000000e+00,-2.818503863298708367e+01
2.000000000000000000e+00,2.085395396764978315e+00
3.000000000000000000e+00,1.020215103755226949e+00
4.000000000000000000e+00,1.395405285236606119e-01
5.000000000000000000e+00,4.564314097574140305e-02
6.000000000000000000e+00,1.774762899767878821e-02
7.000000000000000000e+00,1.022832708990506489e-02
8.000000000000000000e+00,7.701925800461140170e-03
9.000000000000000000e+00,6.101272465782514587e-03
1.000000000000000000e+01,4.803351813031042639e-03
1.100000000000000000e+01,3.761321268964223918e-03
1.200000000000000000e+01,2.911272719613222648e-03
1.300000000000000000e+01,2.229202400393148764e-03
1.400000000000000000e+01,1.679165006107652403e-03
1.500000000000000000e+01,1.282281108053950902e-03
1.600000000000000000e+01,9.928457763308529138e-04
1.700000000000000000e+01,7.780250364177732081e-04
1.800000000000000000e+01,6.217803075205807772e-04
1.900000000000000000e+01,4.996413470532701240e-04
2.000000000000000000e+01,4.028241841602664408e-04
2.100000000000000000e+01,3.246557553318041300e-04
2.200000000000000000e+01,2.615424651786213417e-04
2.300000000000000000e+01,2.098534927874595724e-04
2.400000000000000000e+01,1.670125088715224138e-04
2.500000000000000000e+01,1.312213933886141604e-04
2.600000000000000000e+01,1.011393252099423989e-04
2.700000000000000000e+01,7.692414666848890192e-05
2.800000000000000000e+01,5.791044199909833878e-05
2.900000000000000000e+01,4.357307991043057882e-05
3.000000000000000000e+01,3.333346667666603480e-05
3.100000000000000000e+01,2.646455418009452387e-05
3.200000000000000000e+01,2.153259997150769323e-05
3.300000000000000000e+01,1.794512851738261361e-05
3.400000000000000000e+01,1.519593527277152134e-05
3.500000000000000000e+01,1.286022833291156076e-05
3.600000000000000000e+01,1.082939970586949130e-05
3.700000000000000000e+01,9.057236395548784458e-06
3.800000000000000000e+01,7.464580868088432908e-06
3.900000000000000000e+01,6.074140676659567362e-06
4.000000000000000000e+01,4.880230846993072191e-06
4.100000000000000000e+01,3.868468747114661710e-06
4.200000000000000000e+01,3.025913198229090995e-06
4.300000000000000000e+01,2.334213499821657933e-06
4.400000000000000000e+01,1.791967646269654324e-06
4.500000000000000000e+01,1.376263405461486400e-06
4.600000000000000000e+01,1.058927519892449709e-06
4.700000000000000000e+01,8.241346609594302208e-07
4.800000000000000000e+01,6.414740774118854461e-07
4.900000000000000000e+01,5.084947556355245979e-07
5.000000000000000000e+01,4.033243712342482468e-07
5.100000000000000000e+01,3.209817904803458077e-07
5.200000000000000000e+01,2.567363566186031676e-07
5.300000000000000000e+01,2.051051293250338858e-07
5.400000000000000000e+01,1.642661207057471984e-07
5.500000000000000000e+01,1.313391333468416633e-07
5.600000000000000000e+01,1.053453573263141152e-07
5.700000000000000000e+01,8.433937104257438477e-08
5.800000000000000000e+01,6.835736598986841273e-08
5.900000000000000000e+01,5.544180048389080184e-08
6.000000000000000000e+01,4.507266204711868340e-08
6.100000000000000000e+01,3.665551950859935459e-08
