r,C_n
0.000000000000000000e+00,8.854239233879397375e+00
1.000000000000000000e+00,-1.128337423255786121e+00
2.000000000000000000e+00,-4.107458763310461336e+00
3.000000000000000000e+00,-1.351864001474645249e+00
4.000000000000000000e+00,-1.211118116743215012e+00
5.000000000000000000e+00,-1.074286061847196549e+00
6.000000000000000000e+00,-1.016193261777701196e+00
7.000000000000000000e+00,-9.708065939773433684e-01
8.000000000000000000e+00,-9.319342895881348454e-01
9.000000000000000000e+00,-8.989552204454653861e-01
1.000000000000000000e+01,-8.695031791016845091e-01
1.100000000000000000e+01,-8.445989307731167628e-01
1.200000000000000000e+01,-8.222920835812033147e-01
1.300000000000000000e+01,-8.022395372196484686e-01
1.400000000000000000e+01,-7.844855738458207384e-01
1.500000000000000000e+01,-7.707827900191119852e-01
1.600000000000000000e+01,-7.583922236262807814e-01
1.700000000000000000e+01,-7.472547571406238376e-01
1.800000000000000000e+01,-7.392961742435915085e-01
1.900000000000000000e+01,-7.319275107750300435e-01
2.000000000000000000e+01,-7.262372574337874198e-01
2.100000000000000000e+01,-7.205203032840614696e-01
2.200000000000000000e+01,-7.157180056888350350e-01
2.300000000000000000e+01,-7.102870688622502371e-01
2.400000000000000000e+01,-7.056084892251561769e-01
2.500000000000000000e+01,-7.003597430722621198e-01
2.600000000000000000e+01,-6.940554527421625153e-01
2.700000000000000000e+01,-6.883783482527618958e-01
2.800000000000000000e+01,-6.829282168868289205e-01
2.900000000000000000e+01,-6.780932446311140893e-01
3.000000000000000000e+01,-6.744226000598487758e-01
3.100000000000000000e+01,-6.724669662423679029e-01
3.200000000000000000e+01,-6.725998594652935481e-01
3.300000000000000000e+01,-6.749210201080373395e-01
3.400000000000000000e+01,-6.792614005412573874e-01
3.500000000000000000e+01,-6.852980359090921070e-01
3.600000000000000000e+01,-6.938156963544699352e-01
3.700000000000000000e+01,-7.025190711718209968e-01
3.800000000000000000e+01,-7.118832886619159694e-01
3.900000000000000000e+01,-7.205799291057246592e-01
4.000000000000000000e+01,-7.294592318392147945e-01
4.100000000000000000e+01,-7.375568404154861923e-01
4.200000000000000000e+01,-7.462598617058233685e-01
4.300000000000000000e+01,-7.544858024782570283e-01
4.400000000000000000e+01,-7.646387213701189012e-01
4.500000000000000000e+01,-7.754055307759983862e-01
4.600000000000000000e+01,-7.862679550633515646e-01
4.700000000000000000e+01,-7.994935427053704302e-01
4.800000000000000000e+01,-8.138179573369725972e-01
4.900000000000000000e+01,-8.286639213773696611e-01
5.000000000000000000e+01,-8.459716570363653432e-01
5.100000000000000000e+01,-8.639168126756615607e-01
5.200000000000000000e+01,-8.856537118847711554e-01
5.300000000000000000e+01,-9.085154680838343211e-01
5.400000000000000000e+01,-9.317234303617851765e-01
5.500000000000000000e+01,-9.563498811390473975e-01
5.600000000000000000e+01,-9.857268921522859273e-01
5.700000000000000000e+01,-1.020097234110494355e+00
5.800000000000000000e+01,-1.060089701169012244e+00
5.900000000000000000e+01,-1.101723029987844882e+00
6.000000000000000000e+01,-1.135699570385803270e+00
6.100000000000000000e+01,-1.155487353076807722e+00
6.200000000000000000e+01,-1.169046795388034354e+00
