r,C_j
0.000000000000000000e+00,5.918648229294253937e+00
1.000000000000000000e+00,-1.826839671013857913e-01
2.000000000000000000e+00,3.203468322514051864e-02
3.000000000000000000e+00,2.611132485306484619e-03
4.000000000000000000e+00,-1.943385338730570233e-03
5.000000000000000000e+00,6.230327461434204128e-04
6.000000000000000000e+00,-2.734776000873281876e-04
7.000000000000000000e+00,9.941909013923971861e-05
8.000000000000000000e+00,-1.971301919026502425e-05
9.000000000000000000e+00,-3.579190266306264689e-06
1.000000000000000000e+01,1.499139473871979877e-06
1.100000000000000000e+01,-8.510732756386585329e-07
1.200000000000000000e+01,3.191470151694963953e-07
1.300000000000000000e+01,-9.268228134268197138e-08
1.400000000000000000e+01,1.236991051256630669e-08
1.500000000000000000e+01,5.353235237037790029e-09
1.600000000000000000e+01,-2.632152128201337149e-09
1.700000000000000000e+01,1.226290187450462810e-09
1.800000000000000000e+01,-4.326786914865543565e-10
1.900000000000000000e+01,8.059852091291119791e-11
2.000000000000000000e+01,-7.010288183284529850e-12
2.100000000000000000e+01,-9.718184590390421818e-12
2.200000000000000000e+01,4.214580073824691908e-12
2.300000000000000000e+01,-1.689808015736815605e-12
2.400000000000000000e+01,5.151434834260726348e-13
2.500000000000000000e+01,-5.912631495519349301e-14
2.600000000000000000e+01,-6.002143226879752547e-15
2.700000000000000000e+01,1.568883911673424336e-14
2.800000000000000000e+01,-6.515621375768887447e-15
2.900000000000000000e+01,2.046973701652632371e-15
3.000000000000000000e+01,-5.828670879282071837e-16
3.100000000000000000e+01,6.938893903907228378e-18
3.200000000000000000e+01,2.081668171172168513e-17
3.300000000000000000e+01,-4.857225732735059864e-17
3.400000000000000000e+01,1.387778780781445676e-17
3.500000000000000000e+01,6.938893903907228378e-18
3.600000000000000000e+01,6.938893903907228378e-18
3.700000000000000000e+01,1.387778780781445676e-17
3.800000000000000000e+01,-1.387778780781445676e-17
3.900000000000000000e+01,6.938893903907228378e-18
4.000000000000000000e+01,-6.938893903907228378e-18
4.100000000000000000e+01,-1.387778780781445676e-17
4.200000000000000000e+01,6.938893903907228378e-18
4.300000000000000000e+01,-6.938893903907228378e-18
4.400000000000000000e+01,6.938893903907228378e-18
4.500000000000000000e+01,6.938893903907228378e-18
4.600000000000000000e+01,0.000000000000000000e+00
4.700000000000000000e+01,-6.938893903907228378e-18
4.800000000000000000e+01,-6.938893903907228378e-18
4.900000000000000000e+01,-1.387778780781445676e-17
5.000000000000000000e+01,-6.938893903907228378e-18
5.100000000000000000e+01,6.938893903907228378e-18
5.200000000000000000e+01,6.938893903907228378e-18
5.300000000000000000e+01,-1.387778780781445676e-17
5.400000000000000000e+01,6.938893903907228378e-18
5.500000000000000000e+01,-6.938893903907228378e-18
5.600000000000000000e+01,-6.938893903907228378e-18
5.700000000000000000e+01,-1.387778780781445676e-17
5.800000000000000000e+01,0.000000000000000000e+00
5.900000000000000000e+01,6.938893903907228378e-18
6.000000000000000000e+01,6.938893903907228378e-18
6.100000000000000000e+01,1.387778780781445676e-17
6.200000000000000000e+01,1.387778780781445676e-17
6.300000000000000000e+01,6.938893903907228378e-18
6.400000000000000000e+01,0.000000000000000000e+00
6.500000000000000000e+01,6.938893903907228378e-18
6.600000000000000000e+01,6.938893903907228378e-18
6.700000000000000000e+01,0.000000000000000000e+00
6.800000000000000000e+01,6.938893903907228378e-18
6.900000000000000000e+01,-2.081668171172168513e-17
7.000000000000000000e+01,6.938893903907228378e-18
7.100000000000000000e+01,1.387778780781445676e-17
7.200000000000000000e+01,-6.938893903907228378e-18
7.300000000000000000e+01,-6.938893903907228378e-18
7.400000000000000000e+01,0.000000000000000000e+00
7.500000000000000000e+01,1.387778780781445676e-17
7.600000000000000000e+01,6.938893903907228378e-18
7.700000000000000000e+01,0.000000000000000000e+00
7.800000000000000000e+01,-6.938893903907228378e-18
7.900000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+01,-6.938893903907228378e-18
8.100000000000000000e+01,0.000000000000000000e+00
8.200000000000000000e+01,-6.938893903907228378e-18
8.300000000000000000e+01,-4.163336342344337027e-17
8.400000000000000000e+01,-6.938893903907228378e-18
8.500000000000000000e+01,-6.938893903907228378e-18
8.600000000000000000e+01,6.938893903907228378e-18
8.700000000000000000e+01,6.938893903907228378e-18
8.800000000000000000e+01,1.387778780781445676e-17
8.900000000000000000e+01,-6.938893903907228378e-18
9.000000000000000000e+01,-6.938893903907228378e-18
9.100000000000000000e+01,6.938893903907228378e-18
9.200000000000000000e+01,0.000000000000000000e+00
9.300000000000000000e+01,0.000000000000000000e+00
9.400000000000000000e+01,-6.938893903907228378e-18
9.500000000000000000e+01,0.000000000000000000e+00
9.600000000000000000e+01,-6.938893903907228378e-18
9.700000000000000000e+01,-6.938893903907228378e-18
9.800000000000000000e+01,0.000000000000000000e+00
9.900000000000000000e+01,-6.938893903907228378e-18
