r,C_nn
0.000000000000000000e+00,8.191063731800991565e-01
1.000000000000000000e+00,-2.052327061000078778e-01
2.000000000000000000e+00,-6.981136070637805613e-02
3.000000000000000000e+00,-7.406671187598190542e-02
4.000000000000000000e+00,-1.314071966539925862e-02
5.000000000000000000e+00,-3.287152106512800098e-03
6.000000000000000000e+00,-1.669587981912629051e-04
7.000000000000000000e+00,-1.360078948703250315e-04
8.000000000000000000e+00,-1.172077144012961814e-04
9.000000000000000000e+00,-1.495307360875886005e-04
1.000000000000000000e+01,-1.125543731328448871e-05
1.100000000000000000e+01,7.327833966219721162e-05
1.200000000000000000e+01,1.185389820699267460e-04
1.300000000000000000e+01,1.084753465341314893e-04
1.400000000000000000e+01,8.246709838322097141e-05
1.500000000000000000e+01,5.321482092024432120e-05
1.600000000000000000e+01,3.446610028690066940e-05
1.700000000000000000e+01,1.939478718626652665e-05
1.800000000000000000e+01,6.771636400726421812e-06
1.900000000000000000e+01,-3.160987123829173129e-06
2.000000000000000000e+01,-8.227005304561885168e-06
2.100000000000000000e+01,-1.107805904498881944e-05
2.200000000000000000e+01,-1.212755345458838008e-05
2.300000000000000000e+01,-1.313622062659725032e-05
2.400000000000000000e+01,-1.449449678236902628e-05
2.500000000000000000e+01,-1.652457715484167977e-05
2.600000000000000000e+01,-1.882185781987288919e-05
2.700000000000000000e+01,-2.050078287529899512e-05
2.800000000000000000e+01,-1.859949113014458533e-05
2.900000000000000000e+01,-1.684763932680022336e-05
3.000000000000000000e+01,-8.200531004642908073e-06
3.100000000000000000e+01,-1.558737009500765769e-06
3.200000000000000000e+01,-1.826523327243430306e-07
3.300000000000000000e+01,-6.494390024543161832e-08
3.400000000000000000e+01,-5.927921469667252197e-08
3.500000000000000000e+01,-5.988324430772351548e-08
3.600000000000000000e+01,2.584179370490602423e-08
3.700000000000000000e+01,6.991678913603749379e-08
3.800000000000000000e+01,8.219855085478400269e-08
3.900000000000000000e+01,6.288183618252674023e-08
4.000000000000000000e+01,3.531512837717798448e-08
4.100000000000000000e+01,1.263682802843391073e-08
4.200000000000000000e+01,1.583738695742908931e-09
4.300000000000000000e+01,-6.888092762835640315e-09
4.400000000000000000e+01,-1.304440599980694060e-08
4.500000000000000000e+01,-1.746199118635161085e-08
4.600000000000000000e+01,-1.916889957875866912e-08
4.700000000000000000e+01,-1.793495130186784081e-08
4.800000000000000000e+01,-1.537111926630529979e-08
4.900000000000000000e+01,-1.288441842106635704e-08
5.000000000000000000e+01,-1.047563391587402748e-08
5.100000000000000000e+01,-8.240703452955244757e-09
5.200000000000000000e+01,-6.279591069358048117e-09
5.300000000000000000e+01,-4.545781084885902601e-09
5.400000000000000000e+01,-2.944178123520657664e-09
5.500000000000000000e+01,-1.518021264246272040e-09
5.600000000000000000e+01,-2.298111700937965907e-10
5.700000000000000000e+01,8.579537080777299707e-10
5.800000000000000000e+01,1.660319215446293128e-09
5.900000000000000000e+01,2.140001731376628413e-09
6.000000000000000000e+01,2.308485846924668294e-09
6.100000000000000000e+01,2.241519858614537952e-09
6.200000000000000000e+01,2.025644540992743714e-09
6.300000000000000000e+01,1.744991040553145467e-09
6.400000000000000000e+01,1.464353305280496897e-09
6.500000000000000000e+01,1.190259002470384075e-09
6.600000000000000000e+01,9.321625693559099091e-10
6.700000000000000000e+01,6.955589437751541482e-10
6.800000000000000000e+01,4.596629743502944621e-10
6.900000000000000000e+01,2.260434062151261969e-10
7.000000000000000000e+01,2.336797422231029486e-11
7.100000000000000000e+01,-1.576895281019119466e-10
7.200000000000000000e+01,-3.087319289107881559e-10
7.300000000000000000e+01,-4.160366495753464733e-10
7.400000000000000000e+01,-4.708784473450577934e-10
7.500000000000000000e+01,-4.664856279035234365e-10
7.600000000000000000e+01,-4.092377547948444771e-10
7.700000000000000000e+01,-3.160833816906460925e-10
7.800000000000000000e+01,-2.082098937705723074e-10
7.900000000000000000e+01,-1.053566123232485552e-10
8.000000000000000000e+01,-2.368660823037771479e-11
8.100000000000000000e+01,2.984612557099808328e-11
8.200000000000000000e+01,5.477573949974612333e-11
8.300000000000000000e+01,6.115286055319302250e-11
8.400000000000000000e+01,5.648015388715066365e-11
8.500000000000000000e+01,4.688427424071051064e-11
8.600000000000000000e+01,3.683187088654449326e-11
8.700000000000000000e+01,2.790012665343510889e-11
8.800000000000000000e+01,2.101452345470988803e-11
8.900000000000000000e+01,1.507372004994067538e-11
9.000000000000000000e+01,1.131983395907809609e-11
9.100000000000000000e+01,7.151834680030333402e-12
9.200000000000000000e+01,4.196087921570779145e-12
9.300000000000000000e+01,3.317401908731199001e-12
9.400000000000000000e+01,4.951011822740269963e-12
9.500000000000000000e+01,1.282415146297566366e-12
9.600000000000000000e+01,-3.005581894477415972e-14
9.700000000000000000e+01,-1.328867571537273307e-12
9.800000000000000000e+01,-5.666994651321033416e-12
9.900000000000000000e+01,-1.084005107898633469e-11
