r,C_d
0.000000000000000000e+00,9.548011096383416385e-01
1.000000000000000000e+00,1.126301814764972681e-01
2.000000000000000000e+00,2.444832002446324301e-02
3.000000000000000000e+00,1.087163964847562836e-01
4.000000000000000000e+00,2.209458307196522989e-02
5.000000000000000000e+00,4.436195673276348284e-02
6.000000000000000000e+00,2.026717374367763627e-02
7.000000000000000000e+00,1.359673969429823874e-02
8.000000000000000000e+00,1.200832597420378907e-02
9.000000000000000000e+00,9.780766620799203476e-03
1.000000000000000000e+01,5.647676479255546618e-03
1.100000000000000000e+01,5.831882449330134770e-03
1.200000000000000000e+01,3.307012364609961379e-03
1.300000000000000000e+01,3.117496399187133418e-03
1.400000000000000000e+01,2.075057454870767298e-03
1.500000000000000000e+01,1.778383926546893380e-03
1.600000000000000000e+01,1.206338501847620259e-03
1.700000000000000000e+01,1.067008217834934918e-03
1.800000000000000000e+01,7.028929051491151570e-04
1.900000000000000000e+01,6.309972607691913997e-04
2.000000000000000000e+01,4.220480080395611045e-04
2.100000000000000000e+01,3.717287375812304020e-04
2.200000000000000000e+01,2.541258048858462430e-04
2.300000000000000000e+01,2.219011897446196359e-04
2.400000000000000000e+01,1.523045878453545038e-04
2.500000000000000000e+01,1.332025910218850406e-04
2.600000000000000000e+01,9.165185210247390145e-05
2.700000000000000000e+01,7.997561258293045951e-05
2.800000000000000000e+01,5.539683084144965164e-05
2.900000000000000000e+01,4.811609770681883684e-05
3.000000000000000000e+01,3.351574023999609036e-05
3.100000000000000000e+01,2.902493621439724490e-05
3.200000000000000000e+01,2.029045970935981644e-05
3.300000000000000000e+01,1.753415495639136168e-05
3.400000000000000000e+01,1.229934767155570099e-05
3.500000000000000000e+01,1.060130162284354380e-05
3.600000000000000000e+01,7.462023298947513399e-06
3.700000000000000000e+01,6.415186801183428250e-06
3.800000000000000000e+01,4.529314501906279480e-06
3.900000000000000000e+01,3.885070274712449399e-06
4.000000000000000000e+01,2.750181452291815556e-06
4.100000000000000000e+01,2.353966013705899991e-06
4.200000000000000000e+01,1.670543664477034906e-06
4.300000000000000000e+01,1.427029189276988625e-06
4.400000000000000000e+01,1.014892904057437625e-06
4.500000000000000000e+01,8.654959523442502249e-07
4.600000000000000000e+01,6.167003478376798487e-07
4.700000000000000000e+01,5.250536272739702471e-07
4.800000000000000000e+01,3.747793285820753991e-07
4.900000000000000000e+01,3.185639165107716464e-07
5.000000000000000000e+01,2.277866638422355597e-07
5.100000000000000000e+01,1.933430211711443401e-07
5.200000000000000000e+01,1.384383331053563689e-07
5.300000000000000000e+01,1.173482299269981215e-07
5.400000000000000000e+01,8.414493385091643307e-08
5.500000000000000000e+01,7.123977173355779400e-08
5.600000000000000000e+01,5.114102723019723069e-08
5.700000000000000000e+01,4.324851424224725023e-08
5.800000000000000000e+01,3.108420515591426593e-08
