r,C_nn
0.000000000000000000e+00,1.017652822798533307e+00
1.000000000000000000e+00,-4.084152947352990282e-01
2.000000000000000000e+00,-4.452532073100190502e-02
3.000000000000000000e+00,-4.209021180212690894e-02
4.000000000000000000e+00,-7.986270258267147426e-03
5.000000000000000000e+00,-5.459448326463167689e-03
6.000000000000000000e+00,1.847716987821712564e-04
7.000000000000000000e+00,-4.854891460697174921e-04
8.000000000000000000e+00,-2.635998345148493627e-04
9.000000000000000000e+00,-1.925998558860442245e-04
1.000000000000000000e+01,-1.334736150679916022e-04
1.100000000000000000e+01,-1.168680280647649283e-04
1.200000000000000000e+01,-1.033650334125724157e-04
1.300000000000000000e+01,-9.668556422948171303e-05
1.400000000000000000e+01,-8.887814032920715590e-05
1.500000000000000000e+01,-8.297381791511071469e-05
1.600000000000000000e+01,-7.675094654047143194e-05
1.700000000000000000e+01,-7.141257626575026052e-05
1.800000000000000000e+01,-6.700527650949084091e-05
1.900000000000000000e+01,-6.234756676271047127e-05
2.000000000000000000e+01,-5.935075449237103840e-05
2.100000000000000000e+01,-5.568204238226570624e-05
2.200000000000000000e+01,-5.333477781022111230e-05
2.300000000000000000e+01,-5.085822020411967515e-05
2.400000000000000000e+01,-4.865927148678395042e-05
2.500000000000000000e+01,-4.713038664228008656e-05
2.600000000000000000e+01,-4.510140667779438672e-05
2.700000000000000000e+01,-4.406303389181687180e-05
2.800000000000000000e+01,-4.241554540751479863e-05
2.900000000000000000e+01,-4.140326408652583723e-05
3.000000000000000000e+01,-4.031415871441623722e-05
3.100000000000000000e+01,-3.914098026669421415e-05
3.200000000000000000e+01,-3.848260465666442087e-05
3.300000000000000000e+01,-3.726143871851661515e-05
3.400000000000000000e+01,-3.672876879345920997e-05
3.500000000000000000e+01,-3.568705067102939665e-05
3.600000000000000000e+01,-3.500671685152667578e-05
3.700000000000000000e+01,-3.429668887289238910e-05
3.800000000000000000e+01,-3.340391632011829870e-05
3.900000000000000000e+01,-3.295526513813484826e-05
4.000000000000000000e+01,-3.199908528550565734e-05
4.100000000000000000e+01,-3.156894919964514656e-05
4.200000000000000000e+01,-3.076385880795839967e-05
4.300000000000000000e+01,-3.017690023554564505e-05
4.400000000000000000e+01,-2.963531242627936990e-05
4.500000000000000000e+01,-2.887612905411174324e-05
4.600000000000000000e+01,-2.852226977800853547e-05
4.700000000000000000e+01,-2.773583744186680633e-05
4.800000000000000000e+01,-2.736854393337040392e-05
4.900000000000000000e+01,-2.673847447898225482e-05
5.000000000000000000e+01,-2.622725703727013524e-05
5.100000000000000000e+01,-2.581796006762004936e-05
5.200000000000000000e+01,-2.518299367970655567e-05
5.300000000000000000e+01,-2.490628776907755082e-05
5.400000000000000000e+01,-2.427311872477133647e-05
5.500000000000000000e+01,-2.396718673125519672e-05
5.600000000000000000e+01,-2.348780560179619670e-05
5.700000000000000000e+01,-2.305145223413518352e-05
5.800000000000000000e+01,-2.275291120401590206e-05
5.900000000000000000e+01,-2.222677660412841760e-05
6.000000000000000000e+01,-2.201538326307428406e-05
6.100000000000000000e+01,-2.151495316127238766e-05
6.200000000000000000e+01,-2.125741228820032802e-05
6.300000000000000000e+01,-2.089469342791971940e-05
6.400000000000000000e+01,-2.052511383077160190e-05
6.500000000000000000e+01,-2.031035417626725348e-05
6.600000000000000000e+01,-1.987861289176606761e-05
6.700000000000000000e+01,-1.971701268210779290e-05
6.800000000000000000e+01,-1.932622211509027466e-05
6.900000000000000000e+01,-1.911012942734657827e-05
7.000000000000000000e+01,-1.884243111849315255e-05
7.100000000000000000e+01,-1.852782323030766065e-05
7.200000000000000000e+01,-1.837896098333402506e-05
7.300000000000000000e+01,-1.801487364616605191e-05
7.400000000000000000e+01,-1.789294828213883193e-05
7.500000000000000000e+01,-1.757643790245566606e-05
7.600000000000000000e+01,-1.738751031243879197e-05
7.700000000000000000e+01,-1.718293943753224085e-05
7.800000000000000000e+01,-1.689364844992269354e-05
7.900000000000000000e+01,-1.679252588626667375e-05
