r,C_d
0.000000000000000000e+00,7.698348561385124356e+00
1.000000000000000000e+00,4.589085222358627369e+00
2.000000000000000000e+00,4.864913257536324309e+00
3.000000000000000000e+00,5.059993724322223940e+00
4.000000000000000000e+00,5.055318081395489216e+00
5.000000000000000000e+00,5.068178220794448130e+00
6.000000000000000000e+00,5.065767207033353259e+00
7.000000000000000000e+00,5.069455651885789393e+00
8.000000000000000000e+00,5.070557860706817799e+00
9.000000000000000000e+00,5.071323157341325327e+00
1.000000000000000000e+01,5.072084555853915155e+00
1.100000000000000000e+01,5.072595622628735867e+00
1.200000000000000000e+01,5.073431007267934056e+00
1.300000000000000000e+01,5.073786325654680240e+00
1.400000000000000000e+01,5.074519273675623943e+00
1.500000000000000000e+01,5.074918724310466978e+00
1.600000000000000000e+01,5.075422596519700846e+00
1.700000000000000000e+01,5.075956053786550015e+00
1.800000000000000000e+01,5.076238585927356439e+00
1.900000000000000000e+01,5.076837574715189483e+00
2.000000000000000000e+01,5.077036530173336004e+00
2.100000000000000000e+01,5.077547185744589520e+00
2.200000000000000000e+01,5.077819652523047900e+00
2.300000000000000000e+01,5.078133519603716728e+00
2.400000000000000000e+01,5.078535140142339088e+00
2.500000000000000000e+01,5.078675110137845117e+00
2.600000000000000000e+01,5.079127363813841001e+00
2.700000000000000000e+01,5.079225736848449912e+00
2.800000000000000000e+01,5.079585617075616177e+00
2.900000000000000000e+01,5.079776859292749691e+00
3.000000000000000000e+01,5.079957847999724940e+00
3.100000000000000000e+01,5.080274348668915252e+00
3.200000000000000000e+01,5.080314530582133337e+00
3.300000000000000000e+01,5.080665912186414168e+00
3.400000000000000000e+01,5.080696483579901113e+00
3.500000000000000000e+01,5.080946724828785399e+00
3.600000000000000000e+01,5.081085994293770725e+00
3.700000000000000000e+01,5.081166607675856817e+00
3.800000000000000000e+01,5.081426206951731750e+00
3.900000000000000000e+01,5.081391484828807314e+00
4.000000000000000000e+01,5.081669478262648809e+00
4.100000000000000000e+01,5.081652971890609827e+00
4.200000000000000000e+01,5.081818183615720130e+00
4.300000000000000000e+01,5.081925415302567473e+00
4.400000000000000000e+01,5.081926008592668076e+00
4.500000000000000000e+01,5.082148942650271728e+00
4.600000000000000000e+01,5.082055864512543764e+00
4.700000000000000000e+01,5.082279317180107725e+00
4.800000000000000000e+01,5.082230721381405303e+00
4.900000000000000000e+01,5.082325862255570037e+00
5.000000000000000000e+01,5.082415789434152842e+00
5.100000000000000000e+01,5.082346430268946058e+00
5.200000000000000000e+01,5.082546262035096518e+00
5.300000000000000000e+01,5.082401545444382940e+00
5.400000000000000000e+01,5.082579687262942514e+00
5.500000000000000000e+01,5.082504938938782857e+00
5.600000000000000000e+01,5.082531744730845347e+00
5.700000000000000000e+01,5.082609968809667755e+00
5.800000000000000000e+01,5.082464394548707354e+00
5.900000000000000000e+01,5.082642902833709009e+00
6.000000000000000000e+01,5.082434912572596275e+00
6.100000000000000000e+01,5.082558911126342949e+00
6.200000000000000000e+01,5.082443930004046706e+00
6.300000000000000000e+01,5.082375808573089238e+00
6.400000000000000000e+01,5.082424201187988544e+00
6.500000000000000000e+01,5.082154817450899920e+00
6.600000000000000000e+01,5.082278854748394359e+00
6.700000000000000000e+01,5.081939789441960009e+00
6.800000000000000000e+01,5.081940340779154575e+00
6.900000000000000000e+01,5.081695603253849391e+00
7.000000000000000000e+01,5.081398891793909911e+00
7.100000000000000000e+01,5.081288534257160094e+00
7.200000000000000000e+01,5.080666076148212973e+00
7.300000000000000000e+01,5.080512634803201699e+00
7.400000000000000000e+01,5.079675944654733044e+00
7.500000000000000000e+01,5.079114794664692845e+00
7.600000000000000000e+01,5.078142156014436637e+00
7.700000000000000000e+01,5.076713487952720705e+00
7.800000000000000000e+01,5.075313791233133642e+00
7.900000000000000000e+01,5.072364600418463709e+00
