site,n_tilde
0.000000000000000000e+00,5.147167561523449564e+00
1.000000000000000000e+00,6.414792220065775652e+00
2.000000000000000000e+00,7.300683033122799870e+00
3.000000000000000000e+00,7.621134152039767073e+00
4.000000000000000000e+00,7.776530431918519781e+00
5.000000000000000000e+00,7.838426612836428831e+00
6.000000000000000000e+00,7.872780363829733119e+00
7.000000000000000000e+00,7.886309828702115610e+00
8.000000000000000000e+00,7.892615997603884992e+00
9.000000000000000000e+00,7.895406628726883369e+00
1.000000000000000000e+01,7.896561390844690109e+00
1.100000000000000000e+01,7.897330975440969070e+00
1.200000000000000000e+01,7.897506803003487619e+00
1.300000000000000000e+01,7.897769814398158061e+00
1.400000000000000000e+01,7.897823361785267338e+00
1.500000000000000000e+01,7.897863913686144599e+00
1.600000000000000000e+01,7.897959596104183078e+00
1.700000000000000000e+01,7.897893831282985388e+00
1.800000000000000000e+01,7.898002680210636228e+00
1.900000000000000000e+01,7.897933337852192537e+00
2.000000000000000000e+01,7.897989305490479950e+00
2.100000000000000000e+01,7.897983098634697718e+00
2.200000000000000000e+01,7.897959350303719539e+00
2.300000000000000000e+01,7.898017852772242442e+00
2.400000000000000000e+01,7.897947168543748120e+00
2.500000000000000000e+01,7.898019439064139391e+00
2.600000000000000000e+01,7.897964494392402557e+00
2.700000000000000000e+01,7.897993280573881947e+00
2.800000000000000000e+01,7.897996753750224030e+00
2.900000000000000000e+01,7.897963689885518335e+00
3.000000000000000000e+01,7.898018114778000864e+00
3.100000000000000000e+01,7.897954395085745816e+00
3.200000000000000000e+01,7.898012705792922361e+00
3.300000000000000000e+01,7.897971536770755918e+00
3.400000000000000000e+01,7.897986551713673364e+00
3.500000000000000000e+01,7.897999545653089370e+00
3.600000000000000000e+01,7.897961328383953372e+00
3.700000000000000000e+01,7.898015073935712671e+00
3.800000000000000000e+01,7.897956840722979877e+00
3.900000000000000000e+01,7.898005997708575698e+00
4.000000000000000000e+01,7.897975751856050053e+00
4.100000000000000000e+01,7.897980342575360524e+00
4.200000000000000000e+01,7.898001598283217461e+00
4.300000000000000000e+01,7.897959021491217868e+00
4.400000000000000000e+01,7.898012828983294042e+00
4.500000000000000000e+01,7.897958832641936766e+00
4.600000000000000000e+01,7.898000562921957624e+00
4.700000000000000000e+01,7.897979809597299727e+00
4.800000000000000000e+01,7.897975268654537473e+00
4.900000000000000000e+01,7.898004235522153138e+00
5.000000000000000000e+01,7.897957352789759966e+00
5.100000000000000000e+01,7.898011791079960098e+00
5.200000000000000000e+01,7.897961416946230884e+00
5.300000000000000000e+01,7.897996543208998688e+00
5.400000000000000000e+01,7.897984647891574284e+00
5.500000000000000000e+01,7.897971161591588185e+00
5.600000000000000000e+01,7.898007960508636849e+00
5.700000000000000000e+01,7.897956402981222368e+00
5.800000000000000000e+01,7.898011967369790831e+00
5.900000000000000000e+01,7.897964873241113182e+00
6.000000000000000000e+01,7.897993454116064349e+00
6.100000000000000000e+01,7.897990636260214359e+00
6.200000000000000000e+01,7.897967497713317186e+00
6.300000000000000000e+01,7.898012796517181577e+00
6.400000000000000000e+01,7.897955660514385912e+00
6.500000000000000000e+01,7.898012864998035454e+00
6.600000000000000000e+01,7.897968790100707182e+00
6.700000000000000000e+01,7.897990223360023876e+00
6.800000000000000000e+01,7.897997512879003423e+00
6.900000000000000000e+01,7.897962836437244505e+00
7.000000000000000000e+01,7.898018325779613491e+00
7.100000000000000000e+01,7.897953486286160896e+00
7.200000000000000000e+01,7.898012814095636713e+00
7.300000000000000000e+01,7.897971196522234116e+00
7.400000000000000000e+01,7.897982732006404660e+00
7.500000000000000000e+01,7.898001614387899494e+00
7.600000000000000000e+01,7.897949326592610397e+00
7.700000000000000000e+01,7.898016446376685096e+00
7.800000000000000000e+01,7.897936192026687507e+00
7.900000000000000000e+01,7.897993486197572466e+00
8.000000000000000000e+01,7.897946737378671145e+00
8.100000000000000000e+01,7.897931358208456487e+00
8.200000000000000000e+01,7.897951291954285580e+00
8.300000000000000000e+01,7.897841463301212173e+00
8.400000000000000000e+01,7.897885035103545448e+00
8.500000000000000000e+01,7.897700746843718811e+00
8.600000000000000000e+01,7.897617848641059979e+00
8.700000000000000000e+01,7.897305234722201916e+00
8.800000000000000000e+01,7.896713484146260953e+00
8.900000000000000000e+01,7.895662652542398519e+00
9.000000000000000000e+01,7.893086624369626492e+00
9.100000000000000000e+01,7.887775978302517643e+00
9.200000000000000000e+01,7.875479667665349126e+00
9.300000000000000000e+01,7.846221860722039310e+00
9.400000000000000000e+01,7.789042850729853029e+00
9.500000000000000000e+01,7.657193363901081185e+00
9.600000000000000000e+01,7.371706501852229643e+00
9.700000000000000000e+01,6.638300188565482429e+00
9.800000000000000000e+01,5.444491338790666823e+00
