r,C_n
0.000000000000000000e+00,7.550885369535600411e-01
1.000000000000000000e+00,-1.174104011862207031e-01
2.000000000000000000e+00,-1.297176277641844955e-01
3.000000000000000000e+00,2.505258595136217181e-02
4.000000000000000000e+00,1.372896319779570717e-02
5.000000000000000000e+00,1.080248314588239111e-02
6.000000000000000000e+00,5.950731368886241768e-03
7.000000000000000000e+00,2.454590757873909013e-03
8.000000000000000000e+00,2.113379704304918505e-04
9.000000000000000000e+00,-7.207533903397234099e-04
1.000000000000000000e+01,-1.067810932724455597e-03
1.100000000000000000e+01,-1.179977746377680603e-03
1.200000000000000000e+01,-1.210093142627766127e-03
1.300000000000000000e+01,-1.215212753794325806e-03
1.400000000000000000e+01,-1.215161844258627610e-03
1.500000000000000000e+01,-1.215125159550023426e-03
1.600000000000000000e+01,-1.215713928572004221e-03
1.700000000000000000e+01,-1.216550685416262212e-03
1.800000000000000000e+01,-1.217322236209295028e-03
1.900000000000000000e+01,-1.217909232939184960e-03
2.000000000000000000e+01,-1.218311161024221434e-03
2.100000000000000000e+01,-1.218570300306254239e-03
2.200000000000000000e+01,-1.218732339591355185e-03
2.300000000000000000e+01,-1.218832648632872662e-03
2.400000000000000000e+01,-1.218894994419628119e-03
2.500000000000000000e+01,-1.218934174397112713e-03
2.600000000000000000e+01,-1.218959134553276868e-03
2.700000000000000000e+01,-1.218975212783579565e-03
2.800000000000000000e+01,-1.218985668391070476e-03
2.900000000000000000e+01,-1.218992494793180725e-03
3.000000000000000000e+01,-1.218996975109298830e-03
3.100000000000000000e+01,-1.218999910458595792e-03
3.200000000000000000e+01,-1.219001845067069212e-03
3.300000000000000000e+01,-1.219003111049943300e-03
3.400000000000000000e+01,-1.219003949842978329e-03
3.500000000000000000e+01,-1.219004496096243173e-03
3.600000000000000000e+01,-1.219004861944039675e-03
3.700000000000000000e+01,-1.219005097221614875e-03
3.800000000000000000e+01,-1.219005258435323924e-03
3.900000000000000000e+01,-1.219005358945146611e-03
4.000000000000000000e+01,-1.219005431311703802e-03
4.100000000000000000e+01,-1.219005473215073465e-03
4.200000000000000000e+01,-1.219005506885917356e-03
4.300000000000000000e+01,-1.219005523219518494e-03
4.400000000000000000e+01,-1.219005539988771147e-03
4.500000000000000000e+01,-1.219005545141538249e-03
4.600000000000000000e+01,-1.219005554514929202e-03
4.700000000000000000e+01,-1.219005554767171873e-03
4.800000000000000000e+01,-1.219005560893382523e-03
4.900000000000000000e+01,-1.219005559001118399e-03
5.000000000000000000e+01,-1.219005563702246775e-03
5.100000000000000000e+01,-1.219005560858743564e-03
5.200000000000000000e+01,-1.219005564939479314e-03
5.300000000000000000e+01,-1.219005561682529049e-03
5.400000000000000000e+01,-1.219005565480824060e-03
5.500000000000000000e+01,-1.219005562045349933e-03
5.600000000000000000e+01,-1.219005565723740858e-03
5.700000000000000000e+01,-1.219005562206998405e-03
5.800000000000000000e+01,-1.219005565833430893e-03
5.900000000000000000e+01,-1.219005562279384947e-03
6.000000000000000000e+01,-1.219005565880948438e-03
6.100000000000000000e+01,-1.219005562310915280e-03
6.200000000000000000e+01,-1.219005565903152899e-03
6.300000000000000000e+01,-1.219005562324682046e-03
6.400000000000000000e+01,-1.219005565916919664e-03
6.500000000000000000e+01,-1.219005562333563830e-03
6.600000000000000000e+01,-1.219005565920916467e-03
6.700000000000000000e+01,-1.219005562340225168e-03
6.800000000000000000e+01,-1.219005565925357359e-03
6.900000000000000000e+01,-1.219005562342889704e-03
7.000000000000000000e+01,-1.219005565930686430e-03
7.100000000000000000e+01,-1.219005562343333793e-03
7.200000000000000000e+01,-1.219005565925801449e-03
7.300000000000000000e+01,-1.219005562346886506e-03
7.400000000000000000e+01,-1.219005565931130519e-03
7.500000000000000000e+01,-1.219005562346442417e-03
7.600000000000000000e+01,-1.219005565932462787e-03
7.700000000000000000e+01,-1.219005562350883309e-03
7.800000000000000000e+01,-1.219005565931574608e-03
7.900000000000000000e+01,-1.219005562350883309e-03
8.000000000000000000e+01,-1.219005565935127322e-03
8.100000000000000000e+01,-1.219005562345998328e-03
8.200000000000000000e+01,-1.219005565928910073e-03
8.300000000000000000e+01,-1.219005562338448811e-03
8.400000000000000000e+01,-1.219005565915143308e-03
8.500000000000000000e+01,-1.219005562318020708e-03
8.600000000000000000e+01,-1.219005565883612974e-03
8.700000000000000000e+01,-1.219005562274055876e-03
8.800000000000000000e+01,-1.219005565820108217e-03
8.900000000000000000e+01,-1.219005562178576696e-03
9.000000000000000000e+01,-1.219005565679331937e-03
9.100000000000000000e+01,-1.219005561974739749e-03
9.200000000000000000e+01,-1.219005565382236256e-03
9.300000000000000000e+01,-1.219005561543529126e-03
9.400000000000000000e+01,-1.219005564757402738e-03
9.500000000000000000e+01,-1.219005560634478513e-03
9.600000000000000000e+01,-1.219005563436237338e-03
9.700000000000000000e+01,-1.219005558721342197e-03
9.800000000000000000e+01,-1.219005560658459331e-03
9.900000000000000000e+01,-1.219005554679686298e-03
