site,n_tilde
0.000000000000000000e+00,1.772028731164967397e+00
1.000000000000000000e+00,1.882987164162837290e+00
2.000000000000000000e+00,1.900661968553252201e+00
3.000000000000000000e+00,1.873962398095654347e+00
4.000000000000000000e+00,1.856329515345822578e+00
5.000000000000000000e+00,1.842359671441427871e+00
6.000000000000000000e+00,1.834072553435127872e+00
7.000000000000000000e+00,1.829657101491879656e+00
8.000000000000000000e+00,1.827958034298240442e+00
9.000000000000000000e+00,1.827729211766369932e+00
1.000000000000000000e+01,1.828100188284815575e+00
1.100000000000000000e+01,1.828593444226295661e+00
1.200000000000000000e+01,1.829002458836209710e+00
1.300000000000000000e+01,1.829270981881194746e+00
1.400000000000000000e+01,1.829414103947181403e+00
1.500000000000000000e+01,1.829468915946365737e+00
1.600000000000000000e+01,1.829471352776578907e+00
1.700000000000000000e+01,1.829448194789950355e+00
1.800000000000000000e+01,1.829416155770307473e+00
1.900000000000000000e+01,1.829384076441714191e+00
2.000000000000000000e+01,1.829355736391923060e+00
2.100000000000000000e+01,1.829332187973959023e+00
2.200000000000000000e+01,1.829313201938066458e+00
2.300000000000000000e+01,1.829298019655938079e+00
2.400000000000000000e+01,1.829285865290291246e+00
2.500000000000000000e+01,1.829276039587342195e+00
2.600000000000000000e+01,1.829268020073934409e+00
2.700000000000000000e+01,1.829261393447046968e+00
2.800000000000000000e+01,1.829255870965980524e+00
2.900000000000000000e+01,1.829251227514176126e+00
3.000000000000000000e+01,1.829247324135335084e+00
3.100000000000000000e+01,1.829244030732293691e+00
3.200000000000000000e+01,1.829241253510202947e+00
3.300000000000000000e+01,1.829238910133379470e+00
3.400000000000000000e+01,1.829236933105571561e+00
3.500000000000000000e+01,1.829235264487708346e+00
3.600000000000000000e+01,1.829233850484659918e+00
3.700000000000000000e+01,1.829232661152465855e+00
3.800000000000000000e+01,1.829231649834225149e+00
3.900000000000000000e+01,1.829230799707352251e+00
4.000000000000000000e+01,1.829230072930926321e+00
4.100000000000000000e+01,1.829229452387547417e+00
4.200000000000000000e+01,1.829228931580554107e+00
4.300000000000000000e+01,1.829228484224938001e+00
4.400000000000000000e+01,1.829228110915939620e+00
4.500000000000000000e+01,1.829227800431963535e+00
4.600000000000000000e+01,1.829227529147282150e+00
4.700000000000000000e+01,1.829227298129132873e+00
4.800000000000000000e+01,1.829227103236350960e+00
4.900000000000000000e+01,1.829226930631663528e+00
5.000000000000000000e+01,1.829226785535070565e+00
5.100000000000000000e+01,1.829226662428823147e+00
5.200000000000000000e+01,1.829226571316135530e+00
5.300000000000000000e+01,1.829226494962064908e+00
5.400000000000000000e+01,1.829226414032069314e+00
5.500000000000000000e+01,1.829226349027315290e+00
5.600000000000000000e+01,1.829226300297674079e+00
5.700000000000000000e+01,1.829226262715658136e+00
5.800000000000000000e+01,1.829226222412846159e+00
5.900000000000000000e+01,1.829226192712827270e+00
6.000000000000000000e+01,1.829226165964969120e+00
6.100000000000000000e+01,1.829226142826141821e+00
6.200000000000000000e+01,1.829226122605403848e+00
6.300000000000000000e+01,1.829226105103200606e+00
6.400000000000000000e+01,1.829226089952544765e+00
6.500000000000000000e+01,1.829226076985471128e+00
6.600000000000000000e+01,1.829226065877084473e+00
6.700000000000000000e+01,1.829226056466528139e+00
6.800000000000000000e+01,1.829226048450633524e+00
6.900000000000000000e+01,1.829226041716852880e+00
7.000000000000000000e+01,1.829226036015607404e+00
7.100000000000000000e+01,1.829226031276585118e+00
7.200000000000000000e+01,1.829226027295073997e+00
7.300000000000000000e+01,1.829226024054954713e+00
7.400000000000000000e+01,1.829226021396746837e+00
7.500000000000000000e+01,1.829226019330882691e+00
7.600000000000000000e+01,1.829226017723505127e+00
7.700000000000000000e+01,1.829226016620926654e+00
7.800000000000000000e+01,1.829226015918558712e+00
7.900000000000000000e+01,1.829226015675728512e+00
8.000000000000000000e+01,1.829226015804054084e+00
8.100000000000000000e+01,1.829226016392182963e+00
8.200000000000000000e+01,1.829226017376941460e+00
8.300000000000000000e+01,1.829226018859145597e+00
8.400000000000000000e+01,1.829226020792495522e+00
8.500000000000000000e+01,1.829226023310442928e+00
8.600000000000000000e+01,1.829226026397234861e+00
8.700000000000000000e+01,1.829226030206181131e+00
8.800000000000000000e+01,1.829226034748645535e+00
8.900000000000000000e+01,1.829226040222920791e+00
9.000000000000000000e+01,1.829226046687500329e+00
9.100000000000000000e+01,1.829226054380089117e+00
9.200000000000000000e+01,1.829226063409578273e+00
9.300000000000000000e+01,1.829226074086852449e+00
9.400000000000000000e+01,1.829226086601044354e+00
9.500000000000000000e+01,1.829226101342173338e+00
9.600000000000000000e+01,1.829226118596568140e+00
9.700000000000000000e+01,1.829226138883224717e+00
9.800000000000000000e+01,1.829226162636306885e+00
9.900000000000000000e+01,1.829226190535661711e+00
1.000000000000000000e+02,1.829226223213050950e+00
1.010000000000000000e+02,1.829226261599605774e+00
1.020000000000000000e+02,1.829226306620735709e+00
1.030000000000000000e+02,1.829226359535767177e+00
1.040000000000000000e+02,1.829226421645277156e+00
1.050000000000000000e+02,1.829226494634059286e+00
1.060000000000000000e+02,1.829226580274127656e+00
1.070000000000000000e+02,1.829226680828409002e+00
1.080000000000000000e+02,1.829226798847910729e+00
1.090000000000000000e+02,1.829226937572105527e+00
1.100000000000000000e+02,1.829227099587987126e+00
1.110000000000000000e+02,1.829227288614820868e+00
1.120000000000000000e+02,1.829227513969311048e+00
1.130000000000000000e+02,1.829227779167707402e+00
1.140000000000000000e+02,1.829228090506818560e+00
1.150000000000000000e+02,1.829228457996043833e+00
1.160000000000000000e+02,1.829228886353166272e+00
1.170000000000000000e+02,1.829229397012583025e+00
1.180000000000000000e+02,1.829229996139257075e+00
1.190000000000000000e+02,1.829230706548968355e+00
1.200000000000000000e+02,1.829231554136038884e+00
1.210000000000000000e+02,1.829232548922331780e+00
1.220000000000000000e+02,1.829233733336702361e+00
1.230000000000000000e+02,1.829235127516283921e+00
1.240000000000000000e+02,1.829236777462202923e+00
1.250000000000000000e+02,1.829238734421641421e+00
1.260000000000000000e+02,1.829241055980036723e+00
1.270000000000000000e+02,1.829243803151796133e+00
1.280000000000000000e+02,1.829247048902083339e+00
1.290000000000000000e+02,1.829250893758346486e+00
1.300000000000000000e+02,1.829255464721471824e+00
1.310000000000000000e+02,1.829260907022892457e+00
1.320000000000000000e+02,1.829267415492508819e+00
1.330000000000000000e+02,1.829275263798480822e+00
1.340000000000000000e+02,1.829284838235068822e+00
1.350000000000000000e+02,1.829296642592268984e+00
1.360000000000000000e+02,1.829311319687291881e+00
1.370000000000000000e+02,1.829329672396925677e+00
1.380000000000000000e+02,1.829352516175086762e+00
1.390000000000000000e+02,1.829380391322414701e+00
1.400000000000000000e+02,1.829412917634202884e+00
1.410000000000000000e+02,1.829447574011973998e+00
1.420000000000000000e+02,1.829477772873722596e+00
1.430000000000000000e+02,1.829490138919056763e+00
1.440000000000000000e+02,1.829461892260984657e+00
1.450000000000000000e+02,1.829360217229105245e+00
1.460000000000000000e+02,1.829147040873258412e+00
1.470000000000000000e+02,1.828795390169597468e+00
1.480000000000000000e+02,1.828328135970703539e+00
1.490000000000000000e+02,1.827886118803529580e+00
1.500000000000000000e+02,1.827832344540839093e+00
1.510000000000000000e+02,1.828887106565658005e+00
1.520000000000000000e+02,1.832196242287827292e+00
1.530000000000000000e+02,1.839075596036015892e+00
1.540000000000000000e+02,1.851015670329317242e+00
1.550000000000000000e+02,1.867734104322830158e+00
1.560000000000000000e+02,1.889165325137287521e+00
1.570000000000000000e+02,1.898884734628601301e+00
1.580000000000000000e+02,1.856054372279982267e+00
