simulation,current_correlator,density_correlator,density_density_correlator,dipole_correlator,single_particle_correlator
iMPS_U1_mu1_t0p05_consNone_chi200_L8_Nuc8_nmax4,7.5674249822918185,,,16.572545736725658,
iMPS_U1_mu1_t0p0657143_consNone_chi200_L8_Nuc8_nmax4,9.929814636960769,4.601055158083008,4.182524525554645,3.2743838236027476,
iMPS_U1_mu1_t0p0814286_consNone_chi200_L8_Nuc8_nmax4,11.213581403418623,7.003138051761859,6.103850519859765,6.868113786115041,
iMPS_U1_mu1_t0p0971429_consNone_chi200_L8_Nuc8_nmax4,1.9916359842267144,4.435051249335132,4.305431150478571,0.13216694164003803,11.04816145557245
iMPS_U1_mu1_t0p112857_consNone_chi200_L8_Nuc8_nmax4,2.0038438495276445,4.074981977192193,4.003507666099653,,15.932014016408255
iMPS_U1_mu1_t0p128571_consNone_chi200_L8_Nuc8_nmax4,2.6699447505014273,1.7175268499067142,1.765462740007587,,
iMPS_U1_mu1_t0p144286_consNone_chi200_L8_Nuc8_nmax4,2.5525345172283807,1.4617898502369684,1.7170373681430304,,1.5209678237004414
iMPS_U1_mu1_t0p16_consNone_chi200_L8_Nuc8_nmax4,2.1803679577098385,,,,2.863774193429413
iMPS_U1_mu1_t0p175714_consNone_chi200_L8_Nuc8_nmax4,2.3709918408461528,1.5499207712824508,1.6764116377370328,,
iMPS_U1_mu1_t0p191429_consNone_chi200_L8_Nuc8_nmax4,7.841403240721048,9.059643187886161,9.176107711226498,,0.4305924182926426
iMPS_U1_mu1_t0p207143_consNone_chi200_L8_Nuc8_nmax4,2.3331074407109242,1.7443376575616252,1.625230799136704,,1.5546003297987794
iMPS_U1_mu1_t0p222857_consNone_chi200_L8_Nuc8_nmax4,2.2740453280274013,2.400468581705782,2.499142918065087,,
iMPS_U1_mu1_t0p238571_consNone_chi200_L8_Nuc8_nmax4,10.830140866446706,7.602285618562313,5.997011107662322,,
iMPS_U1_mu1_t0p254286_consNone_chi200_L8_Nuc8_nmax4,2.8022611650196882,2.038993210534212,2.124826908863896,,
iMPS_U1_mu1_t0p27_consNone_chi200_L8_Nuc8_nmax4,9.534260526921674,6.245963180765332,6.008934337940894,,8.801927562927212
iMPS_U1_mu1p5_t0p05_consNone_chi200_L8_Nuc12_nmax4,8.829695458582702,,,17.443803811891023,6.460954539015094
iMPS_U1_mu1p5_t0p0657143_consNone_chi200_L8_Nuc12_nmax4,6.823247570896802,4.867544849833462,4.451363022165452,3.2369550373741074,5.511302647965997
iMPS_U1_mu1p5_t0p0814286_consNone_chi200_L8_Nuc12_nmax4,2.4360553658250206,,,,2.54626712564985
iMPS_U1_mu1p5_t0p0971429_consNone_chi200_L8_Nuc12_nmax4,2.0004365696455877,1.3903989540306874,1.513967810569565,,1.7268904269212475
iMPS_U1_mu1p5_t0p112857_consNone_chi200_L8_Nuc12_nmax4,3.4275629654613007,2.3758168962714756,2.4340552033677785,,0.8000415388550691
iMPS_U1_mu1p5_t0p128571_consNone_chi200_L8_Nuc12_nmax4,1.9156620215461615,15.428973201369372,15.594526386618853,,
iMPS_U1_mu1p5_t0p144286_consNone_chi200_L8_Nuc12_nmax4,2.3191967356407917,,1.6899780823818458,,3.073221595141197
iMPS_U1_mu1p5_t0p16_consNone_chi200_L8_Nuc12_nmax4,,1.6931731680473499,1.6883649816202393,,
iMPS_U1_mu1p5_t0p175714_consNone_chi200_L8_Nuc12_nmax4,2.298026077511141,1.4488475581108275,1.5874853755912643,,1.8937201608167216
iMPS_U1_mu1p5_t0p191429_consNone_chi200_L8_Nuc12_nmax4,8.035542988877538,5.893028720255697,5.627553400833647,,6.189925387965918
iMPS_U1_mu1p5_t0p207143_consNone_chi200_L8_Nuc12_nmax4,9.351309547147913,6.750936913905654,7.71796794291924,,6.911273432604594
iMPS_U1_mu1p5_t0p222857_consNone_chi200_L8_Nuc12_nmax4,2.8827860925443884,10.751083912599537,10.34597977244399,,
iMPS_U1_mu1p5_t0p238571_consNone_chi200_L8_Nuc12_nmax4,2.3229738302437872,2.155472761163575,1.888156742786331,,
iMPS_U1_mu1p5_t0p254286_consNone_chi200_L8_Nuc12_nmax4,8.596366315635153,8.627747499425482,8.352801198706317,,1.5178760366854462
iMPS_U1_mu2_t0p05_consNone_chi200_L8_Nuc16_nmax4,7.759310153955014,9.10084885535064,9.298096733645075,,0.6869369040251788
iMPS_U1_mu2_t0p0657143_consNone_chi200_L8_Nuc16_nmax4,9.319086019299458,4.3213779872326725,4.715796409844315,,5.7459242050969195
iMPS_U1_mu2_t0p07_consN_chi1000_L8_Nuc16_nmax4,7.649251279371874,5.340827705996373,4.671355704867434,3.652579306882537,0.37148932512494054
iMPS_U1_mu2_t0p0814286_consNone_chi200_L8_Nuc16_nmax4,2.4934974187642287,1.6542674847188867,24.438577372118473,,1.6021357989869616
iMPS_U1_mu2_t0p082_consN_chi1000_L8_Nuc16_nmax4,9.491947028952055,7.194636727560673,6.408651407677968,7.98188624908443,0.4017067708506454
