simulation,correlators,current_correlator,density_correlator,density_density_correlator,density_profile,dipole_correlator,single_particle_correlator
correlator_decay_degree_all,increasing,,,,,,
iMPS_U1_mu1_t0p05_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,constant,constant,increasing,power_law_decay,constant
iMPS_U1_mu1_t0p0657143_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,exponential_decay,constant
iMPS_U1_mu1_t0p0814286_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,exponential_decay,constant
iMPS_U1_mu1_t0p0971429_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,power_law_decay,power_law_decay
iMPS_U1_mu1_t0p112857_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,power_law_decay
iMPS_U1_mu1_t0p128571_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,unclear
iMPS_U1_mu1_t0p144286_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,power_law_decay
iMPS_U1_mu1_t0p16_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,constant,constant,increasing,constant,power_law_decay
iMPS_U1_mu1_t0p175714_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,unclear
iMPS_U1_mu1_t0p191429_consNone_chi200_L8_Nuc8_nmax4,,exponential_decay,exponential_decay,exponential_decay,increasing,constant,power_law_decay
iMPS_U1_mu1_t0p207143_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,power_law_decay
iMPS_U1_mu1_t0p222857_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,unclear
iMPS_U1_mu1_t0p238571_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,constant
iMPS_U1_mu1_t0p254286_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,unclear
iMPS_U1_mu1_t0p27_consNone_chi200_L8_Nuc8_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,exponential_decay
iMPS_U1_mu1p5_t0p05_consNone_chi200_L8_Nuc12_nmax4,,power_law_decay,constant,constant,increasing,power_law_decay,power_law_decay
iMPS_U1_mu1p5_t0p0657143_consNone_chi200_L8_Nuc12_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,exponential_decay,power_law_decay
iMPS_U1_mu1p5_t0p0814286_consNone_chi200_L8_Nuc12_nmax4,,power_law_decay,constant,constant,increasing,constant,power_law_decay
iMPS_U1_mu1p5_t0p0971429_consNone_chi200_L8_Nuc12_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,power_law_decay
iMPS_U1_mu1p5_t0p112857_consNone_chi200_L8_Nuc12_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,power_law_decay
iMPS_U1_mu1p5_t0p128571_consNone_chi200_L8_Nuc12_nmax4,,power_law_decay,exponential_decay,exponential_decay,increasing,constant,constant
iMPS_U1_mu1p5_t0p144286_consNone_chi200_L8_Nuc12_nmax4,,power_law_decay,constant,power_law_decay,increasing,constant,power_law_decay
iMPS_U1_mu1p5_t0p16_consNone_chi200_L8_Nuc12_nmax4,,unclear,power_law_decay,power_law_decay,increasing,constant,constant
iMPS_U1_mu1p5_t0p175714_consNone_chi200_L8_Nuc12_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,power_law_decay
iMPS_U1_mu1p5_t0p191429_consNone_chi200_L8_Nuc12_nmax4,,exponential_decay,power_law_decay,power_law_decay,increasing,constant,power_law_decay
iMPS_U1_mu1p5_t0p207143_consNone_chi200_L8_Nuc12_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,exponential_decay
iMPS_U1_mu1p5_t0p222857_consNone_chi200_L8_Nuc12_nmax4,,power_law_decay,exponential_decay,exponential_decay,increasing,constant,constant
iMPS_U1_mu1p5_t0p238571_consNone_chi200_L8_Nuc12_nmax4,,power_law_decay,power_law_decay,power_law_decay,increasing,constant,constant
iMPS_U1_mu1p5_t0p254286_consNone_chi200_L8_Nuc12_nmax4,,exponential_decay,exponential_decay,exponential_decay,increasing,constant,power_law_decay
iMPS_U1_mu2_t0p05_consNone_chi200_L8_Nuc16_nmax4,,exponential_decay,exponential_decay,exponential_decay,increasing,constant,power_law_decay
