r,C_j
0.000000000000000000e+00,5.916236150184090548e+00
1.000000000000000000e+00,-1.525982464692817731e-01
2.000000000000000000e+00,4.071794367179584762e-02
3.000000000000000000e+00,1.028971536395535680e-03
4.000000000000000000e+00,-2.498916104565970797e-04
5.000000000000000000e+00,-1.603273236876201491e-05
6.000000000000000000e+00,1.029807362093460021e-06
7.000000000000000000e+00,1.925700850863298896e-07
8.000000000000000000e+00,-1.686512929310879372e-09
9.000000000000000000e+00,-1.314471413660367460e-09
1.000000000000000000e+01,2.602106030646922363e-11
1.100000000000000000e+01,6.167261146217128953e-12
1.200000000000000000e+01,-1.711693287109739003e-12
1.300000000000000000e+01,-1.730768306451579974e-13
1.400000000000000000e+01,1.524474990688418075e-14
1.500000000000000000e+01,2.331468351712828735e-15
1.600000000000000000e+01,5.551115123125782702e-17
1.700000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,1.387778780781445676e-17
2.200000000000000000e+01,-6.938893903907228378e-18
2.300000000000000000e+01,1.387778780781445676e-17
2.400000000000000000e+01,-6.938893903907228378e-18
2.500000000000000000e+01,6.938893903907228378e-18
2.600000000000000000e+01,6.938893903907228378e-18
2.700000000000000000e+01,-6.938893903907228378e-18
2.800000000000000000e+01,6.938893903907228378e-18
2.900000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,6.938893903907228378e-18
3.100000000000000000e+01,-6.938893903907228378e-18
3.200000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,-6.938893903907228378e-18
3.400000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,6.938893903907228378e-18
3.800000000000000000e+01,6.938893903907228378e-18
3.900000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,0.000000000000000000e+00
4.200000000000000000e+01,6.938893903907228378e-18
4.300000000000000000e+01,-6.938893903907228378e-18
4.400000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,-6.938893903907228378e-18
4.600000000000000000e+01,0.000000000000000000e+00
4.700000000000000000e+01,6.938893903907228378e-18
4.800000000000000000e+01,0.000000000000000000e+00
4.900000000000000000e+01,6.938893903907228378e-18
5.000000000000000000e+01,1.387778780781445676e-17
5.100000000000000000e+01,0.000000000000000000e+00
5.200000000000000000e+01,0.000000000000000000e+00
5.300000000000000000e+01,6.938893903907228378e-18
5.400000000000000000e+01,-1.387778780781445676e-17
5.500000000000000000e+01,0.000000000000000000e+00
5.600000000000000000e+01,6.938893903907228378e-18
5.700000000000000000e+01,6.938893903907228378e-18
5.800000000000000000e+01,6.938893903907228378e-18
5.900000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+01,0.000000000000000000e+00
6.100000000000000000e+01,6.938893903907228378e-18
6.200000000000000000e+01,0.000000000000000000e+00
6.300000000000000000e+01,6.938893903907228378e-18
6.400000000000000000e+01,0.000000000000000000e+00
6.500000000000000000e+01,6.938893903907228378e-18
6.600000000000000000e+01,6.938893903907228378e-18
6.700000000000000000e+01,-6.938893903907228378e-18
6.800000000000000000e+01,0.000000000000000000e+00
6.900000000000000000e+01,6.938893903907228378e-18
7.000000000000000000e+01,0.000000000000000000e+00
7.100000000000000000e+01,0.000000000000000000e+00
7.200000000000000000e+01,0.000000000000000000e+00
7.300000000000000000e+01,0.000000000000000000e+00
7.400000000000000000e+01,0.000000000000000000e+00
7.500000000000000000e+01,6.938893903907228378e-18
7.600000000000000000e+01,0.000000000000000000e+00
7.700000000000000000e+01,0.000000000000000000e+00
7.800000000000000000e+01,1.387778780781445676e-17
7.900000000000000000e+01,-1.387778780781445676e-17
8.000000000000000000e+01,0.000000000000000000e+00
8.100000000000000000e+01,6.938893903907228378e-18
8.200000000000000000e+01,6.938893903907228378e-18
8.300000000000000000e+01,-6.938893903907228378e-18
8.400000000000000000e+01,-6.938893903907228378e-18
8.500000000000000000e+01,0.000000000000000000e+00
8.600000000000000000e+01,0.000000000000000000e+00
8.700000000000000000e+01,6.938893903907228378e-18
8.800000000000000000e+01,1.387778780781445676e-17
8.900000000000000000e+01,6.938893903907228378e-18
9.000000000000000000e+01,6.938893903907228378e-18
9.100000000000000000e+01,6.938893903907228378e-18
9.200000000000000000e+01,1.387778780781445676e-17
9.300000000000000000e+01,0.000000000000000000e+00
9.400000000000000000e+01,0.000000000000000000e+00
9.500000000000000000e+01,0.000000000000000000e+00
9.600000000000000000e+01,0.000000000000000000e+00
9.700000000000000000e+01,-6.938893903907228378e-18
9.800000000000000000e+01,0.000000000000000000e+00
9.900000000000000000e+01,-6.938893903907228378e-18
