r,C_d
0.000000000000000000e+00,1.973620808556867612e+00
1.000000000000000000e+00,2.020302065653662160e-01
2.000000000000000000e+00,3.944740612488185222e-02
3.000000000000000000e+00,7.947879300677153022e-03
4.000000000000000000e+00,1.588514833264591730e-03
5.000000000000000000e+00,3.173656032213109093e-04
6.000000000000000000e+00,6.340595229177174502e-05
7.000000000000000000e+00,1.266788410498447613e-05
8.000000000000000000e+00,2.530920430632442635e-06
9.000000000000000000e+00,5.056531895537858055e-07
1.000000000000000000e+01,1.010245487785309389e-07
1.100000000000000000e+01,2.018371247517463556e-08
1.200000000000000000e+01,4.032507365042438825e-09
1.300000000000000000e+01,8.056553267046794965e-10
1.400000000000000000e+01,1.609620131249971732e-10
1.500000000000000000e+01,3.215862761160088305e-11
1.600000000000000000e+01,6.424977603555554863e-12
1.700000000000000000e+01,1.283647351721739663e-12
1.800000000000000000e+01,2.564601202715198938e-13
1.900000000000000000e+01,5.123821050832004803e-14
2.000000000000000000e+01,1.023689068034116859e-14
2.100000000000000000e+01,2.045230105757498050e-15
2.200000000000000000e+01,4.086168659072344578e-16
2.300000000000000000e+01,8.163763216350970563e-17
2.400000000000000000e+01,1.631039621800159514e-17
2.500000000000000000e+01,3.258656792531564904e-18
2.600000000000000000e+01,6.510475885777320404e-19
2.700000000000000000e+01,1.300729070819713984e-19
2.800000000000000000e+01,2.598728794507661359e-20
2.900000000000000000e+01,5.192004616626533783e-21
3.000000000000000000e+01,1.037311473290545998e-21
3.100000000000000000e+01,2.072446332029349236e-22
3.200000000000000000e+01,4.140544001599697262e-23
3.300000000000000000e+01,8.272399796576963504e-24
3.400000000000000000e+01,1.652744146501023712e-24
3.500000000000000000e+01,3.302020306499185331e-25
3.600000000000000000e+01,6.597111914428648904e-26
3.700000000000000000e+01,1.318038095722284737e-26
3.800000000000000000e+01,2.633310522391420245e-27
3.900000000000000000e+01,5.261095508673504417e-28
4.000000000000000000e+01,1.051115153797510959e-28
4.100000000000000000e+01,2.100024726483789889e-29
4.200000000000000000e+01,4.195642932586117935e-30
4.300000000000000000e+01,8.382482062664842943e-31
4.400000000000000000e+01,1.674737498713936668e-31
4.500000000000000000e+01,3.345960857222764362e-32
4.600000000000000000e+01,6.684900809339746784e-33
4.700000000000000000e+01,1.335577453737053203e-33
4.800000000000000000e+01,2.668352434163027484e-34
4.900000000000000000e+01,5.331105797942905826e-35
5.000000000000000000e+01,1.065102523885958090e-35
5.100000000000000000e+01,2.127970121582751676e-36
5.200000000000000000e+01,4.251475078760306929e-37
5.300000000000000000e+01,8.494029189597726831e-38
5.400000000000000000e+01,1.697023516623791182e-38
5.500000000000000000e+01,3.390486129723382970e-39
5.600000000000000000e+01,6.773857923349265112e-40
5.700000000000000000e+01,1.353350209187638000e-40
5.800000000000000000e+01,2.703860658821574364e-41
5.900000000000000000e+01,5.402047752082340920e-42
6.000000000000000000e+01,1.079276027389376018e-42
6.100000000000000000e+01,2.156287385071906939e-43
6.200000000000000000e+01,4.308050183707391830e-44
6.300000000000000000e+01,8.607060686508001413e-45
6.400000000000000000e+01,1.719606097689799448e-45
6.500000000000000000e+01,3.435603903068213981e-46
6.600000000000000000e+01,6.863998815484753293e-47
6.700000000000000000e+01,1.371359476329143615e-47
6.800000000000000000e+01,2.739841400263012087e-48
6.900000000000000000e+01,5.473933728311616983e-49
7.000000000000000000e+01,1.093638137806412200e-49
7.100000000000000000e+01,2.184981469523829709e-50
7.200000000000000000e+01,4.365378141485819740e-51
7.300000000000000000e+01,8.721596301272713513e-52
7.400000000000000000e+01,1.742489191714121049e-52
7.500000000000000000e+01,3.481322083080093890e-53
7.600000000000000000e+01,6.955339234906345350e-54
7.700000000000000000e+01,1.389608392155405058e-54
7.800000000000000000e+01,2.776300937691009648e-55
7.900000000000000000e+01,5.546776299191457495e-56
8.000000000000000000e+01,1.108191366834744451e-56
8.100000000000000000e+01,2.214057388118628316e-57
8.200000000000000000e+01,4.423468979031429380e-58
8.300000000000000000e+01,8.837656103549807285e-59
8.400000000000000000e+01,1.765676796765815000e-59
8.500000000000000000e+01,3.527648633306216900e-60
8.600000000000000000e+01,7.047895121949710605e-61
8.700000000000000000e+01,1.408100148326522635e-61
8.800000000000000000e+01,2.813245647280995994e-62
8.900000000000000000e+01,5.620588191140362745e-63
9.000000000000000000e+01,1.122938259904202783e-63
9.100000000000000000e+01,2.243520235723453594e-64
9.200000000000000000e+01,4.482332845810021809e-65
9.300000000000000000e+01,8.955260309535844927e-66
9.400000000000000000e+01,1.789172959445613320e-66
9.500000000000000000e+01,3.574591656069125519e-67
9.600000000000000000e+01,7.141682663122270971e-68
9.700000000000000000e+01,1.426837975560816253e-68
9.800000000000000000e+01,2.850681990840562759e-69
9.900000000000000000e+01,5.695382337946905332e-70
