r,C_n
0.000000000000000000e+00,6.791298297912806703e-01
1.000000000000000000e+00,-1.517812337850883431e-01
2.000000000000000000e+00,-7.527356138741536640e-02
3.000000000000000000e+00,7.904561228533291128e-02
4.000000000000000000e+00,2.609035237155010734e-02
5.000000000000000000e+00,4.465717963691329118e-03
6.000000000000000000e+00,-7.188299044491586187e-04
7.000000000000000000e+00,-6.552076924424277138e-04
8.000000000000000000e+00,-1.386529639737510422e-04
9.000000000000000000e+00,3.674318659063757764e-05
1.000000000000000000e+01,3.601274360232054050e-05
1.100000000000000000e+01,1.095917922855349502e-05
1.200000000000000000e+01,1.974400731796777109e-08
1.300000000000000000e+01,-1.382243107084235589e-06
1.400000000000000000e+01,-5.468062975744203413e-07
1.500000000000000000e+01,-2.610639304734263533e-08
1.600000000000000000e+01,6.828970633421249659e-08
1.700000000000000000e+01,3.194101338976906845e-08
1.800000000000000000e+01,2.243365049281464962e-09
1.900000000000000000e+01,-5.430810023909771189e-09
2.000000000000000000e+01,-4.518365681605018835e-09
2.100000000000000000e+01,-3.064434928035097983e-09
2.200000000000000000e+01,-2.595557990758834421e-09
2.300000000000000000e+01,-2.612819738345706355e-09
2.400000000000000000e+01,-2.689470868233456713e-09
2.500000000000000000e+01,-2.719723557476072529e-09
2.600000000000000000e+01,-2.721473268962881775e-09
2.700000000000000000e+01,-2.717881919522824319e-09
2.800000000000000000e+01,-2.716147751158359824e-09
2.900000000000000000e+01,-2.715948799192346996e-09
3.000000000000000000e+01,-2.716112224021571819e-09
3.100000000000000000e+01,-2.716258773460822340e-09
3.200000000000000000e+01,-2.716241898070848038e-09
3.300000000000000000e+01,-2.716237457178749537e-09
3.400000000000000000e+01,-2.716229019483762386e-09
3.500000000000000000e+01,-2.716227243126922986e-09
3.600000000000000000e+01,-2.716229907662182086e-09
3.700000000000000000e+01,-2.716229463572972236e-09
3.800000000000000000e+01,-2.716220581788775235e-09
3.900000000000000000e+01,-2.716264990709760241e-09
4.000000000000000000e+01,-2.716230351751391936e-09
4.100000000000000000e+01,-2.716233460375860886e-09
4.200000000000000000e+01,-2.716230795840601786e-09
4.300000000000000000e+01,-2.716230351751391936e-09
4.400000000000000000e+01,-2.716232128108231336e-09
4.500000000000000000e+01,-2.716231239929811636e-09
4.600000000000000000e+01,-2.716221025877985085e-09
4.700000000000000000e+01,-2.716266322977389791e-09
4.800000000000000000e+01,-2.716231684019021486e-09
4.900000000000000000e+01,-2.716235680821910137e-09
5.000000000000000000e+01,-2.716232572197441186e-09
5.100000000000000000e+01,-2.716232128108231336e-09
5.200000000000000000e+01,-2.716233460375860886e-09
5.300000000000000000e+01,-2.716232572197441186e-09
5.400000000000000000e+01,-2.716223246324034335e-09
5.500000000000000000e+01,-2.716267655245019341e-09
5.600000000000000000e+01,-2.716233904465070736e-09
5.700000000000000000e+01,-2.716237013089539687e-09
5.800000000000000000e+01,-2.716233460375860886e-09
5.900000000000000000e+01,-2.716233460375860886e-09
6.000000000000000000e+01,-2.716235680821910137e-09
6.100000000000000000e+01,-2.716234792643490437e-09
6.200000000000000000e+01,-2.716226354948503285e-09
6.300000000000000000e+01,-2.716269875691068592e-09
6.400000000000000000e+01,-2.716236569000329837e-09
6.500000000000000000e+01,-2.716239233535588937e-09
6.600000000000000000e+01,-2.716236124911119987e-09
6.700000000000000000e+01,-2.716236124911119987e-09
6.800000000000000000e+01,-2.716238789446379087e-09
6.900000000000000000e+01,-2.716237901267959387e-09
7.000000000000000000e+01,-2.716228575394552536e-09
7.100000000000000000e+01,-2.716272984315537542e-09
7.200000000000000000e+01,-2.716238345357169237e-09
7.300000000000000000e+01,-2.716241453981638188e-09
7.400000000000000000e+01,-2.716237901267959387e-09
7.500000000000000000e+01,-2.716237901267959387e-09
7.600000000000000000e+01,-2.716239677624798787e-09
7.700000000000000000e+01,-2.716238345357169237e-09
7.800000000000000000e+01,-2.716229463572972236e-09
7.900000000000000000e+01,-2.716273872493957242e-09
8.000000000000000000e+01,-2.716239233535588937e-09
8.100000000000000000e+01,-2.716241898070848038e-09
8.200000000000000000e+01,-2.716238789446379087e-09
8.300000000000000000e+01,-2.716238789446379087e-09
8.400000000000000000e+01,-2.716240565803218487e-09
8.500000000000000000e+01,-2.716239677624798787e-09
8.600000000000000000e+01,-2.716230351751391936e-09
8.700000000000000000e+01,-2.716274760672376942e-09
8.800000000000000000e+01,-2.716240565803218487e-09
8.900000000000000000e+01,-2.716243674427687438e-09
9.000000000000000000e+01,-2.716240121714008637e-09
9.100000000000000000e+01,-2.716239677624798787e-09
9.200000000000000000e+01,-2.716241898070848038e-09
9.300000000000000000e+01,-2.716241453981638188e-09
9.400000000000000000e+01,-2.716232128108231336e-09
9.500000000000000000e+01,-2.716276981118426193e-09
9.600000000000000000e+01,-2.716242786249267738e-09
9.700000000000000000e+01,-2.716245450784526838e-09
9.800000000000000000e+01,-2.716241898070848038e-09
9.900000000000000000e+01,-2.716241898070848038e-09
