r,C_nn
0.000000000000000000e+00,3.120104788519668659e-01
1.000000000000000000e+00,-1.754819025813443290e-01
2.000000000000000000e+00,6.522574153506544015e-03
3.000000000000000000e+00,8.187186546192659620e-03
4.000000000000000000e+00,4.211797968048269780e-03
5.000000000000000000e+00,8.511222117710826041e-04
6.000000000000000000e+00,-1.131393165331173734e-04
7.000000000000000000e+00,-1.510522881649212223e-04
8.000000000000000000e+00,-4.671317645599248891e-05
9.000000000000000000e+00,2.358798870671918735e-06
1.000000000000000000e+01,8.660777913616080070e-06
1.100000000000000000e+01,3.889731180928279741e-06
1.200000000000000000e+01,5.575074408792346503e-07
1.300000000000000000e+01,-3.238886129297569028e-07
1.400000000000000000e+01,-2.336969830984969576e-07
1.500000000000000000e+01,-5.558685645112859675e-08
1.600000000000000000e+01,1.290494244798878753e-08
1.700000000000000000e+01,1.586544962073332954e-08
1.800000000000000000e+01,5.697814997596140074e-09
1.900000000000000000e+01,1.817122008418436963e-10
2.000000000000000000e+01,-8.355878211574463421e-10
2.100000000000000000e+01,-4.221913929569609536e-10
2.200000000000000000e+01,-5.850908646465313723e-11
2.300000000000000000e+01,4.459366209630388767e-11
2.400000000000000000e+01,3.185141039807604102e-11
2.500000000000000000e+01,7.958966818932822207e-12
2.600000000000000000e+01,-1.486255563065697061e-12
2.700000000000000000e+01,-2.028932577502473578e-12
2.800000000000000000e+01,-7.115419364822628268e-13
2.900000000000000000e+01,4.440892098500626162e-15
3.000000000000000000e+01,1.214583988939921255e-13
3.100000000000000000e+01,5.417888360170763917e-14
3.200000000000000000e+01,2.442490654175344389e-15
3.300000000000000000e+01,-1.088018564132653410e-14
3.400000000000000000e+01,-9.547918011776346248e-15
3.500000000000000000e+01,-5.995204332975845318e-15
3.600000000000000000e+01,-4.884981308350688778e-15
3.700000000000000000e+01,-4.884981308350688778e-15
3.800000000000000000e+01,-4.773959005888173124e-15
3.900000000000000000e+01,-5.329070518200751394e-15
4.000000000000000000e+01,-5.329070518200751394e-15
4.100000000000000000e+01,-5.329070518200751394e-15
4.200000000000000000e+01,-5.440092820663267048e-15
4.300000000000000000e+01,-5.773159728050814010e-15
4.400000000000000000e+01,-5.995204332975845318e-15
4.500000000000000000e+01,-5.995204332975845318e-15
4.600000000000000000e+01,-5.773159728050814010e-15
4.700000000000000000e+01,-6.217248937900876626e-15
4.800000000000000000e+01,-5.995204332975845318e-15
4.900000000000000000e+01,-5.995204332975845318e-15
5.000000000000000000e+01,-6.328271240363392280e-15
5.100000000000000000e+01,-6.661338147750939243e-15
5.200000000000000000e+01,-6.661338147750939243e-15
5.300000000000000000e+01,-6.439293542825907934e-15
5.400000000000000000e+01,-6.106226635438360972e-15
5.500000000000000000e+01,-6.439293542825907934e-15
5.600000000000000000e+01,-6.439293542825907934e-15
5.700000000000000000e+01,-6.439293542825907934e-15
5.800000000000000000e+01,-6.772360450213454897e-15
5.900000000000000000e+01,-7.105427357601001859e-15
6.000000000000000000e+01,-6.883382752675970551e-15
6.100000000000000000e+01,-7.105427357601001859e-15
6.200000000000000000e+01,-6.661338147750939243e-15
6.300000000000000000e+01,-7.105427357601001859e-15
6.400000000000000000e+01,-7.105427357601001859e-15
6.500000000000000000e+01,-7.105427357601001859e-15
6.600000000000000000e+01,-7.327471962526033167e-15
6.700000000000000000e+01,-7.549516567451064475e-15
6.800000000000000000e+01,-7.549516567451064475e-15
6.900000000000000000e+01,-7.549516567451064475e-15
7.000000000000000000e+01,-7.327471962526033167e-15
7.100000000000000000e+01,-7.771561172376095783e-15
7.200000000000000000e+01,-7.549516567451064475e-15
7.300000000000000000e+01,-7.771561172376095783e-15
7.400000000000000000e+01,-8.104628079763642745e-15
7.500000000000000000e+01,-8.215650382226158399e-15
7.600000000000000000e+01,-8.215650382226158399e-15
7.700000000000000000e+01,-8.215650382226158399e-15
7.800000000000000000e+01,-7.993605777301127091e-15
7.900000000000000000e+01,-8.215650382226158399e-15
8.000000000000000000e+01,-8.215650382226158399e-15
8.100000000000000000e+01,-8.215650382226158399e-15
8.200000000000000000e+01,-8.548717289613705361e-15
8.300000000000000000e+01,-8.659739592076221015e-15
8.400000000000000000e+01,-8.659739592076221015e-15
8.500000000000000000e+01,-8.659739592076221015e-15
8.600000000000000000e+01,-8.326672684688674053e-15
8.700000000000000000e+01,-8.659739592076221015e-15
8.800000000000000000e+01,-8.659739592076221015e-15
8.900000000000000000e+01,-8.659739592076221015e-15
9.000000000000000000e+01,-8.770761894538736669e-15
9.100000000000000000e+01,-8.881784197001252323e-15
9.200000000000000000e+01,-8.881784197001252323e-15
9.300000000000000000e+01,-9.103828801926283631e-15
9.400000000000000000e+01,-8.770761894538736669e-15
9.500000000000000000e+01,-9.103828801926283631e-15
9.600000000000000000e+01,-9.103828801926283631e-15
9.700000000000000000e+01,-8.881784197001252323e-15
9.800000000000000000e+01,-9.325873406851314940e-15
9.900000000000000000e+01,-9.547918011776346248e-15
