r,C_d
0.000000000000000000e+00,6.495098297051131730e+00
1.000000000000000000e+00,3.686267114003782375e+00
2.000000000000000000e+00,3.733322029054256586e+00
3.000000000000000000e+00,3.761460933886443758e+00
4.000000000000000000e+00,3.759697773861047754e+00
5.000000000000000000e+00,3.759441595234461975e+00
6.000000000000000000e+00,3.759705923345207701e+00
7.000000000000000000e+00,3.759267626400525142e+00
8.000000000000000000e+00,3.759896010281879253e+00
9.000000000000000000e+00,3.759881974671867244e+00
1.000000000000000000e+01,3.760229753426548971e+00
1.100000000000000000e+01,3.759998748314704375e+00
1.200000000000000000e+01,3.760733175586119081e+00
1.300000000000000000e+01,3.760727237082795771e+00
1.400000000000000000e+01,3.761158236260451204e+00
1.500000000000000000e+01,3.760898115064875480e+00
1.600000000000000000e+01,3.761609678597350293e+00
1.700000000000000000e+01,3.761655660479314989e+00
1.800000000000000000e+01,3.762029084335628770e+00
1.900000000000000000e+01,3.761737794633202903e+00
2.000000000000000000e+01,3.762489509394704168e+00
2.100000000000000000e+01,3.762470116008442389e+00
2.200000000000000000e+01,3.762820597037340953e+00
2.300000000000000000e+01,3.762559556655050930e+00
2.400000000000000000e+01,3.763239285734445438e+00
2.500000000000000000e+01,3.763218367099514072e+00
2.600000000000000000e+01,3.763593782189860626e+00
2.700000000000000000e+01,3.763256094226868242e+00
2.800000000000000000e+01,3.763952345450311210e+00
2.900000000000000000e+01,3.763952528908517614e+00
3.000000000000000000e+01,3.764254331362721473e+00
3.100000000000000000e+01,3.763945580325414486e+00
3.200000000000000000e+01,3.764651745636754310e+00
3.300000000000000000e+01,3.764586273410529316e+00
3.400000000000000000e+01,3.764922186035118745e+00
3.500000000000000000e+01,3.764601412700819605e+00
3.600000000000000000e+01,3.765249655063896306e+00
3.700000000000000000e+01,3.765228175568377189e+00
3.800000000000000000e+01,3.765543786088543232e+00
3.900000000000000000e+01,3.765170866457991927e+00
4.000000000000000000e+01,3.765869865986191112e+00
4.100000000000000000e+01,3.765820233623797364e+00
4.200000000000000000e+01,3.766091444132831256e+00
4.300000000000000000e+01,3.765766764982259041e+00
