r,C_d
0.000000000000000000e+00,3.818695765724702262e+00
1.000000000000000000e+00,-1.049395363882695553e-01
2.000000000000000000e+00,4.340716564547073691e-02
3.000000000000000000e+00,1.633934618282071802e-02
4.000000000000000000e+00,8.156799133791708956e-02
5.000000000000000000e+00,3.137130313607085219e-02
6.000000000000000000e+00,-2.362363692539061130e-02
7.000000000000000000e+00,2.012841342642544135e-02
8.000000000000000000e+00,8.619895834881592667e-02
9.000000000000000000e+00,2.187504679515068010e-02
1.000000000000000000e+01,-2.036865475779017776e-02
1.100000000000000000e+01,1.927755517076012309e-02
1.200000000000000000e+01,8.878938915322537317e-02
1.300000000000000000e+01,2.189798185890405938e-02
1.400000000000000000e+01,-2.083031018189875419e-02
1.500000000000000000e+01,1.939227967653686310e-02
1.600000000000000000e+01,8.887641873018825578e-02
1.700000000000000000e+01,2.177538698295589797e-02
1.800000000000000000e+01,-2.086056360793421549e-02
1.900000000000000000e+01,1.926247289807180713e-02
2.000000000000000000e+01,8.873242730536551326e-02
2.100000000000000000e+01,2.166814328700151712e-02
2.200000000000000000e+01,-2.097635728010443026e-02
2.300000000000000000e+01,1.916290617020138462e-02
2.400000000000000000e+01,8.862593658049010281e-02
2.500000000000000000e+01,2.157257090216500514e-02
2.600000000000000000e+01,-2.106564722333923931e-02
2.700000000000000000e+01,1.908438412456807051e-02
2.800000000000000000e+01,8.854574207332534252e-02
2.900000000000000000e+01,2.150081548563942055e-02
3.000000000000000000e+01,-2.113140599537507644e-02
3.100000000000000000e+01,1.902920938891052016e-02
3.200000000000000000e+01,8.848955953276944897e-02
3.300000000000000000e+01,2.145123476477730703e-02
3.400000000000000000e+01,-2.117586683924411670e-02
3.500000000000000000e+01,1.899222579402416386e-02
3.600000000000000000e+01,8.845197966956588886e-02
3.700000000000000000e+01,2.141820156909567813e-02
3.800000000000000000e+01,-2.120557341138627067e-02
3.900000000000000000e+01,1.896702344255496442e-02
4.000000000000000000e+01,8.842641443760052011e-02
4.100000000000000000e+01,2.139536255104603629e-02
4.200000000000000000e+01,-2.122657887372241328e-02
4.300000000000000000e+01,1.894858759518991756e-02
4.400000000000000000e+01,8.840772343576171199e-02
4.500000000000000000e+01,2.137829970049068273e-02
