r,C_n
0.000000000000000000e+00,-3.704835904688280834e+00
1.000000000000000000e+00,-2.156201719950988149e+01
2.000000000000000000e+00,-1.854678451703954778e+01
3.000000000000000000e+00,-1.939750948629944105e+01
4.000000000000000000e+00,-1.856809940213371135e+01
5.000000000000000000e+00,-1.942101497787742659e+01
6.000000000000000000e+00,-1.857680275410965720e+01
7.000000000000000000e+00,-1.942130219554444182e+01
8.000000000000000000e+00,-1.857612115172371858e+01
9.000000000000000000e+00,-1.942195423629751616e+01
1.000000000000000000e+01,-1.857708515872337784e+01
1.100000000000000000e+01,-1.942129883998013895e+01
1.200000000000000000e+01,-1.857613002553732429e+01
1.300000000000000000e+01,-1.942194234194936087e+01
1.400000000000000000e+01,-1.857708135874718636e+01
1.500000000000000000e+01,-1.942129777640841581e+01
1.600000000000000000e+01,-1.857612388442453266e+01
1.700000000000000000e+01,-1.942194315068817900e+01
1.800000000000000000e+01,-1.857707282901354517e+01
1.900000000000000000e+01,-1.942129978931533429e+01
2.000000000000000000e+01,-1.857611553028318241e+01
2.100000000000000000e+01,-1.942194584098265864e+01
2.200000000000000000e+01,-1.857706448584376346e+01
2.300000000000000000e+01,-1.942130323123824809e+01
2.400000000000000000e+01,-1.857610790585323457e+01
2.500000000000000000e+01,-1.942194965350668667e+01
2.600000000000000000e+01,-1.857705704763692012e+01
2.700000000000000000e+01,-1.942130733462752801e+01
2.800000000000000000e+01,-1.857610092214972042e+01
2.900000000000000000e+01,-1.942195386053018069e+01
3.000000000000000000e+01,-1.857705018561527055e+01
3.100000000000000000e+01,-1.942131157936811547e+01
3.200000000000000000e+01,-1.857609435062058623e+01
3.300000000000000000e+01,-1.942195808712695282e+01
3.400000000000000000e+01,-1.857704371606282479e+01
3.500000000000000000e+01,-1.942131572734598421e+01
3.600000000000000000e+01,-1.857608810361906393e+01
3.700000000000000000e+01,-1.942196216783822393e+01
3.800000000000000000e+01,-1.857703757951529155e+01
3.900000000000000000e+01,-1.942131968099992179e+01
4.000000000000000000e+01,-1.857608216566762849e+01
4.100000000000000000e+01,-1.942196603601851024e+01
4.200000000000000000e+01,-1.857703176737613404e+01
4.300000000000000000e+01,-1.942132340596520379e+01
4.400000000000000000e+01,-1.857607654378235651e+01
4.500000000000000000e+01,-1.942196966991822649e+01
4.600000000000000000e+01,-1.857702628416631541e+01
4.700000000000000000e+01,-1.942132689526761880e+01
4.800000000000000000e+01,-1.857607124586141367e+01
4.900000000000000000e+01,-1.942197306755089414e+01
5.000000000000000000e+01,-1.857702113276194922e+01
5.100000000000000000e+01,-1.942133015327949153e+01
5.200000000000000000e+01,-1.857606627391839282e+01
5.300000000000000000e+01,-1.942197623522081074e+01
5.400000000000000000e+01,-1.857701631048060165e+01
5.500000000000000000e+01,-1.942133318874967074e+01
5.600000000000000000e+01,-1.857606162357713231e+01
5.700000000000000000e+01,-1.942197918244650623e+01
5.800000000000000000e+01,-1.857701180940374996e+01
5.900000000000000000e+01,-1.942133601190029424e+01
6.000000000000000000e+01,-1.857605728558407776e+01
6.100000000000000000e+01,-1.942198191980600086e+01
6.200000000000000000e+01,-1.857700761788410659e+01
6.300000000000000000e+01,-1.942133863328406562e+01
6.400000000000000000e+01,-1.857605324756421794e+01
6.500000000000000000e+01,-1.942198445806838691e+01
6.600000000000000000e+01,-1.857700372204271844e+01
6.700000000000000000e+01,-1.942134106336545329e+01
6.800000000000000000e+01,-1.857604949543092232e+01
6.900000000000000000e+01,-1.942198680786408715e+01
7.000000000000000000e+01,-1.857700010690466286e+01
7.100000000000000000e+01,-1.942134331237912903e+01
7.200000000000000000e+01,-1.857604601435973990e+01
7.300000000000000000e+01,-1.942198897956542680e+01
7.400000000000000000e+01,-1.857699675715625887e+01
7.500000000000000000e+01,-1.942134539028355533e+01
7.600000000000000000e+01,-1.857604278940281262e+01
7.700000000000000000e+01,-1.942199098324276463e+01
7.800000000000000000e+01,-1.857699365761015287e+01
7.900000000000000000e+01,-1.942134730674175103e+01
8.000000000000000000e+01,-1.857603980585090397e+01
8.100000000000000000e+01,-1.942199282864307008e+01
8.200000000000000000e+01,-1.857699079347158744e+01
8.300000000000000000e+01,-1.942134907110740727e+01
8.400000000000000000e+01,-1.857603704943409184e+01
8.500000000000000000e+01,-1.942199452517593272e+01
8.600000000000000000e+01,-1.857698815048019014e+01
8.700000000000000000e+01,-1.942135069241147249e+01
8.800000000000000000e+01,-1.857603450642545084e+01
8.900000000000000000e+01,-1.942199608190092874e+01
9.000000000000000000e+01,-1.857698571497800089e+01
9.100000000000000000e+01,-1.942135217934996660e+01
9.200000000000000000e+01,-1.857603216368767107e+01
9.300000000000000000e+01,-1.942199750751773735e+01
9.400000000000000000e+01,-1.857698347393570515e+01
9.500000000000000000e+01,-1.942135354027377048e+01
9.600000000000000000e+01,-1.857603000868898135e+01
9.700000000000000000e+01,-1.942199881035896425e+01
9.800000000000000000e+01,-1.857698141495581012e+01
9.900000000000000000e+01,-1.942135478318175501e+01
1.000000000000000000e+02,-1.857602802950164289e+01
