r,C_nn
0.000000000000000000e+00,8.662581789336050164e-01
1.000000000000000000e+00,-4.471935824976922547e-01
2.000000000000000000e+00,1.724531107092097670e-02
3.000000000000000000e+00,-2.927617317636688199e-03
4.000000000000000000e+00,5.518056196196496899e-04
5.000000000000000000e+00,9.780445929408188022e-05
6.000000000000000000e+00,7.907524352290806746e-05
7.000000000000000000e+00,-9.621886662447565186e-05
8.000000000000000000e+00,-2.803314084243169191e-05
9.000000000000000000e+00,-2.013410574441820700e-05
1.000000000000000000e+01,8.925093758982427516e-05
1.100000000000000000e+01,4.493859772036756794e-05
1.200000000000000000e+01,9.820989804776303345e-05
1.300000000000000000e+01,1.061321716990804020e-04
1.400000000000000000e+01,-1.553962107436746010e-06
1.500000000000000000e+01,8.889735018868805128e-05
1.600000000000000000e+01,-9.967159499524314015e-06
1.700000000000000000e+01,-3.739823984716394989e-06
1.800000000000000000e+01,-3.819076299826917875e-05
1.900000000000000000e+01,-7.191192259980994095e-05
2.000000000000000000e+01,-5.407930968903684743e-05
2.100000000000000000e+01,-4.934915527954331083e-05
2.200000000000000000e+01,4.346457142379023253e-05
2.300000000000000000e+01,-2.698776629106447444e-05
2.400000000000000000e+01,5.269269348673333297e-05
2.500000000000000000e+01,4.542592537504219763e-05
2.600000000000000000e+01,1.334979291378601829e-05
2.700000000000000000e+01,7.758114704792262728e-05
2.800000000000000000e+01,1.739063294081688582e-05
2.900000000000000000e+01,2.214443947590183370e-05
3.000000000000000000e+01,-3.638328318000816353e-05
3.100000000000000000e+01,-2.403967029795950339e-05
3.200000000000000000e+01,-4.858011802877371110e-05
3.300000000000000000e+01,-4.523413986134983134e-05
3.400000000000000000e+01,1.456822766066068198e-05
3.500000000000000000e+01,-4.524920944870558515e-05
3.600000000000000000e+01,1.748974014592619142e-05
3.700000000000000000e+01,1.254871610889551903e-05
3.800000000000000000e+01,2.178711239952946244e-05
3.900000000000000000e+01,4.659952976826531312e-05
4.000000000000000000e+01,2.902979531249627598e-05
4.100000000000000000e+01,2.951061901601548243e-05
4.200000000000000000e+01,-2.344127255327066450e-05
4.300000000000000000e+01,8.295528142632235813e-06
4.400000000000000000e+01,-3.046134187201232635e-05
4.500000000000000000e+01,-2.669459132675910951e-05
4.600000000000000000e+01,-2.572670945610866511e-06
4.700000000000000000e+01,-4.144772078795710968e-05
4.800000000000000000e+01,-4.291588704852244973e-06
4.900000000000000000e+01,-6.872540537550264617e-06
5.000000000000000000e+01,2.035452516402358469e-05
5.100000000000000000e+01,1.839389325297702271e-05
5.200000000000000000e+01,2.679802126870356460e-05
5.300000000000000000e+01,2.540202711198702445e-05
5.400000000000000000e+01,-9.950672714253983031e-06
5.500000000000000000e+01,2.176403371745294635e-05
5.600000000000000000e+01,-1.251120937428851221e-05
5.700000000000000000e+01,-9.629928999999037842e-06
5.800000000000000000e+01,-9.988500689672719091e-06
5.900000000000000000e+01,-2.745603379050720605e-05
6.000000000000000000e+01,-1.357377202193532639e-05
6.100000000000000000e+01,-1.418985000345429626e-05
6.200000000000000000e+01,1.387450399192857731e-05
6.300000000000000000e+01,-7.131729731213454215e-07
6.400000000000000000e+01,1.801566667403164956e-05
6.500000000000000000e+01,1.611541591817200469e-05
6.600000000000000000e+01,-3.860904422836597405e-07
6.700000000000000000e+01,2.208548865745285639e-05
6.800000000000000000e+01,-4.683809695649188143e-08
6.900000000000000000e+01,1.575705717016262497e-06
