r,C_nn
0.000000000000000000e+00,1.308857554826195368e+00
1.000000000000000000e+00,-2.348420058100941787e-01
2.000000000000000000e+00,-1.889600750349025304e-01
3.000000000000000000e+00,-2.036867433284843543e-01
4.000000000000000000e+00,-1.046261056441721848e-02
5.000000000000000000e+00,-3.025254268420418668e-02
6.000000000000000000e+00,1.942759061519083730e-02
7.000000000000000000e+00,-3.554045003646422174e-03
8.000000000000000000e+00,-2.206851159089140424e-03
9.000000000000000000e+00,1.280561775757860232e-03
1.000000000000000000e+01,-4.018647573040823318e-04
1.100000000000000000e+01,2.994075361826276094e-04
1.200000000000000000e+01,8.381874927110288809e-05
1.300000000000000000e+01,3.074171765149458224e-06
1.400000000000000000e+01,4.965811239721062975e-05
1.500000000000000000e+01,8.952819415597446095e-06
1.600000000000000000e+01,1.018303266597797574e-05
1.700000000000000000e+01,5.130415784648789668e-06
1.800000000000000000e+01,1.848519417535499088e-06
1.900000000000000000e+01,1.489993039172077260e-06
2.000000000000000000e+01,5.355833305742407902e-07
2.100000000000000000e+01,3.052930903635342474e-07
2.200000000000000000e+01,1.323398457486746338e-07
2.300000000000000000e+01,5.766237798354723054e-08
2.400000000000000000e+01,2.900313234022178221e-08
2.500000000000000000e+01,9.460666916538684745e-09
2.600000000000000000e+01,4.389992369624451385e-09
2.700000000000000000e+01,1.510894520606598235e-09
2.800000000000000000e+01,8.462706091449945234e-10
2.900000000000000000e+01,1.285140882600899204e-10
3.000000000000000000e+01,-7.340224428276087565e-09
3.100000000000000000e+01,3.555395977627995308e-09
3.200000000000000000e+01,4.962767974348025746e-10
3.300000000000000000e+01,1.636859536802148796e-10
3.400000000000000000e+01,2.684288347154506482e-10
3.500000000000000000e+01,4.162181710398726864e-11
3.600000000000000000e+01,2.723332670484523987e-10
3.700000000000000000e+01,-3.410818294469208922e-10
3.800000000000000000e+01,-7.834184856392312213e-09
3.900000000000000000e+01,2.983822966484694916e-09
4.000000000000000000e+01,-1.065263433019936201e-10
4.100000000000000000e+01,-4.696012467775290133e-10
4.200000000000000000e+01,-3.771365442162277759e-10
4.300000000000000000e+01,-5.416964654614275787e-10
4.400000000000000000e+01,-3.025970585213144659e-10
4.500000000000000000e+01,-8.934648576541803777e-10
4.600000000000000000e+01,-8.356430214462307049e-09
4.700000000000000000e+01,2.481666427911477513e-09
4.800000000000000000e+01,-5.767102351228459156e-10
4.900000000000000000e+01,-9.111449372767310706e-10
5.000000000000000000e+01,-7.996341366833803477e-10
5.100000000000000000e+01,-9.200071815484989202e-10
5.200000000000000000e+01,-6.467200108772885869e-10
5.300000000000000000e+01,-1.249022218985373911e-09
5.400000000000000000e+01,-8.654550853748332884e-09
5.500000000000000000e+01,2.197236170786709408e-09
5.600000000000000000e+01,-8.442704313438298414e-10
5.700000000000000000e+01,-1.153257045416467008e-09
5.800000000000000000e+01,-1.033741980904778757e-09
5.900000000000000000e+01,-1.137667737793890410e-09
6.000000000000000000e+01,-8.402700757415004773e-10
6.100000000000000000e+01,-1.446110786673671100e-09
6.200000000000000000e+01,-8.826994246646790998e-09
6.300000000000000000e+01,2.034274970696969831e-09
6.400000000000000000e+01,-9.973746273317374289e-10
6.500000000000000000e+01,-1.294003126872667053e-09
6.600000000000000000e+01,-1.171194696780730737e-09
6.700000000000000000e+01,-1.266533544708181580e-09
6.800000000000000000e+01,-9.596785588428247138e-10
6.900000000000000000e+01,-1.559017803742790420e-09
7.000000000000000000e+01,-8.937920625839979039e-09
7.100000000000000000e+01,1.929338466766239435e-09
7.200000000000000000e+01,-1.095662227612592687e-09
7.300000000000000000e+01,-1.387594039670148049e-09
7.400000000000000000e+01,-1.262304039073569584e-09
7.500000000000000000e+01,-1.349743428136207513e-09
7.600000000000000000e+01,-1.039371255728838150e-09
7.700000000000000000e+01,-1.633550184010346129e-09
7.800000000000000000e+01,-9.011529300551046617e-09
7.900000000000000000e+01,1.859174147966768942e-09
8.000000000000000000e+01,-1.161463814014496165e-09
8.100000000000000000e+01,-1.450219500043203880e-09
8.200000000000000000e+01,-1.322847609230848320e-09
8.300000000000000000e+01,-1.404281135819474002e-09
8.400000000000000000e+01,-1.090706192030665989e-09
8.500000000000000000e+01,-1.683961414755685837e-09
8.600000000000000000e+01,-9.057526284550476703e-09
8.700000000000000000e+01,1.815216421618970344e-09
8.800000000000000000e+01,-1.202813848522055196e-09
8.900000000000000000e+01,-1.488622558554197894e-09
9.000000000000000000e+01,-1.359945045464883151e-09
9.100000000000000000e+01,-1.438110075469012372e-09
9.200000000000000000e+01,-1.121593484754157544e-09
9.300000000000000000e+01,-1.715234176913327246e-09
9.400000000000000000e+01,-9.084921259727707366e-09
9.500000000000000000e+01,1.789146608643932268e-09
9.600000000000000000e+01,-1.227361323685727257e-09
9.700000000000000000e+01,-1.511143210564114270e-09
9.800000000000000000e+01,-1.381829761726294237e-09
9.900000000000000000e+01,-1.458406728715999634e-09
1.000000000000000000e+02,-1.140067595883920148e-09
1.010000000000000000e+02,-1.733553744998062029e-09
1.020000000000000000e+02,-9.101631448515945522e-09
1.030000000000000000e+02,1.773312163777518435e-09
1.040000000000000000e+02,-1.242250746713580156e-09
1.050000000000000000e+02,-1.524989912127239222e-09
1.060000000000000000e+02,-1.395321191921539139e-09
1.070000000000000000e+02,-1.470898070010662195e-09
1.080000000000000000e+02,-1.151729378534582793e-09
1.090000000000000000e+02,-1.744719924090532004e-09
1.100000000000000000e+02,-9.112346432971207832e-09
1.110000000000000000e+02,1.763138968158273201e-09
1.120000000000000000e+02,-1.251802217439035303e-09
1.130000000000000000e+02,-1.534015581228231895e-09
1.140000000000000000e+02,-1.404089289280818775e-09
1.150000000000000000e+02,-1.478900557572160324e-09
1.160000000000000000e+02,-1.159271789674676256e-09
1.170000000000000000e+02,-1.751971012708963826e-09
1.180000000000000000e+02,-9.119235144794402004e-09
1.190000000000000000e+02,1.756573553279849875e-09
1.200000000000000000e+02,-1.257967952028593572e-09
1.210000000000000000e+02,-1.539810057238355512e-09
1.220000000000000000e+02,-1.409704353250162967e-09
1.230000000000000000e+02,-1.484007583485436044e-09
1.240000000000000000e+02,-1.164035978717947728e-09
1.250000000000000000e+02,-1.756664147478659288e-09
1.260000000000000000e+02,-9.123510835706838407e-09
1.270000000000000000e+02,1.752491485262908100e-09
1.280000000000000000e+02,-1.261806659158537514e-09
1.290000000000000000e+02,-1.543371652701353014e-09
1.300000000000000000e+02,-1.413155814589117654e-09
