r,C_j
0.000000000000000000e+00,1.777452704348206680e+02
1.000000000000000000e+00,-1.051592481634016281e+02
2.000000000000000000e+00,2.278402475445889053e+01
3.000000000000000000e+00,1.142466866366190459e+01
4.000000000000000000e+00,-1.213856772278978724e+01
5.000000000000000000e+00,1.863026728842334112e-01
6.000000000000000000e+00,-8.296000866426722631e-02
7.000000000000000000e+00,2.077459426823402566e-02
8.000000000000000000e+00,7.561036227115014441e-03
9.000000000000000000e+00,-2.082891769072237054e-02
1.000000000000000000e+01,1.602247506396503596e-02
1.100000000000000000e+01,-6.228161971971069022e-03
1.200000000000000000e+01,2.958428917239075417e-04
1.300000000000000000e+01,3.234191600131469668e-05
1.400000000000000000e+01,-9.029923385608928932e-05
1.500000000000000000e+01,2.412474417148868788e-05
1.600000000000000000e+01,-1.401147043561534744e-05
1.700000000000000000e+01,1.601129009709545414e-06
1.800000000000000000e+01,3.524054038056556593e-06
1.900000000000000000e+01,-2.831234391417747354e-06
2.000000000000000000e+01,1.646667652344113719e-06
2.100000000000000000e+01,-2.037055812265271826e-07
2.200000000000000000e+01,-1.077685479528326870e-06
2.300000000000000000e+01,-1.353790544077193569e-09
2.400000000000000000e+01,-2.495829103978108865e-08
2.500000000000000000e+01,2.169597989546551142e-08
2.600000000000000000e+01,-6.651226533080367709e-09
2.700000000000000000e+01,7.360147871379729700e-09
2.800000000000000000e+01,1.375419802357447097e-09
2.900000000000000000e+01,-3.551011085384855187e-09
3.000000000000000000e+01,-1.992663273666164803e-08
3.100000000000000000e+01,-1.399188375838383847e-10
3.200000000000000000e+01,-3.378264177189733986e-10
3.300000000000000000e+01,3.436795258647019902e-10
3.400000000000000000e+01,-1.062907984284572338e-10
3.500000000000000000e+01,1.426304152367906253e-10
3.600000000000000000e+01,1.747164826010338956e-11
3.700000000000000000e+01,-6.648849421640008143e-11
3.800000000000000000e+01,-3.717671107984741349e-10
3.900000000000000000e+01,-2.531291128581806410e-12
4.000000000000000000e+01,-6.229843325103933890e-12
4.100000000000000000e+01,6.384795122821112189e-12
4.200000000000000000e+01,-1.929332178908635051e-12
4.300000000000000000e+01,2.666666817512141144e-12
4.400000000000000000e+01,3.459373053586647234e-13
4.500000000000000000e+01,-1.245607305116554393e-12
4.600000000000000000e+01,-6.985164957475950662e-12
4.700000000000000000e+01,-4.681370607341369923e-14
4.800000000000000000e+01,-1.164868454185970085e-13
4.900000000000000000e+01,1.198841100227306241e-13
5.000000000000000000e+01,-3.587509696982501021e-14
5.100000000000000000e+01,5.021173967758430336e-14
5.200000000000000000e+01,6.716020900759782364e-15
5.300000000000000000e+01,-2.351503498954303784e-14
5.400000000000000000e+01,-1.315257227732022270e-13
5.500000000000000000e+01,-8.779681522050238876e-16
5.600000000000000000e+01,-2.190158579658777756e-15
5.700000000000000000e+01,2.259904390883885018e-15
5.800000000000000000e+01,-6.725404080286559287e-16
5.900000000000000000e+01,9.488008721375809271e-16
6.000000000000000000e+01,1.287237955175830353e-16
6.100000000000000000e+01,-4.426306087751330541e-16
6.200000000000000000e+01,-2.483652143422767723e-15
6.300000000000000000e+01,-1.649603571735864728e-17
6.400000000000000000e+01,-4.129535054178429518e-17
6.500000000000000000e+01,4.267406292674379214e-17
6.600000000000000000e+01,-1.266138438905980861e-17
6.700000000000000000e+01,1.793740951526087375e-17
6.800000000000000000e+01,2.457347631922519518e-18
6.900000000000000000e+01,-8.374148038692028549e-18
7.000000000000000000e+01,-4.692960914773935609e-17
7.100000000000000000e+01,-3.114131959271161570e-19
7.200000000000000000e+01,-7.798819727628480625e-19
7.300000000000000000e+01,8.067333928196616012e-19
7.400000000000000000e+01,-2.388455842907252324e-19
7.500000000000000000e+01,3.394279679673031023e-19
7.600000000000000000e+01,4.674345942748874826e-20
7.700000000000000000e+01,-1.580748471573497242e-19
7.800000000000000000e+01,-8.877677990239465722e-19
7.900000000000000000e+01,-5.879322720833458127e-21
8.000000000000000000e+01,-1.474523354987147418e-20
8.100000000000000000e+01,1.526136678712328728e-20
8.200000000000000000e+01,-4.513723462103702389e-21
8.300000000000000000e+01,6.424076084162179200e-21
8.400000000000000000e+01,8.877077767307481931e-22
8.500000000000000000e+01,-2.992550432522188690e-21
8.600000000000000000e+01,-1.679783009937142087e-20
8.700000000000000000e+01,-1.112140900454886187e-22
8.800000000000000000e+01,-2.789228892695996798e-22
8.900000000000000000e+01,2.888040221288787548e-22
9.000000000000000000e+01,-8.534106794137332412e-23
9.100000000000000000e+01,1.216145836812162408e-22
9.200000000000000000e+01,1.684118320628440269e-23
9.300000000000000000e+01,-5.657897293393543526e-23
9.400000000000000000e+01,-3.179708240799394637e-22
9.500000000000000000e+01,-2.103652220509251297e-24
9.600000000000000000e+01,-5.278970403039436691e-24
9.700000000000000000e+01,5.467090063107491376e-24
9.800000000000000000e+01,-1.614959200612076252e-24
9.900000000000000000e+01,2.302604518527800917e-24
1.000000000000000000e+02,3.192583192301852457e-25
1.010000000000000000e+02,-1.071251760741886488e-24
1.020000000000000000e+02,-6.019685253670160246e-24
1.030000000000000000e+02,-3.982051520419884442e-26
1.040000000000000000e+02,-9.992165820549837609e-26
1.050000000000000000e+02,1.035002270944203435e-25
1.060000000000000000e+02,-3.056293665859081300e-26
1.070000000000000000e+02,4.359846868691542258e-26
1.080000000000000000e+02,6.050168712592550042e-27
1.090000000000000000e+02,-2.027104436969741637e-26
1.100000000000000000e+02,-1.139759748187807677e-25
1.110000000000000000e+02,-7.537935727936090150e-28
1.120000000000000000e+02,-1.891805547260605053e-27
1.130000000000000000e+02,1.959789333553518969e-27
1.140000000000000000e+02,-5.786048220763240027e-28
1.150000000000000000e+02,8.255799151687210893e-28
1.160000000000000000e+02,1.146005354108180822e-28
1.170000000000000000e+02,-3.838145341640490200e-28
1.180000000000000000e+02,-2.158177932677389844e-27
1.190000000000000000e+02,-1.427037051593166278e-29
1.200000000000000000e+02,-3.582037103565819963e-29
1.210000000000000000e+02,3.710843298246438297e-29
1.220000000000000000e+02,-1.095623026763010732e-29
1.230000000000000000e+02,1.563354373056894831e-29
1.240000000000000000e+02,2.169752675346659912e-30
1.250000000000000000e+02,-7.265913771472191232e-30
1.260000000000000000e+02,-4.086662045356872049e-29
1.270000000000000000e+02,-2.702681565082912913e-31
1.280000000000000000e+02,-6.783004893510320472e-31
1.290000000000000000e+02,7.026514660853781605e-31
1.300000000000000000e+02,-2.073745067618956205e-31
1.310000000000000000e+02,2.960756177630802517e-31
1.320000000000000000e+02,4.109453018836264501e-32
1.330000000000000000e+02,-1.375734641309720567e-31
1.340000000000000000e+02,-7.738775840276905999e-31
1.350000000000000000e+02,-5.116503731163121499e-33
1.360000000000000000e+02,-1.284128836747880030e-32
1.370000000000000000e+02,1.330471526034697893e-32
1.380000000000000000e+02,-3.925586894458045579e-33
1.390000000000000000e+02,5.607014013874245630e-33
1.400000000000000000e+02,7.793997743692095093e-34
1.410000000000000000e+02,-2.605060050631304238e-33
1.420000000000000000e+02,-1.465448840362217878e-32
1.430000000000000000e+02,-9.681371473372359916e-35
1.440000000000000000e+02,-2.433273306202135141e-34
1.450000000000000000e+02,2.519789690422655502e-34
1.460000000000000000e+02,-7.415018364986989600e-35
1.470000000000000000e+02,1.060295904441703332e-34
1.480000000000000000e+02,1.443507062809769060e-35
1.490000000000000000e+02,-4.932080422462612812e-35
1.500000000000000000e+02,-2.775158491299104824e-34
1.510000000000000000e+02,-1.842587394913935669e-36
1.520000000000000000e+02,-4.610876591100422750e-36
1.530000000000000000e+02,4.760752120830264407e-36
1.540000000000000000e+02,-1.403246381294105713e-36
1.550000000000000000e+02,2.010095339906111639e-36
1.560000000000000000e+02,2.791799083202932831e-37
1.570000000000000000e+02,-9.338751604306126304e-37
1.580000000000000000e+02,-5.255240349892968086e-36
1.590000000000000000e+02,-3.590767899777456372e-38
1.600000000000000000e+02,-8.706005035777566856e-38
1.610000000000000000e+02,8.981511524251540491e-38
1.620000000000000000e+02,-2.681596487813343378e-38
1.630000000000000000e+02,3.820356640172434401e-38
1.640000000000000000e+02,5.050952288689516636e-39
1.650000000000000000e+02,-1.769268230668799435e-38
1.660000000000000000e+02,-9.952815389085044414e-38
1.670000000000000000e+02,-6.658073471454362838e-40
1.680000000000000000e+02,-1.658778649353716259e-39
1.690000000000000000e+02,1.739134708491958569e-39
1.700000000000000000e+02,-5.108349473788261143e-40
1.710000000000000000e+02,7.174648137343063403e-40
1.720000000000000000e+02,6.313690360861895795e-41
1.730000000000000000e+02,-3.354148004207882141e-40
1.740000000000000000e+02,-1.885228481188606697e-39
1.750000000000000000e+02,-1.255563424035036096e-41
1.760000000000000000e+02,-3.013352217684086629e-41
1.770000000000000000e+02,3.372084624551239799e-41
1.780000000000000000e+02,-9.685774985413135594e-42
1.790000000000000000e+02,1.399056386781897364e-41
1.800000000000000000e+02,2.152394441202919021e-42
1.810000000000000000e+02,-6.339474252605472429e-42
1.820000000000000000e+02,-3.569947967713903970e-41
1.830000000000000000e+02,-2.129973665773721948e-43
1.840000000000000000e+02,-6.389920997321165843e-43
1.850000000000000000e+02,5.941505488737224381e-43
1.860000000000000000e+02,-1.457350402897809754e-43
1.870000000000000000e+02,2.802596928649634142e-43
1.880000000000000000e+02,-1.121038771459853657e-44
1.890000000000000000e+02,-1.212123171640966766e-43
1.900000000000000000e+02,-6.770023205769272474e-43
1.910000000000000000e+02,-4.904544625136859748e-45
1.920000000000000000e+02,-1.261168617892335364e-44
1.930000000000000000e+02,9.809089250273719496e-45
1.940000000000000000e+02,-4.203895392974451213e-45
1.950000000000000000e+02,2.802596928649634142e-45
1.960000000000000000e+02,3.503246160812042677e-45
1.970000000000000000e+02,-2.299005293032903007e-45
