site,n
0.000000000000000000e+00,8.938296721979955839e-01
1.000000000000000000e+00,1.015517931169084953e+00
2.000000000000000000e+00,1.056952384887134944e+00
3.000000000000000000e+00,1.143651635286025536e+00
4.000000000000000000e+00,1.063897721344784442e+00
5.000000000000000000e+00,9.814634247777621612e-01
6.000000000000000000e+00,9.446631335757542658e-01
7.000000000000000000e+00,9.000240967614598908e-01
8.000000000000000000e+00,8.938296721979955839e-01
9.000000000000000000e+00,1.015517931169084953e+00
1.000000000000000000e+01,1.056952384887134944e+00
1.100000000000000000e+01,1.143651635286025536e+00
1.200000000000000000e+01,1.063897721344784442e+00
1.300000000000000000e+01,9.814634247777621612e-01
1.400000000000000000e+01,9.446631335757542658e-01
1.500000000000000000e+01,9.000240967614598908e-01
1.600000000000000000e+01,8.938296721979955839e-01
1.700000000000000000e+01,1.015517931169084953e+00
1.800000000000000000e+01,1.056952384887134944e+00
1.900000000000000000e+01,1.143651635286025536e+00
2.000000000000000000e+01,1.063897721344784442e+00
2.100000000000000000e+01,9.814634247777621612e-01
2.200000000000000000e+01,9.446631335757542658e-01
2.300000000000000000e+01,9.000240967614598908e-01
2.400000000000000000e+01,8.938296721979955839e-01
2.500000000000000000e+01,1.015517931169084953e+00
2.600000000000000000e+01,1.056952384887134944e+00
2.700000000000000000e+01,1.143651635286025536e+00
2.800000000000000000e+01,1.063897721344784442e+00
2.900000000000000000e+01,9.814634247777621612e-01
3.000000000000000000e+01,9.446631335757542658e-01
3.100000000000000000e+01,9.000240967614598908e-01
3.200000000000000000e+01,8.938296721979955839e-01
3.300000000000000000e+01,1.015517931169084953e+00
3.400000000000000000e+01,1.056952384887134944e+00
3.500000000000000000e+01,1.143651635286025536e+00
3.600000000000000000e+01,1.063897721344784442e+00
3.700000000000000000e+01,9.814634247777621612e-01
3.800000000000000000e+01,9.446631335757542658e-01
3.900000000000000000e+01,9.000240967614598908e-01
4.000000000000000000e+01,8.938296721979955839e-01
4.100000000000000000e+01,1.015517931169084953e+00
4.200000000000000000e+01,1.056952384887134944e+00
4.300000000000000000e+01,1.143651635286025536e+00
4.400000000000000000e+01,1.063897721344784442e+00
4.500000000000000000e+01,9.814634247777621612e-01
4.600000000000000000e+01,9.446631335757542658e-01
4.700000000000000000e+01,9.000240967614598908e-01
4.800000000000000000e+01,8.938296721979955839e-01
4.900000000000000000e+01,1.015517931169084953e+00
5.000000000000000000e+01,1.056952384887134944e+00
5.100000000000000000e+01,1.143651635286025536e+00
5.200000000000000000e+01,1.063897721344784442e+00
5.300000000000000000e+01,9.814634247777621612e-01
5.400000000000000000e+01,9.446631335757542658e-01
5.500000000000000000e+01,9.000240967614598908e-01
5.600000000000000000e+01,8.938296721979955839e-01
5.700000000000000000e+01,1.015517931169084953e+00
5.800000000000000000e+01,1.056952384887134944e+00
5.900000000000000000e+01,1.143651635286025536e+00
6.000000000000000000e+01,1.063897721344784442e+00
6.100000000000000000e+01,9.814634247777621612e-01
6.200000000000000000e+01,9.446631335757542658e-01
6.300000000000000000e+01,9.000240967614598908e-01
6.400000000000000000e+01,8.938296721979955839e-01
6.500000000000000000e+01,1.015517931169084953e+00
6.600000000000000000e+01,1.056952384887134944e+00
6.700000000000000000e+01,1.143651635286025536e+00
6.800000000000000000e+01,1.063897721344784442e+00
6.900000000000000000e+01,9.814634247777621612e-01
7.000000000000000000e+01,9.446631335757542658e-01
7.100000000000000000e+01,9.000240967614598908e-01
7.200000000000000000e+01,8.938296721979955839e-01
7.300000000000000000e+01,1.015517931169084953e+00
7.400000000000000000e+01,1.056952384887134944e+00
7.500000000000000000e+01,1.143651635286025536e+00
7.600000000000000000e+01,1.063897721344784442e+00
7.700000000000000000e+01,9.814634247777621612e-01
7.800000000000000000e+01,9.446631335757542658e-01
7.900000000000000000e+01,9.000240967614598908e-01
