r,C_nn
0.000000000000000000e+00,1.175800525920586370e+00
1.000000000000000000e+00,1.131063951349651209e-01
2.000000000000000000e+00,1.544807703038222346e-01
3.000000000000000000e+00,4.054340874702555553e-02
4.000000000000000000e+00,1.420165094491576685e-02
5.000000000000000000e+00,-1.206767640052750501e-01
6.000000000000000000e+00,-1.608488533403079623e-01
7.000000000000000000e+00,-2.585871450706728192e-01
8.000000000000000000e+00,-2.529331327619722680e-01
9.000000000000000000e+00,-2.498365861017947109e-01
1.000000000000000000e+01,-2.296332649953469751e-01
1.100000000000000000e+01,-1.414049356677676839e-01
1.200000000000000000e+01,-3.300370476140945808e-02
1.300000000000000000e+01,7.324189718492968293e-02
1.400000000000000000e+01,1.489082491122811769e-01
1.500000000000000000e+01,2.203992054394843247e-01
1.600000000000000000e+01,2.256199592873148196e-01
1.700000000000000000e+01,2.240993785122433746e-01
1.800000000000000000e+01,2.081176586848940691e-01
1.900000000000000000e+01,1.302127649655238084e-01
2.000000000000000000e+01,3.502857083246913028e-02
2.100000000000000000e+01,-5.978488468110010334e-02
2.200000000000000000e+01,-1.265270710213238781e-01
2.300000000000000000e+01,-1.912540656306657150e-01
2.400000000000000000e+01,-1.968150812562318164e-01
2.500000000000000000e+01,-1.967458854426850090e-01
2.600000000000000000e+01,-1.838288625641508744e-01
2.700000000000000000e+01,-1.159388845415959546e-01
2.800000000000000000e+01,-3.167308958818337850e-02
2.900000000000000000e+01,5.128357200736188837e-02
3.000000000000000000e+01,1.100180574500736475e-01
3.100000000000000000e+01,1.669019418513650876e-01
3.200000000000000000e+01,1.722808924665412134e-01
3.300000000000000000e+01,1.722746351537995935e-01
3.400000000000000000e+01,1.609864424754299250e-01
3.500000000000000000e+01,1.015708445975300744e-01
3.600000000000000000e+01,2.796355057478505657e-02
3.700000000000000000e+01,-4.457308470406295964e-02
3.800000000000000000e+01,-9.597107455570486056e-02
3.900000000000000000e+01,-1.458128633131478002e-01
4.000000000000000000e+01,-1.505260526027933921e-01
4.100000000000000000e+01,-1.506362472770851335e-01
4.200000000000000000e+01,-1.409004413600246641e-01
4.300000000000000000e+01,-8.899763626164769459e-02
4.400000000000000000e+01,-2.452719891492649573e-02
