r,C_n
0.000000000000000000e+00,3.170623710350426450e+00
1.000000000000000000e+00,-3.491789480770961518e-01
2.000000000000000000e+00,-3.602088510637919683e-01
3.000000000000000000e+00,1.544033505572777187e-01
4.000000000000000000e+00,5.371117513661261000e-02
5.000000000000000000e+00,2.936414847837198749e-02
6.000000000000000000e+00,1.344257234948287305e-02
7.000000000000000000e+00,6.330619543511772918e-03
8.000000000000000000e+00,2.555796522791808911e-03
9.000000000000000000e+00,1.063033130829893480e-03
1.000000000000000000e+01,4.671002450962191688e-04
1.100000000000000000e+01,2.272181027827002708e-04
1.200000000000000000e+01,1.234597015589145030e-04
1.300000000000000000e+01,7.414072940647997711e-05
1.400000000000000000e+01,4.749438043205600479e-05
1.500000000000000000e+01,3.147651931456607599e-05
1.600000000000000000e+01,2.115627022192256845e-05
1.700000000000000000e+01,1.431560159304012814e-05
1.800000000000000000e+01,9.710827953313128091e-06
1.900000000000000000e+01,6.603136053939806516e-06
2.000000000000000000e+01,4.489694635623209251e-06
2.100000000000000000e+01,3.060607973282003513e-06
2.200000000000000000e+01,2.089279860228998587e-06
2.300000000000000000e+01,1.428683201964986438e-06
2.400000000000000000e+01,9.774803899631478998e-07
2.500000000000000000e+01,6.699809134147471923e-07
2.600000000000000000e+01,4.595500051607359637e-07
2.700000000000000000e+01,3.157254937491416058e-07
2.800000000000000000e+01,2.167609238767909119e-07
2.900000000000000000e+01,1.490646788226968056e-07
3.000000000000000000e+01,1.025376903385222249e-07
3.100000000000000000e+01,7.059417583832328091e-08
3.200000000000000000e+01,4.859253976974287070e-08
3.300000000000000000e+01,3.348883126363944029e-08
3.400000000000000000e+01,2.308152247110228927e-08
3.500000000000000000e+01,1.592872678202184034e-08
3.600000000000000000e+01,1.098285551393018977e-08
3.700000000000000000e+01,7.583327743532208842e-09
3.800000000000000000e+01,5.235538225178970606e-09
3.900000000000000000e+01,3.617245170062233228e-09
4.000000000000000000e+01,2.498619977586713503e-09
4.100000000000000000e+01,1.728025722513848450e-09
4.200000000000000000e+01,1.194695897765996051e-09
4.300000000000000000e+01,8.272174056855874369e-10
4.400000000000000000e+01,5.723315155137242982e-10
4.500000000000000000e+01,3.965396899729967117e-10
4.600000000000000000e+01,2.746993743585335324e-10
4.700000000000000000e+01,1.903934787605976453e-10
4.800000000000000000e+01,1.320294984452630160e-10
4.900000000000000000e+01,9.167777648144692648e-11
5.000000000000000000e+01,6.335199032037053257e-11
5.100000000000000000e+01,4.408917675391421653e-11
5.200000000000000000e+01,3.064570819333312102e-11
5.300000000000000000e+01,2.139088906005781610e-11
5.400000000000000000e+01,1.493205559199850541e-11
5.500000000000000000e+01,1.042721464727947023e-11
5.600000000000000000e+01,7.354117315117036924e-12
5.700000000000000000e+01,5.218936394157935865e-12
5.800000000000000000e+01,3.428368700042483397e-12
5.900000000000000000e+01,2.472688720445148647e-12
6.000000000000000000e+01,1.801225835151853971e-12
6.100000000000000000e+01,1.350031197944190353e-12
6.200000000000000000e+01,1.051603248924948275e-12
6.300000000000000000e+01,7.851497230149107054e-13
6.400000000000000000e+01,6.714628852932946756e-13
6.500000000000000000e+01,5.542233338928781450e-13
6.600000000000000000e+01,1.953992523340275511e-13
6.700000000000000000e+01,2.486899575160350651e-13
6.800000000000000000e+01,2.380318164796335623e-13
6.900000000000000000e+01,2.700062395888380706e-13
7.000000000000000000e+01,2.913225216616410762e-13
7.100000000000000000e+01,2.557953848736360669e-13
7.200000000000000000e+01,2.984279490192420781e-13
7.300000000000000000e+01,3.090860900556435809e-13
7.400000000000000000e+01,1.421085471520200372e-14
7.500000000000000000e+01,1.207922650792170316e-13
7.600000000000000000e+01,1.598721155460225418e-13
7.700000000000000000e+01,2.344791028008330613e-13
7.800000000000000000e+01,2.629008122312370688e-13
7.900000000000000000e+01,2.380318164796335623e-13
8.000000000000000000e+01,3.161915174132445827e-13
