r,C_d
0.000000000000000000e+00,1.982968397904502744e+00
1.000000000000000000e+00,1.616286678050914138e-01
2.000000000000000000e+00,2.811193513113762962e-02
3.000000000000000000e+00,1.171670369653116106e-02
4.000000000000000000e+00,3.172642783547944233e-03
5.000000000000000000e+00,1.057552123504067881e-03
6.000000000000000000e+00,3.089155715045957019e-04
7.000000000000000000e+00,8.726372151741174294e-05
8.000000000000000000e+00,2.659824245383173583e-05
9.000000000000000000e+00,8.107578231235573003e-06
1.000000000000000000e+01,2.467377443345824386e-06
1.100000000000000000e+01,7.531069805236923624e-07
1.200000000000000000e+01,2.294644614088122734e-07
1.300000000000000000e+01,7.031465022038316858e-08
1.400000000000000000e+01,2.159358595231907119e-08
1.500000000000000000e+01,6.644944215368513377e-09
1.600000000000000000e+01,2.048152417973525611e-09
1.700000000000000000e+01,6.330100607310448829e-10
1.800000000000000000e+01,1.960733830175651763e-10
1.900000000000000000e+01,6.093531934302756469e-11
2.000000000000000000e+01,1.899047183945339208e-11
2.100000000000000000e+01,5.941690433739735233e-12
2.200000000000000000e+01,1.865859176692035724e-12
2.300000000000000000e+01,5.887282464583997078e-13
2.400000000000000000e+01,1.866192100126957329e-13
2.500000000000000000e+01,5.948980986848805522e-14
2.600000000000000000e+01,1.906956522111190934e-14
2.700000000000000000e+01,6.152234289175325007e-15
2.800000000000000000e+01,1.997500859387916571e-15
2.900000000000000000e+01,6.531322191064525387e-16
3.000000000000000000e+01,2.150327989392476369e-16
3.100000000000000000e+01,7.131565221055433631e-17
3.200000000000000000e+01,2.381885721787807555e-17
3.300000000000000000e+01,8.012758981807508032e-18
3.400000000000000000e+01,2.713869237610693589e-18
3.500000000000000000e+01,9.253421319608067875e-19
3.600000000000000000e+01,3.174703704109619352e-19
3.700000000000000000e+01,1.095673985645501017e-19
3.800000000000000000e+01,3.801760553183270713e-20
3.900000000000000000e+01,1.325744597369505013e-20
4.000000000000000000e+01,4.643715797024729954e-21
4.100000000000000000e+01,1.633185322323354819e-21
4.200000000000000000e+01,5.764346189470997734e-22
4.300000000000000000e+01,2.041021152223678133e-22
4.400000000000000000e+01,7.246837583704269091e-23
4.500000000000000000e+01,2.579399109225249561e-23
4.600000000000000000e+01,9.200218045689337394e-24
4.700000000000000000e+01,3.287580299784995618e-24
4.800000000000000000e+01,1.176619077076364677e-24
4.900000000000000000e+01,4.216849873889231139e-25
5.000000000000000000e+01,1.513013530462072252e-25
5.100000000000000000e+01,5.434094939982973222e-26
5.200000000000000000e+01,1.953358507739435604e-26
5.300000000000000000e+01,7.026812354250020105e-27
5.400000000000000000e+01,2.529286474117919029e-27
5.500000000000000000e+01,9.108877762221682807e-28
5.600000000000000000e+01,3.281887808874237530e-28
5.700000000000000000e+01,1.182897418824243465e-28
5.800000000000000000e+01,4.264897103167714037e-29
5.900000000000000000e+01,1.538095318337021499e-29
6.000000000000000000e+01,5.548306510117740794e-30
6.100000000000000000e+01,2.001833848516756694e-30
6.200000000000000000e+01,7.223763414506339828e-31
6.300000000000000000e+01,2.607103251714173431e-31
6.400000000000000000e+01,9.410300771329914024e-32
6.500000000000000000e+01,3.396972564996280374e-32
6.600000000000000000e+01,1.226356453191500921e-32
6.700000000000000000e+01,4.427590059254692117e-33
6.800000000000000000e+01,1.598627740889230982e-33
6.900000000000000000e+01,5.772383425776604333e-34
7.000000000000000000e+01,2.084387017269006917e-34
7.100000000000000000e+01,7.526897752316159016e-35
7.200000000000000000e+01,2.718107592150255865e-35
7.300000000000000000e+01,9.815864190831306141e-36
7.400000000000000000e+01,3.544865165950227935e-36
7.500000000000000000e+01,1.280188879969859833e-36
7.600000000000000000e+01,4.623367988090565569e-37
7.700000000000000000e+01,1.669761578441600458e-37
7.800000000000000000e+01,6.030483488459685786e-38
7.900000000000000000e+01,2.177973759539404851e-38
8.000000000000000000e+01,7.866043743379629257e-39
8.100000000000000000e+01,2.840946485181030342e-39
8.200000000000000000e+01,1.026058368367734363e-39
8.300000000000000000e+01,3.705768798879983909e-40
8.400000000000000000e+01,1.338411600241851231e-40
8.500000000000000000e+01,4.834020034267244490e-41
8.600000000000000000e+01,1.745923965738543887e-41
8.700000000000000000e+01,6.305826940366484601e-42
8.800000000000000000e+01,2.277505581701103400e-42
8.900000000000000000e+01,8.225791484971430794e-43
9.000000000000000000e+01,2.970957662285136250e-43
9.100000000000000000e+01,1.073027730893699553e-43
9.200000000000000000e+01,3.875513607235665436e-44
9.300000000000000000e+01,1.399760983512690995e-44
9.400000000000000000e+01,5.055635039081603004e-45
9.500000000000000000e+01,1.825982512543129065e-45
