r,C_n
0.000000000000000000e+00,3.778317977512521963e-01
1.000000000000000000e+00,-7.108837765711140122e-02
2.000000000000000000e+00,-2.329055813211100556e-02
3.000000000000000000e+00,3.979093616861373306e-02
4.000000000000000000e+00,1.119992609634978820e-02
5.000000000000000000e+00,4.104911378387754439e-03
6.000000000000000000e+00,1.332066934480291565e-03
7.000000000000000000e+00,4.257605073654247008e-04
8.000000000000000000e+00,5.560840046614501375e-05
9.000000000000000000e+00,-2.856618360080886987e-06
1.000000000000000000e+01,-3.683123757980411028e-06
1.100000000000000000e+01,-9.515575243312923703e-07
1.200000000000000000e+01,-1.900274559929471252e-08
1.300000000000000000e+01,1.239930256247134821e-07
1.400000000000000000e+01,8.780199678426470200e-08
1.500000000000000000e+01,4.223769600741889008e-08
1.600000000000000000e+01,1.607292832161988372e-08
1.700000000000000000e+01,5.256027169053822945e-09
1.800000000000000000e+01,1.595999776782264234e-09
1.900000000000000000e+01,4.955484911306484719e-10
2.000000000000000000e+01,1.724340670250512630e-10
2.100000000000000000e+01,6.927791673660976812e-11
2.200000000000000000e+01,3.051825459010615305e-11
2.300000000000000000e+01,1.370414892676308227e-11
2.400000000000000000e+01,6.007638830851647072e-12
2.500000000000000000e+01,2.538858012712807977e-12
2.600000000000000000e+01,1.053823694974198588e-12
2.700000000000000000e+01,4.392042285417119274e-13
2.800000000000000000e+01,1.927347170749271754e-13
2.900000000000000000e+01,9.636735853746358771e-14
3.000000000000000000e+01,6.128431095930864103e-14
3.100000000000000000e+01,4.618527782440651208e-14
3.200000000000000000e+01,4.218847493575594854e-14
3.300000000000000000e+01,3.330669073875469621e-14
3.400000000000000000e+01,3.597122599785507191e-14
3.500000000000000000e+01,3.597122599785507191e-14
3.600000000000000000e+01,3.552713678800500929e-14
3.700000000000000000e+01,3.819167204710538499e-14
3.800000000000000000e+01,4.174438572590588592e-14
3.900000000000000000e+01,4.218847493575594854e-14
4.000000000000000000e+01,4.396483177515619900e-14
4.100000000000000000e+01,3.730349362740525976e-14
4.200000000000000000e+01,4.307665335545607377e-14
4.300000000000000000e+01,4.263256414560601115e-14
4.400000000000000000e+01,4.352074256530613638e-14
4.500000000000000000e+01,4.440892098500626162e-14
4.600000000000000000e+01,4.796163466380676255e-14
4.700000000000000000e+01,4.796163466380676255e-14
4.800000000000000000e+01,5.018208071305707563e-14
4.900000000000000000e+01,4.396483177515619900e-14
5.000000000000000000e+01,4.929390229335695039e-14
5.100000000000000000e+01,4.884981308350688778e-14
5.200000000000000000e+01,4.973799150320701301e-14
5.300000000000000000e+01,5.151434834260726348e-14
5.400000000000000000e+01,5.417888360170763917e-14
5.500000000000000000e+01,5.462297281155770179e-14
5.600000000000000000e+01,5.684341886080801487e-14
5.700000000000000000e+01,5.107025913275720086e-14
5.800000000000000000e+01,5.595524044110788964e-14
5.900000000000000000e+01,5.639932965095795225e-14
6.000000000000000000e+01,5.639932965095795225e-14
6.100000000000000000e+01,5.817568649035820272e-14
6.200000000000000000e+01,6.172840016915870365e-14
6.300000000000000000e+01,6.217248937900876626e-14
6.400000000000000000e+01,6.528111384795920458e-14
6.500000000000000000e+01,5.861977570020826533e-14
6.600000000000000000e+01,6.394884621840901673e-14
6.700000000000000000e+01,6.394884621840901673e-14
6.800000000000000000e+01,6.394884621840901673e-14
6.900000000000000000e+01,6.616929226765932981e-14
7.000000000000000000e+01,6.972200594645983074e-14
7.100000000000000000e+01,7.016609515630989335e-14
7.200000000000000000e+01,7.283063041541026905e-14
7.300000000000000000e+01,6.528111384795920458e-14
7.400000000000000000e+01,7.105427357601001859e-14
7.500000000000000000e+01,7.105427357601001859e-14
7.600000000000000000e+01,7.194245199571014382e-14
7.700000000000000000e+01,7.283063041541026905e-14
7.800000000000000000e+01,7.593925488436070736e-14
7.900000000000000000e+01,7.727152251391089521e-14
8.000000000000000000e+01,7.904787935331114568e-14
8.100000000000000000e+01,7.238654120556020644e-14
8.200000000000000000e+01,7.771561172376095783e-14
8.300000000000000000e+01,7.727152251391089521e-14
8.400000000000000000e+01,7.771561172376095783e-14
8.500000000000000000e+01,7.993605777301127091e-14
8.600000000000000000e+01,8.348877145181177184e-14
8.700000000000000000e+01,8.393286066166183446e-14
8.800000000000000000e+01,8.570921750106208492e-14
8.900000000000000000e+01,7.949196856316120829e-14
9.000000000000000000e+01,8.526512829121202230e-14
9.100000000000000000e+01,8.526512829121202230e-14
9.200000000000000000e+01,8.482103908136195969e-14
9.300000000000000000e+01,8.659739592076221015e-14
9.400000000000000000e+01,9.015010959956271108e-14
9.500000000000000000e+01,9.103828801926283631e-14
9.600000000000000000e+01,9.370282327836321201e-14
9.700000000000000000e+01,8.704148513061227277e-14
9.800000000000000000e+01,9.237055564881302416e-14
9.900000000000000000e+01,9.237055564881302416e-14
1.000000000000000000e+02,9.237055564881302416e-14
1.010000000000000000e+02,9.459100169806333724e-14
1.020000000000000000e+02,9.769962616701377556e-14
1.030000000000000000e+02,9.903189379656396341e-14
1.040000000000000000e+02,1.008082506359642139e-13
1.050000000000000000e+02,9.459100169806333724e-14
1.060000000000000000e+02,9.903189379656396341e-14
1.070000000000000000e+02,9.903189379656396341e-14
1.080000000000000000e+02,9.947598300641402602e-14
1.090000000000000000e+02,1.003641614261141513e-13
1.100000000000000000e+02,1.048050535246147774e-13
1.110000000000000000e+02,1.052491427344648400e-13
1.120000000000000000e+02,1.070254995738650905e-13
1.130000000000000000e+02,1.012523398458142765e-13
1.140000000000000000e+02,1.052491427344648400e-13
1.150000000000000000e+02,1.056932319443149026e-13
1.160000000000000000e+02,1.061373211541649653e-13
1.170000000000000000e+02,1.074695887837151531e-13
1.180000000000000000e+02,1.114663916723657167e-13
1.190000000000000000e+02,1.119104808822157793e-13
1.200000000000000000e+02,1.141309269314660924e-13
1.210000000000000000e+02,1.079136779935652157e-13
1.220000000000000000e+02,1.136868377216160297e-13
1.230000000000000000e+02,1.132427485117659671e-13
1.240000000000000000e+02,1.123545700920658419e-13
1.250000000000000000e+02,1.145750161413161550e-13
1.260000000000000000e+02,1.181277298201166559e-13
1.270000000000000000e+02,1.199040866595169064e-13
1.280000000000000000e+02,1.216804434989171568e-13
1.290000000000000000e+02,1.154631945610162802e-13
1.300000000000000000e+02,1.203481758693669690e-13
1.310000000000000000e+02,1.203481758693669690e-13
1.320000000000000000e+02,1.199040866595169064e-13
1.330000000000000000e+02,1.216804434989171568e-13
1.340000000000000000e+02,1.265654248072678456e-13
1.350000000000000000e+02,1.270095140171179082e-13
1.360000000000000000e+02,1.287858708565181587e-13
1.370000000000000000e+02,1.221245327087672194e-13
1.380000000000000000e+02,1.261213355974177830e-13
1.390000000000000000e+02,1.265654248072678456e-13
1.400000000000000000e+02,1.265654248072678456e-13
1.410000000000000000e+02,1.287858708565181587e-13
1.420000000000000000e+02,1.332267629550187849e-13
1.430000000000000000e+02,1.332267629550187849e-13
1.440000000000000000e+02,1.345590305845689727e-13
1.450000000000000000e+02,1.283417816466680961e-13
1.460000000000000000e+02,1.336708521648688475e-13
1.470000000000000000e+02,1.332267629550187849e-13
1.480000000000000000e+02,1.341149413747189101e-13
1.490000000000000000e+02,1.358912982141191605e-13
1.500000000000000000e+02,1.394440118929196615e-13
1.510000000000000000e+02,1.394440118929196615e-13
1.520000000000000000e+02,1.412203687323199119e-13
1.530000000000000000e+02,1.345590305845689727e-13
1.540000000000000000e+02,1.403321903126197867e-13
1.550000000000000000e+02,1.394440118929196615e-13
1.560000000000000000e+02,1.398881011027697241e-13
1.570000000000000000e+02,1.412203687323199119e-13
1.580000000000000000e+02,1.452171716209704755e-13
1.590000000000000000e+02,1.461053500406706007e-13
1.600000000000000000e+02,1.474376176702207886e-13
1.610000000000000000e+02,1.412203687323199119e-13
1.620000000000000000e+02,1.461053500406706007e-13
