site,n_tilde
0.000000000000000000e+00,2.863146218814555777e+00
1.000000000000000000e+00,1.536060619436459551e-01
2.000000000000000000e+00,2.087821594957956980e-02
3.000000000000000000e+00,1.401059725631231601e+00
4.000000000000000000e+00,5.146901689355875220e+00
5.000000000000000000e+00,4.165147762487710903e-01
6.000000000000000000e+00,6.243095072093605979e-03
7.000000000000000000e+00,2.806383009345176371e-01
8.000000000000000000e+00,2.863146218814555777e+00
9.000000000000000000e+00,1.536060619436459551e-01
1.000000000000000000e+01,2.087821594957956980e-02
1.100000000000000000e+01,1.401059725631231601e+00
1.200000000000000000e+01,5.146901689355875220e+00
1.300000000000000000e+01,4.165147762487710903e-01
1.400000000000000000e+01,6.243095072093605979e-03
1.500000000000000000e+01,2.806383009345176371e-01
1.600000000000000000e+01,2.863146218814555777e+00
1.700000000000000000e+01,1.536060619436459551e-01
1.800000000000000000e+01,2.087821594957956980e-02
1.900000000000000000e+01,1.401059725631231601e+00
2.000000000000000000e+01,5.146901689355875220e+00
2.100000000000000000e+01,4.165147762487710903e-01
2.200000000000000000e+01,6.243095072093605979e-03
2.300000000000000000e+01,2.806383009345176371e-01
2.400000000000000000e+01,2.863146218814555777e+00
2.500000000000000000e+01,1.536060619436459551e-01
2.600000000000000000e+01,2.087821594957956980e-02
2.700000000000000000e+01,1.401059725631231601e+00
2.800000000000000000e+01,5.146901689355875220e+00
2.900000000000000000e+01,4.165147762487710903e-01
3.000000000000000000e+01,6.243095072093605979e-03
3.100000000000000000e+01,2.806383009345176371e-01
3.200000000000000000e+01,2.863146218814555777e+00
3.300000000000000000e+01,1.536060619436459551e-01
3.400000000000000000e+01,2.087821594957956980e-02
3.500000000000000000e+01,1.401059725631231601e+00
3.600000000000000000e+01,5.146901689355875220e+00
3.700000000000000000e+01,4.165147762487710903e-01
3.800000000000000000e+01,6.243095072093605979e-03
3.900000000000000000e+01,2.806383009345176371e-01
4.000000000000000000e+01,2.863146218814555777e+00
4.100000000000000000e+01,1.536060619436459551e-01
4.200000000000000000e+01,2.087821594957956980e-02
4.300000000000000000e+01,1.401059725631231601e+00
4.400000000000000000e+01,5.146901689355875220e+00
4.500000000000000000e+01,4.165147762487710903e-01
4.600000000000000000e+01,6.243095072093605979e-03
4.700000000000000000e+01,2.806383009345176371e-01
4.800000000000000000e+01,2.863146218814555777e+00
4.900000000000000000e+01,1.536060619436459551e-01
5.000000000000000000e+01,2.087821594957956980e-02
5.100000000000000000e+01,1.401059725631231601e+00
5.200000000000000000e+01,5.146901689355875220e+00
5.300000000000000000e+01,4.165147762487710903e-01
5.400000000000000000e+01,6.243095072093605979e-03
5.500000000000000000e+01,2.806383009345176371e-01
5.600000000000000000e+01,2.863146218814555777e+00
5.700000000000000000e+01,1.536060619436459551e-01
5.800000000000000000e+01,2.087821594957956980e-02
5.900000000000000000e+01,1.401059725631231601e+00
6.000000000000000000e+01,5.146901689355875220e+00
6.100000000000000000e+01,4.165147762487710903e-01
6.200000000000000000e+01,6.243095072093605979e-03
6.300000000000000000e+01,2.806383009345176371e-01
6.400000000000000000e+01,2.863146218814555777e+00
6.500000000000000000e+01,1.536060619436459551e-01
6.600000000000000000e+01,2.087821594957956980e-02
6.700000000000000000e+01,1.401059725631231601e+00
6.800000000000000000e+01,5.146901689355875220e+00
6.900000000000000000e+01,4.165147762487710903e-01
7.000000000000000000e+01,6.243095072093605979e-03
7.100000000000000000e+01,2.806383009345176371e-01
7.200000000000000000e+01,2.863146218814555777e+00
7.300000000000000000e+01,1.536060619436459551e-01
7.400000000000000000e+01,2.087821594957956980e-02
7.500000000000000000e+01,1.401059725631231601e+00
7.600000000000000000e+01,5.146901689355875220e+00
7.700000000000000000e+01,4.165147762487710903e-01
7.800000000000000000e+01,6.243095072093605979e-03
7.900000000000000000e+01,2.806383009345176371e-01
