r,C_j
0.000000000000000000e+00,7.381150526140160650e+01
1.000000000000000000e+00,-3.675335084979123224e+01
2.000000000000000000e+00,1.708603255786506736e+00
3.000000000000000000e+00,1.136732840389079513e+00
4.000000000000000000e+00,-1.253929254876062771e-01
5.000000000000000000e+00,-2.340244457256446253e-03
6.000000000000000000e+00,-4.617185552245217650e-03
7.000000000000000000e+00,-1.178447719189179566e-03
8.000000000000000000e+00,1.575579801627924326e-03
9.000000000000000000e+00,2.416624618865270691e-03
1.000000000000000000e+01,1.682635272993948661e-03
1.100000000000000000e+01,1.307527366936511726e-03
1.200000000000000000e+01,9.818954398994605981e-04
1.300000000000000000e+01,4.702397754474674230e-04
1.400000000000000000e+01,5.814875350775849938e-04
1.500000000000000000e+01,3.664772423608297913e-04
1.600000000000000000e+01,2.944736516354851119e-04
1.700000000000000000e+01,1.632328009293360083e-04
1.800000000000000000e+01,3.053545494680065531e-06
1.900000000000000000e+01,-1.045413872411415923e-04
2.000000000000000000e+01,-3.835290139679869981e-04
2.100000000000000000e+01,-4.159263546963387626e-04
2.200000000000000000e+01,-5.239172827700144808e-04
2.300000000000000000e+01,-4.048800367151272894e-04
2.400000000000000000e+01,-3.626365586413271558e-04
2.500000000000000000e+01,-2.608489645368194942e-04
2.600000000000000000e+01,-2.066585402911158553e-04
2.700000000000000000e+01,-2.089493908847828152e-04
2.800000000000000000e+01,-2.238494576012328707e-04
2.900000000000000000e+01,-2.846357431369739288e-04
3.000000000000000000e+01,-2.994356122716368418e-04
3.100000000000000000e+01,-2.583800819895287759e-04
3.200000000000000000e+01,-2.163762705524874264e-04
3.300000000000000000e+01,-1.542247675825336728e-04
3.400000000000000000e+01,-9.579831516326464680e-05
3.500000000000000000e+01,-9.884900491030634839e-05
3.600000000000000000e+01,-4.970306288143433449e-05
3.700000000000000000e+01,-9.837473818663511338e-05
3.800000000000000000e+01,-7.346867364610432105e-05
3.900000000000000000e+01,-8.324677619242493165e-05
4.000000000000000000e+01,-6.146216844449270411e-05
4.100000000000000000e+01,-4.162560112597191164e-05
4.200000000000000000e+01,-1.211506881482193876e-05
4.300000000000000000e+01,-1.688665686572221603e-05
4.400000000000000000e+01,1.822339261892125251e-05
4.500000000000000000e+01,-5.284226400448233107e-06
4.600000000000000000e+01,1.815671022775688925e-05
4.700000000000000000e+01,-1.902400978082141592e-06
4.800000000000000000e+01,5.788933467698598179e-06
4.900000000000000000e+01,7.017694878541647086e-06
5.000000000000000000e+01,1.659975743706354478e-05
5.100000000000000000e+01,1.235300894819602036e-05
5.200000000000000000e+01,2.621743512243313035e-05
5.300000000000000000e+01,1.863378184552288985e-05
5.400000000000000000e+01,3.144735242166518674e-05
5.500000000000000000e+01,1.713366064848287351e-05
5.600000000000000000e+01,1.936144331970979238e-05
5.700000000000000000e+01,1.604000341970390764e-05
5.800000000000000000e+01,1.749224822766848320e-05
5.900000000000000000e+01,1.416445490143303232e-05
6.000000000000000000e+01,1.634505433933952645e-05
6.100000000000000000e+01,1.553063773052087981e-05
6.200000000000000000e+01,2.040299770733611240e-05
6.300000000000000000e+01,1.350231172203564256e-05
6.400000000000000000e+01,1.477074868105887617e-05
6.500000000000000000e+01,1.183648305058682126e-05
6.600000000000000000e+01,1.137922725824580539e-05
6.700000000000000000e+01,8.697184064487828437e-06
6.800000000000000000e+01,6.768624141173518183e-06
6.900000000000000000e+01,8.010256934198878298e-06
7.000000000000000000e+01,8.883470705711715709e-06
7.100000000000000000e+01,6.802166373276463673e-06
7.200000000000000000e+01,8.474977086336821230e-06
7.300000000000000000e+01,6.662188871686680613e-06
7.400000000000000000e+01,6.342507031575905785e-06
7.500000000000000000e+01,3.992906185246170025e-06
7.600000000000000000e+01,1.315074088736878366e-06
7.700000000000000000e+01,2.924705686524475823e-06
7.800000000000000000e+01,2.224217668711503393e-06
7.900000000000000000e+01,2.507552895991693731e-06
8.000000000000000000e+01,4.656255281787480271e-06
8.100000000000000000e+01,3.555360192919465590e-06
8.200000000000000000e+01,3.648599768979465807e-06
8.300000000000000000e+01,1.438870357972632519e-06
8.400000000000000000e+01,-1.059173767359311569e-06
8.500000000000000000e+01,5.307263215570401371e-07
8.600000000000000000e+01,-6.758906803128184038e-07
8.700000000000000000e+01,5.731425840593828980e-07
8.800000000000000000e+01,2.987929212494577769e-06
8.900000000000000000e+01,2.183788369691797016e-06
9.000000000000000000e+01,2.521769269847595751e-06
9.100000000000000000e+01,3.629357490098072958e-07
9.200000000000000000e+01,-1.906321740463567949e-06
9.300000000000000000e+01,-3.466890170500391832e-07
9.400000000000000000e+01,-1.696822288010935154e-06
9.500000000000000000e+01,-9.701751935153879458e-08
9.600000000000000000e+01,2.422865373219451612e-06
9.700000000000000000e+01,1.703105720451958405e-06
9.800000000000000000e+01,2.129989541188592739e-06
9.900000000000000000e+01,-1.133811977638288226e-08
1.000000000000000000e+02,-2.169984311350958706e-06
1.010000000000000000e+02,-6.041086351160629420e-07
1.020000000000000000e+02,-2.002793875632846721e-06
1.030000000000000000e+02,-2.760637958232337041e-07
1.040000000000000000e+02,2.273547558218069753e-06
1.050000000000000000e+02,1.564511935114865082e-06
1.060000000000000000e+02,2.007646381585459494e-06
1.070000000000000000e+02,-1.268555536171334097e-07
1.080000000000000000e+02,-2.256201891981390872e-06
1.090000000000000000e+02,-6.697931542731794252e-07
1.100000000000000000e+02,-2.096442667465225895e-06
1.110000000000000000e+02,-3.150138265795021653e-07
1.120000000000000000e+02,2.239428624761785613e-06
1.130000000000000000e+02,1.526201472756838484e-06
1.140000000000000000e+02,1.964835343315485261e-06
1.150000000000000000e+02,-1.661500554916983674e-07
1.160000000000000000e+02,-2.297097095649291987e-06
1.170000000000000000e+02,-6.926928097783502380e-07
1.180000000000000000e+02,-2.139750232998949286e-06
1.190000000000000000e+02,-3.282884879496350550e-07
1.200000000000000000e+02,2.225943600109303588e-06
1.210000000000000000e+02,1.509765471752189114e-06
1.220000000000000000e+02,1.942735558202457469e-06
1.230000000000000000e+02,-1.860898013461564915e-07
1.240000000000000000e+02,-2.323985455632282537e-06
1.250000000000000000e+02,-7.084890558672896077e-07
1.260000000000000000e+02,-2.169347304459279258e-06
1.270000000000000000e+02,-3.395610033152252072e-07
1.280000000000000000e+02,2.214569828851153943e-06
1.290000000000000000e+02,1.497986058751621385e-06
1.300000000000000000e+02,1.928048675381432986e-06
1.310000000000000000e+02,-1.994482090594829060e-07
1.320000000000000000e+02,-2.342059334026203032e-06
1.330000000000000000e+02,-7.209521228901394352e-07
1.340000000000000000e+02,-2.189982790667954760e-06
1.350000000000000000e+02,-3.493004783194919582e-07
1.360000000000000000e+02,2.205230671847857593e-06
1.370000000000000000e+02,1.489286054479066479e-06
1.380000000000000000e+02,1.918424214153446883e-06
1.390000000000000000e+02,-2.083123131768616076e-07
1.400000000000000000e+02,-2.353047372949390592e-06
1.410000000000000000e+02,-7.294398347568176177e-07
1.420000000000000000e+02,-2.202786289373648287e-06
1.430000000000000000e+02,-3.560701244964548096e-07
1.440000000000000000e+02,2.198954620169502050e-06
1.450000000000000000e+02,1.483696175696991304e-06
1.460000000000000000e+02,1.912728244235495367e-06
1.470000000000000000e+02,-2.136061567625802127e-07
1.480000000000000000e+02,-2.359042568400582240e-06
1.490000000000000000e+02,-7.343897117095821159e-07
1.500000000000000000e+02,-2.209834505606522725e-06
1.510000000000000000e+02,-3.600041758033967199e-07
1.520000000000000000e+02,2.195382110770083273e-06
1.530000000000000000e+02,1.480562760391990196e-06
1.540000000000000000e+02,1.909683106759985094e-06
1.550000000000000000e+02,-2.164513670521728272e-07
1.560000000000000000e+02,-2.362044627446380218e-06
1.570000000000000000e+02,-7.369484240626889004e-07
1.580000000000000000e+02,-2.213368350822975117e-06
1.590000000000000000e+02,-3.620116544311713369e-07
1.600000000000000000e+02,2.193580506570924626e-06
1.610000000000000000e+02,1.478981303648652101e-06
1.620000000000000000e+02,1.908177157616819386e-06
1.630000000000000000e+02,-2.178613556225172943e-07
1.640000000000000000e+02,-2.363468707855531648e-06
1.650000000000000000e+02,-7.381665714234486586e-07
1.660000000000000000e+02,-2.215037918418261143e-06
1.670000000000000000e+02,-3.629516331926652128e-07
1.680000000000000000e+02,2.192740470974285927e-06
1.690000000000000000e+02,1.478235740037803225e-06
1.700000000000000000e+02,1.907465730255353265e-06
1.710000000000000000e+02,-2.185269565302405681e-07
1.720000000000000000e+02,-2.364132525300988164e-06
1.730000000000000000e+02,-7.387237452860517806e-07
1.740000000000000000e+02,-2.215810781081017922e-06
1.750000000000000000e+02,-3.633749656728468835e-07
1.760000000000000000e+02,2.192361050035174230e-06
1.770000000000000000e+02,1.477893420087639242e-06
1.780000000000000000e+02,1.907132800127442351e-06
1.790000000000000000e+02,-2.188375542999665413e-07
1.800000000000000000e+02,-2.364447531988389528e-06
1.810000000000000000e+02,-7.389801339741097763e-07
1.820000000000000000e+02,-2.216175063907144249e-06
1.830000000000000000e+02,-3.635679792779455966e-07
1.840000000000000000e+02,2.192186602911760929e-06
1.850000000000000000e+02,1.477733720278706642e-06
1.860000000000000000e+02,1.906973464471661828e-06
1.870000000000000000e+02,-2.189857131185135586e-07
1.880000000000000000e+02,-2.364602796234294146e-06
1.890000000000000000e+02,-7.391031751069476741e-07
