r,C_sp
0.000000000000000000e+00,2.503247201862023097e+00
1.000000000000000000e+00,1.456029104411824315e+00
2.000000000000000000e+00,4.021225551562580131e-03
3.000000000000000000e+00,-9.993824737260521562e-01
4.000000000000000000e+00,-1.194496088994179805e+00
5.000000000000000000e+00,-7.146659716281005270e-01
6.000000000000000000e+00,-5.023573670388042749e-03
7.000000000000000000e+00,5.022305318541061547e-01
8.000000000000000000e+00,6.037611882098451455e-01
9.000000000000000000e+00,3.616164063988829835e-01
1.000000000000000000e+01,4.589850993836091901e-03
1.100000000000000000e+01,-2.488861054478138102e-01
1.200000000000000000e+01,-2.996688642927590185e-01
1.300000000000000000e+01,-1.809781520248829600e-01
1.400000000000000000e+01,-3.157934481718310468e-03
1.500000000000000000e+01,1.258548326860762234e-01
1.600000000000000000e+01,1.536796168769322679e-01
1.700000000000000000e+01,9.345003107360067007e-02
1.800000000000000000e+01,2.184518289870687226e-03
1.900000000000000000e+01,-6.463037604294089022e-02
2.000000000000000000e+01,-7.984964697282535828e-02
2.100000000000000000e+01,-4.963531561195994729e-02
2.200000000000000000e+01,-1.362647884427666553e-03
2.300000000000000000e+01,3.625056435078677364e-02
2.400000000000000000e+01,4.653696161736407128e-02
2.500000000000000000e+01,2.972809384694181586e-02
2.600000000000000000e+01,8.796574458902638909e-04
2.700000000000000000e+01,-2.289984294607429541e-02
2.800000000000000000e+01,-3.032086876391295802e-02
2.900000000000000000e+01,-2.019479281768794474e-02
3.000000000000000000e+01,-5.001135720040089921e-04
3.100000000000000000e+01,1.745069239004982259e-02
3.200000000000000000e+01,2.408909652563716655e-02
3.300000000000000000e+01,1.639042243646295083e-02
3.400000000000000000e+01,3.096207600383460955e-04
3.500000000000000000e+01,-1.489419862184789695e-02
3.600000000000000000e+01,-2.090112247321798331e-02
3.700000000000000000e+01,-1.466830469452462885e-02
3.800000000000000000e+01,-1.318702907419190074e-04
3.900000000000000000e+01,1.454407728160944137e-02
4.000000000000000000e+01,2.066994792384864096e-02
4.100000000000000000e+01,1.439000934967413908e-02
4.200000000000000000e+01,7.860322816341787995e-05
4.300000000000000000e+01,-1.407106174598023347e-02
4.400000000000000000e+01,-1.998442374939375307e-02
4.500000000000000000e+01,-1.417969842306546907e-02
4.600000000000000000e+01,6.150503960628959010e-06
4.700000000000000000e+01,1.462945771018730155e-02
4.800000000000000000e+01,2.081492167739278781e-02
4.900000000000000000e+01,1.450460132529549952e-02
5.000000000000000000e+01,-4.469809278645110724e-07
5.100000000000000000e+01,-1.435731222318864866e-02
5.200000000000000000e+01,-2.033863634114660424e-02
5.300000000000000000e+01,-1.440744938818252704e-02
5.400000000000000000e+01,4.478422535500202391e-05
5.500000000000000000e+01,1.491043026867145370e-02
5.600000000000000000e+01,2.115668303749375714e-02
5.700000000000000000e+01,1.471509072584480798e-02
5.800000000000000000e+01,-1.816232987400584061e-05
5.900000000000000000e+01,-1.454289803288247133e-02
6.000000000000000000e+01,-2.055046035528941203e-02
6.100000000000000000e+01,-1.453146279361125504e-02
6.200000000000000000e+01,4.834615676515601276e-05
6.300000000000000000e+01,1.500139515904527245e-02
6.400000000000000000e+01,2.125985859412626508e-02
6.500000000000000000e+01,1.477729967809216644e-02
6.600000000000000000e+01,-1.667481925542933143e-05
6.700000000000000000e+01,-1.458113222658496098e-02
6.800000000000000000e+01,-2.059178224409975375e-02
6.900000000000000000e+01,-1.455541321179644465e-02
7.000000000000000000e+01,4.364852617932110846e-05
7.100000000000000000e+01,1.500549606525054987e-02
7.200000000000000000e+01,2.126567663275335390e-02
7.300000000000000000e+01,1.478488519451292768e-02
7.400000000000000000e+01,-1.196423877785302750e-05
7.500000000000000000e+01,-1.458398346182107272e-02
7.600000000000000000e+01,-2.060070264317178865e-02
7.700000000000000000e+01,-1.456533050474949006e-02
7.800000000000000000e+01,3.913256018989002394e-05
