r,C_j
0.000000000000000000e+00,6.440769827783454105e+01
1.000000000000000000e+00,-2.482658758390543952e+00
2.000000000000000000e+00,3.771775374697046157e-01
3.000000000000000000e+00,2.002071183289022560e-02
4.000000000000000000e+00,-2.549951672483952159e-03
5.000000000000000000e+00,1.620033161813250189e-04
6.000000000000000000e+00,-6.681481149772849903e-05
7.000000000000000000e+00,1.308188151594169568e-05
8.000000000000000000e+00,-2.674210997199999440e-06
9.000000000000000000e+00,2.698396838196615022e-07
1.000000000000000000e+01,-6.333229507493598476e-08
1.100000000000000000e+01,1.292599383084791498e-08
1.200000000000000000e+01,-2.188303427352877861e-09
1.300000000000000000e+01,4.193821956377519200e-10
1.400000000000000000e+01,-7.950495817254932263e-11
1.500000000000000000e+01,1.528466242461945512e-11
1.600000000000000000e+01,-2.935318654806451377e-12
1.700000000000000000e+01,5.327960295176126237e-13
1.800000000000000000e+01,-1.058042542467774183e-13
1.900000000000000000e+01,1.953992523340275511e-14
2.000000000000000000e+01,-3.774758283725532237e-15
2.100000000000000000e+01,5.551115123125782702e-16
2.200000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,-1.110223024625156540e-16
2.500000000000000000e+01,-1.110223024625156540e-16
2.600000000000000000e+01,1.110223024625156540e-16
2.700000000000000000e+01,-2.220446049250313081e-16
2.800000000000000000e+01,1.110223024625156540e-16
2.900000000000000000e+01,2.220446049250313081e-16
3.000000000000000000e+01,-2.220446049250313081e-16
3.100000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,3.330669073875469621e-16
3.300000000000000000e+01,1.110223024625156540e-16
3.400000000000000000e+01,-1.110223024625156540e-16
3.500000000000000000e+01,2.220446049250313081e-16
3.600000000000000000e+01,-2.220446049250313081e-16
3.700000000000000000e+01,2.220446049250313081e-16
3.800000000000000000e+01,-1.110223024625156540e-16
3.900000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,1.110223024625156540e-16
4.100000000000000000e+01,-1.110223024625156540e-16
4.200000000000000000e+01,0.000000000000000000e+00
4.300000000000000000e+01,-1.110223024625156540e-16
4.400000000000000000e+01,1.110223024625156540e-16
4.500000000000000000e+01,-1.110223024625156540e-16
4.600000000000000000e+01,-1.110223024625156540e-16
4.700000000000000000e+01,1.110223024625156540e-16
4.800000000000000000e+01,-1.110223024625156540e-16
4.900000000000000000e+01,-2.220446049250313081e-16
5.000000000000000000e+01,1.110223024625156540e-16
5.100000000000000000e+01,-1.110223024625156540e-16
5.200000000000000000e+01,1.110223024625156540e-16
5.300000000000000000e+01,-2.220446049250313081e-16
5.400000000000000000e+01,0.000000000000000000e+00
5.500000000000000000e+01,3.330669073875469621e-16
5.600000000000000000e+01,0.000000000000000000e+00
5.700000000000000000e+01,-2.220446049250313081e-16
5.800000000000000000e+01,0.000000000000000000e+00
5.900000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+01,-1.110223024625156540e-16
6.100000000000000000e+01,2.220446049250313081e-16
6.200000000000000000e+01,-1.110223024625156540e-16
6.300000000000000000e+01,1.110223024625156540e-16
6.400000000000000000e+01,-2.220446049250313081e-16
6.500000000000000000e+01,1.110223024625156540e-16
6.600000000000000000e+01,0.000000000000000000e+00
6.700000000000000000e+01,-2.220446049250313081e-16
6.800000000000000000e+01,0.000000000000000000e+00
6.900000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+01,-2.220446049250313081e-16
7.100000000000000000e+01,1.110223024625156540e-16
7.200000000000000000e+01,-2.220446049250313081e-16
