r,C_n
0.000000000000000000e+00,2.216907074462447724e+00
1.000000000000000000e+00,-2.649914592300603999e-01
2.000000000000000000e+00,-1.486620998233547652e-01
3.000000000000000000e+00,1.608790766132131012e-01
4.000000000000000000e+00,4.028233470813802342e-02
5.000000000000000000e+00,1.607062792407276675e-02
6.000000000000000000e+00,5.362246923468205750e-03
7.000000000000000000e+00,1.914913767755876961e-03
8.000000000000000000e+00,4.808066600716642824e-04
9.000000000000000000e+00,1.215629591797551257e-04
1.000000000000000000e+01,3.524848224145671338e-05
1.100000000000000000e+01,1.263572706733384621e-05
1.200000000000000000e+01,5.736727416660869494e-06
1.300000000000000000e+01,3.037883530510043784e-06
1.400000000000000000e+01,1.698518580894869956e-06
1.500000000000000000e+01,9.483604870297313028e-07
1.600000000000000000e+01,5.197801726808393141e-07
1.700000000000000000e+01,2.804109868748128065e-07
1.800000000000000000e+01,1.498482831152614381e-07
1.900000000000000000e+01,7.977730831498774933e-08
2.000000000000000000e+01,4.249120877375389682e-08
2.100000000000000000e+01,2.269389653974940302e-08
2.200000000000000000e+01,1.216957201677359990e-08
2.300000000000000000e+01,6.553307230205973610e-09
2.400000000000000000e+01,3.542737658790429123e-09
2.500000000000000000e+01,1.921733883136766963e-09
2.600000000000000000e+01,1.045371789132332196e-09
2.700000000000000000e+01,5.699689609173219651e-10
2.800000000000000000e+01,3.114308810836519115e-10
2.900000000000000000e+01,1.703313046164112166e-10
3.000000000000000000e+01,9.325873406851314940e-11
3.100000000000000000e+01,5.108802270115120336e-11
3.200000000000000000e+01,2.793143494272953831e-11
3.300000000000000000e+01,1.529087967355735600e-11
3.400000000000000000e+01,8.299139153677970171e-12
3.500000000000000000e+01,4.440892098500626162e-12
3.600000000000000000e+01,2.359001882723532617e-12
3.700000000000000000e+01,1.158184659288963303e-12
3.800000000000000000e+01,5.186961971048731357e-13
3.900000000000000000e+01,1.421085471520200372e-13
4.000000000000000000e+01,-7.105427357601001859e-14
4.100000000000000000e+01,-1.705302565824240446e-13
4.200000000000000000e+01,-2.344791028008330613e-13
4.300000000000000000e+01,-2.842170943040400743e-13
4.400000000000000000e+01,-2.557953848736360669e-13
