r,C_d
0.000000000000000000e+00,5.736227687698133515e+00
1.000000000000000000e+00,1.606405130581320506e+00
2.000000000000000000e+00,9.649216481012163893e-01
3.000000000000000000e+00,6.927556075055578688e-01
4.000000000000000000e+00,4.774534687522793419e-01
5.000000000000000000e+00,3.375232596508528360e-01
6.000000000000000000e+00,2.404541410179018568e-01
7.000000000000000000e+00,1.730330032685217512e-01
8.000000000000000000e+00,1.255783777010432145e-01
9.000000000000000000e+00,9.168462193850843156e-02
1.000000000000000000e+01,6.726736059027337011e-02
1.100000000000000000e+01,4.955448430981619634e-02
1.200000000000000000e+01,3.663102462625435901e-02
1.300000000000000000e+01,2.715722105640946613e-02
1.400000000000000000e+01,2.018449378293002763e-02
1.500000000000000000e+01,1.503512269947660136e-02
1.600000000000000000e+01,1.122117146999351139e-02
1.700000000000000000e+01,8.389108188063282984e-03
1.800000000000000000e+01,6.281428618161674117e-03
1.900000000000000000e+01,4.709731497499104400e-03
2.000000000000000000e+01,3.535636339418501105e-03
2.100000000000000000e+01,2.657166388310232361e-03
2.200000000000000000e+01,1.998947885252978611e-03
2.300000000000000000e+01,1.505126060405943779e-03
2.400000000000000000e+01,1.134212628429426663e-03
2.500000000000000000e+01,8.553257581476574880e-04
2.600000000000000000e+01,6.454353812890374284e-04
2.700000000000000000e+01,4.873378269490698895e-04
2.800000000000000000e+01,3.681609706807793250e-04
2.900000000000000000e+01,2.782610765508457111e-04
3.000000000000000000e+01,2.104035688341960122e-04
3.100000000000000000e+01,1.591552163916783288e-04
3.200000000000000000e+01,1.204311619341556864e-04
3.300000000000000000e+01,9.115736292159686298e-05
3.400000000000000000e+01,6.901853004413078792e-05
3.500000000000000000e+01,5.226953394444686768e-05
3.600000000000000000e+01,3.959396382440686713e-05
3.700000000000000000e+01,2.999829724671890732e-05
3.800000000000000000e+01,2.273223384449432437e-05
3.900000000000000000e+01,1.722889654124757795e-05
4.000000000000000000e+01,1.305976848415039950e-05
4.100000000000000000e+01,9.900784763358322921e-06
4.200000000000000000e+01,7.506786347578686542e-06
4.300000000000000000e+01,5.692249009228454645e-06
4.400000000000000000e+01,4.316721858057834550e-06
4.500000000000000000e+01,3.273861217411548675e-06
4.600000000000000000e+01,2.483123767853656662e-06
4.700000000000000000e+01,1.883497625646569695e-06
4.800000000000000000e+01,1.428754159750922267e-06
4.900000000000000000e+01,1.083859437738634159e-06
5.000000000000000000e+01,8.222598231621367163e-07
5.100000000000000000e+01,6.238268100484546427e-07
5.200000000000000000e+01,4.732989950585194320e-07
5.300000000000000000e+01,3.591053556152651213e-07
5.400000000000000000e+01,2.724714766541533920e-07
5.500000000000000000e+01,2.067434621714836156e-07
5.600000000000000000e+01,1.568747372422031742e-07
5.700000000000000000e+01,1.190374565644452022e-07
5.800000000000000000e+01,9.032807103179213037e-08
5.900000000000000000e+01,6.854405560215667102e-08
6.000000000000000000e+01,5.201441312035651394e-08
6.100000000000000000e+01,3.947150198337451449e-08
6.200000000000000000e+01,2.995357602984109175e-08
6.300000000000000000e+01,2.273098833174758376e-08
6.400000000000000000e+01,1.725012414755140773e-08
6.500000000000000000e+01,1.309091401523314999e-08
6.600000000000000000e+01,9.934618976635496390e-09
6.700000000000000000e+01,7.539386014539900728e-09
6.800000000000000000e+01,5.721680705109169407e-09
6.900000000000000000e+01,4.342239284121509901e-09
7.000000000000000000e+01,3.295382170302036933e-09
7.100000000000000000e+01,2.500918857507810665e-09
7.200000000000000000e+01,1.897995351863781051e-09
7.300000000000000000e+01,1.440430340042491878e-09
7.400000000000000000e+01,1.093177917619807207e-09
7.500000000000000000e+01,8.296427960167799038e-10
7.600000000000000000e+01,6.296405631634180652e-10
7.700000000000000000e+01,4.778540789110327884e-10
7.800000000000000000e+01,3.626590365413112876e-10
7.900000000000000000e+01,2.752341570416132640e-10
8.000000000000000000e+01,2.088848053753336763e-10
8.100000000000000000e+01,1.585302032281947179e-10
8.200000000000000000e+01,1.203144607047962798e-10
8.300000000000000000e+01,9.131131656792216523e-11
8.400000000000000000e+01,6.929979888050920077e-11
8.500000000000000000e+01,5.259443535442326345e-11
8.600000000000000000e+01,3.991606268668388636e-11
8.700000000000000000e+01,3.029393853693974227e-11
8.800000000000000000e+01,2.299132774162609387e-11
8.900000000000000000e+01,1.744908386369859037e-11
9.000000000000000000e+01,1.324285159923608656e-11
9.100000000000000000e+01,1.005057830094958032e-11
9.200000000000000000e+01,7.627828333566299856e-12
9.300000000000000000e+01,5.789099013116469959e-12
9.400000000000000000e+01,4.393603898872224062e-12
9.500000000000000000e+01,3.334500386491414600e-12
9.600000000000000000e+01,2.530700405985408573e-12
9.700000000000000000e+01,1.920661379921561473e-12
9.800000000000000000e+01,1.457676107170083415e-12
9.900000000000000000e+01,1.106297152689084010e-12
1.000000000000000000e+02,8.396199699989773876e-13
1.010000000000000000e+02,6.372265011159108740e-13
1.020000000000000000e+02,4.836204561774483984e-13
1.030000000000000000e+02,3.670416597451145210e-13
1.040000000000000000e+02,2.785646954698735963e-13
1.050000000000000000e+02,2.114155013006769394e-13
1.060000000000000000e+02,1.604529410414930812e-13
1.070000000000000000e+02,1.217752441535025479e-13
1.080000000000000000e+02,9.242096362805149210e-14
1.090000000000000000e+02,7.014262839629680758e-14
1.100000000000000000e+02,5.323451514681628397e-14
1.110000000000000000e+02,4.040214269056969101e-14
1.120000000000000000e+02,3.066305888110721710e-14
1.130000000000000000e+02,2.327161721803344923e-14
1.140000000000000000e+02,1.766191244593490690e-14
1.150000000000000000e+02,1.340446045226183935e-14
1.160000000000000000e+02,1.017328198288757954e-14
1.170000000000000000e+02,7.720987816380980352e-15
1.180000000000000000e+02,5.859821102853877509e-15
1.190000000000000000e+02,4.447292142778075580e-15
1.200000000000000000e+02,3.375257646052557359e-15
1.210000000000000000e+02,2.561640586534164305e-15
1.220000000000000000e+02,1.944148898826777316e-15
1.230000000000000000e+02,1.475507046732670193e-15
1.240000000000000000e+02,1.119832783579321056e-15
1.250000000000000000e+02,8.498946550788198669e-16
1.260000000000000000e+02,6.450252503483055766e-16
1.270000000000000000e+02,4.895399471298026371e-16
1.280000000000000000e+02,3.715348194221922374e-16
1.290000000000000000e+02,2.819751877069088254e-16
1.300000000000000000e+02,2.140042131288180199e-16
1.310000000000000000e+02,1.624180108066158201e-16
1.320000000000000000e+02,1.232668169639645385e-16
1.330000000000000000e+02,9.355310517869860950e-17
1.340000000000000000e+02,7.100189354817400420e-17
1.350000000000000000e+02,5.388668239301423883e-17
1.360000000000000000e+02,4.089714062305600618e-17
1.370000000000000000e+02,3.103876491613565654e-17
1.380000000000000000e+02,2.355678226268447574e-17
1.390000000000000000e+02,1.787837234203525744e-17
1.400000000000000000e+02,1.356876160139559174e-17
1.410000000000000000e+02,1.029799128013538508e-17
1.420000000000000000e+02,7.815640516759092343e-18
1.430000000000000000e+02,5.931661461012164564e-18
1.440000000000000000e+02,4.501822074914768514e-18
1.450000000000000000e+02,3.416648595406112648e-18
1.460000000000000000e+02,2.593058534770610501e-18
1.470000000000000000e+02,1.968000417726246461e-18
1.480000000000000000e+02,1.493616666834556119e-18
1.490000000000000000e+02,1.133583713391557804e-18
1.500000000000000000e+02,8.603363338900113517e-19
1.510000000000000000e+02,6.529532282948266425e-19
1.520000000000000000e+02,4.955619622852570674e-19
1.530000000000000000e+02,3.761093680742466360e-19
1.540000000000000000e+02,2.854500381844046778e-19
1.550000000000000000e+02,2.166458791726109159e-19
1.560000000000000000e+02,1.644295319022398851e-19
1.570000000000000000e+02,1.247996628141324903e-19
1.580000000000000000e+02,9.472214502827520485e-20
1.590000000000000000e+02,7.189248505591834705e-20
1.600000000000000000e+02,5.456758663433777221e-20
1.610000000000000000e+02,4.141797263545601434e-20
1.620000000000000000e+02,3.143695061260199118e-20
1.630000000000000000e+02,2.386317735516104091e-20
1.640000000000000000e+02,1.811746527699389143e-20
1.650000000000000000e+02,1.375639170145297293e-20
1.660000000000000000e+02,1.044612144208394247e-20
1.670000000000000000e+02,7.931429875654921634e-21
1.680000000000000000e+02,6.024525881102593697e-21
1.690000000000000000e+02,4.576356525495310624e-21
1.700000000000000000e+02,3.476109069011245746e-21
1.710000000000000000e+02,2.642354219496861583e-21
1.720000000000000000e+02,2.011961075443072741e-21
1.730000000000000000e+02,1.533148738708702655e-21
1.740000000000000000e+02,1.169320244268483060e-21
1.750000000000000000e+02,8.908269952002579523e-22
1.760000000000000000e+02,6.810801851901372660e-22
1.770000000000000000e+02,5.209636762983079071e-22
1.780000000000000000e+02,3.982799080491014379e-22
1.790000000000000000e+02,3.064420433780120344e-22
1.800000000000000000e+02,2.391248285264036393e-22
1.810000000000000000e+02,1.876578740436571369e-22
1.820000000000000000e+02,1.481631232278951562e-22
1.830000000000000000e+02,1.158225733044708914e-22
1.840000000000000000e+02,9.289275109242469691e-23
1.850000000000000000e+02,7.456049278446705740e-23
1.860000000000000000e+02,5.948344184972790057e-23
1.870000000000000000e+02,4.931314958250676379e-23
1.880000000000000000e+02,4.397732383129933028e-23
1.890000000000000000e+02,3.955102524292439410e-23
1.900000000000000000e+02,3.575777723708245750e-23
1.910000000000000000e+02,3.051283990120635315e-23
1.920000000000000000e+02,2.814716688088985893e-23
1.930000000000000000e+02,2.542201461480378305e-23
1.940000000000000000e+02,2.218992863505858608e-23
1.950000000000000000e+02,2.100931261478382609e-23
1.960000000000000000e+02,2.249617810419334307e-23
1.970000000000000000e+02,2.324794797912542876e-23
1.980000000000000000e+02,2.338459476737136954e-23
1.990000000000000000e+02,2.112224640069392210e-23
