r,C_sp
0.000000000000000000e+00,1.999999999998508970e+00
1.000000000000000000e+00,7.193472838998904004e-11
2.000000000000000000e+00,2.584613975177152363e-13
3.000000000000000000e+00,-3.576615129431587592e-13
4.000000000000000000e+00,8.546229072213256282e-14
5.000000000000000000e+00,-1.614550009085966137e-11
6.000000000000000000e+00,2.925745137992810368e-12
7.000000000000000000e+00,-2.480045117054528675e-13
8.000000000000000000e+00,3.347475278652025188e-14
9.000000000000000000e+00,1.775592025618805446e-14
1.000000000000000000e+01,6.164112850340781453e-14
1.100000000000000000e+01,5.518179892504703982e-13
1.200000000000000000e+01,1.275045865220925423e-14
1.300000000000000000e+01,2.207873943908634959e-14
1.400000000000000000e+01,8.859937405279966889e-18
1.500000000000000000e+01,6.441823765823302176e-20
1.600000000000000000e+01,-7.161531473325703069e-21
1.700000000000000000e+01,-1.447459287565103517e-21
1.800000000000000000e+01,-1.366277993545078513e-22
1.900000000000000000e+01,-2.552734366045933850e-23
2.000000000000000000e+01,3.181293470925109896e-24
2.100000000000000000e+01,5.453806247512559333e-24
2.200000000000000000e+01,1.822812379207185668e-24
2.300000000000000000e+01,-1.839359189579566508e-26
2.400000000000000000e+01,-4.760611493692826568e-27
2.500000000000000000e+01,5.171203736090251688e-29
2.600000000000000000e+01,-7.427944834809195087e-30
2.700000000000000000e+01,-1.178015459652556548e-32
2.800000000000000000e+01,-9.202510831021254279e-32
2.900000000000000000e+01,-4.178009761163227201e-32
3.000000000000000000e+01,-1.342103539140015874e-33
3.100000000000000000e+01,-3.842430412442023150e-35
3.200000000000000000e+01,-4.694543559648039796e-37
3.300000000000000000e+01,-1.584820130496051314e-37
3.400000000000000000e+01,-3.662362730996766826e-39
3.500000000000000000e+01,-6.226642290632748638e-40
3.600000000000000000e+01,8.785936297693141059e-41
3.700000000000000000e+01,-1.149228853532119767e-40
3.800000000000000000e+01,1.296293733571406446e-42
3.900000000000000000e+01,-2.749315628415264271e-44
4.000000000000000000e+01,7.067556888189225977e-45
4.100000000000000000e+01,-1.941582782570659802e-48
4.200000000000000000e+01,5.953327512677738049e-48
4.300000000000000000e+01,-1.235464856971280161e-48
4.400000000000000000e+01,1.354844982672137766e-49
4.500000000000000000e+01,8.373118249980427440e-50
4.600000000000000000e+01,8.415400120279090530e-52
4.700000000000000000e+01,2.281776984760008968e-52
4.800000000000000000e+01,2.935332709759133686e-53
4.900000000000000000e+01,-5.041250279826907317e-55
5.000000000000000000e+01,2.777720091133891037e-56
5.100000000000000000e+01,4.598780038877369231e-57
5.200000000000000000e+01,-1.024780481822478599e-57
5.300000000000000000e+01,2.659186528967548490e-58
5.400000000000000000e+01,-1.180227922152685175e-59
5.500000000000000000e+01,2.316503890657911440e-61
5.600000000000000000e+01,-1.687297831320879556e-62
5.700000000000000000e+01,1.314243075054671015e-64
5.800000000000000000e+01,1.889750446540799430e-65
5.900000000000000000e+01,1.608102252171704138e-65
6.000000000000000000e+01,1.677153868186136901e-66
6.100000000000000000e+01,2.236828759399933317e-67
6.200000000000000000e+01,1.066202207452154109e-68
6.300000000000000000e+01,-6.709639744667718319e-70
6.400000000000000000e+01,-6.018906147430859757e-71
6.500000000000000000e+01,2.358505400811269838e-72
6.600000000000000000e+01,-3.060116962612355479e-74
6.700000000000000000e+01,-2.072845367982494810e-74
6.800000000000000000e+01,2.121058598979791857e-75
6.900000000000000000e+01,-1.828101447528119713e-76
7.000000000000000000e+01,6.713860658390305824e-77
7.100000000000000000e+01,-6.615221495439906763e-79
7.200000000000000000e+01,-6.061768500174045799e-80
7.300000000000000000e+01,-1.314028317729457835e-81
7.400000000000000000e+01,-2.356634065380605788e-82
7.500000000000000000e+01,-2.342622234159190822e-83
7.600000000000000000e+01,-7.265135439441753875e-84
7.700000000000000000e+01,-8.151447659331568831e-85
7.800000000000000000e+01,-1.015350745120066598e-85
7.900000000000000000e+01,9.806027375431025588e-88
8.000000000000000000e+01,6.640222709770061520e-89
8.100000000000000000e+01,-7.914143673447616104e-90
8.200000000000000000e+01,-1.334790209142116114e-92
8.300000000000000000e+01,4.333249750829821896e-92
8.400000000000000000e+01,2.488537452332831081e-93
8.500000000000000000e+01,-3.600292531199423238e-93
8.600000000000000000e+01,-4.375831872230897807e-95
8.700000000000000000e+01,-1.267275681904567029e-96
8.800000000000000000e+01,1.529839175753502429e-97
8.900000000000000000e+01,1.044240472300291520e-98
9.000000000000000000e+01,5.166265399223030357e-100
9.100000000000000000e+01,-6.030310014429611914e-101
9.200000000000000000e+01,1.981095549269823568e-101
9.300000000000000000e+01,3.243699306700940593e-102
9.400000000000000000e+01,2.854040164774767299e-103
9.500000000000000000e+01,4.041510977979156663e-105
9.600000000000000000e+01,8.420587886947123939e-106
9.700000000000000000e+01,-7.613755451500757681e-108
9.800000000000000000e+01,6.355187714587115054e-109
9.900000000000000000e+01,7.378489692773961229e-111
1.000000000000000000e+02,-5.044892093434943536e-110
1.010000000000000000e+02,1.461635884048316257e-110
1.020000000000000000e+02,-5.343714699941612078e-112
1.030000000000000000e+02,1.318993953566465725e-113
1.040000000000000000e+02,-6.574573602198393096e-115
1.050000000000000000e+02,-2.667298581766171404e-116
1.060000000000000000e+02,-2.500753126017401110e-118
1.070000000000000000e+02,7.377747104649459044e-118
1.080000000000000000e+02,2.111451506280330196e-119
1.090000000000000000e+02,-2.942254018289551381e-120
1.100000000000000000e+02,-2.428538556664291157e-121
1.110000000000000000e+02,-3.003052088408317228e-122
1.120000000000000000e+02,-3.292746881026274829e-123
1.130000000000000000e+02,1.179792026718491931e-124
1.140000000000000000e+02,-1.256020492570248499e-126
1.150000000000000000e+02,-8.387578339346708294e-127
1.160000000000000000e+02,1.859847440440356113e-127
1.170000000000000000e+02,-2.861906796866365834e-128
1.180000000000000000e+02,3.639010691174950939e-129
1.190000000000000000e+02,-4.339695698013438113e-131
1.200000000000000000e+02,1.332819503515759040e-133
1.210000000000000000e+02,3.234509386610784855e-135
1.220000000000000000e+02,-6.368582484446930712e-135
1.230000000000000000e+02,-2.129056044989092783e-135
1.240000000000000000e+02,-3.499983791235007653e-136
1.250000000000000000e+02,1.807135813581040077e-138
1.260000000000000000e+02,-3.862538085295994905e-138
1.270000000000000000e+02,1.054973239124645152e-139
1.280000000000000000e+02,7.218834935459046003e-141
1.290000000000000000e+02,-5.212774366662593814e-142
1.300000000000000000e+02,1.029746342378887074e-144
