r,C_j
0.000000000000000000e+00,4.938347211422933469e+01
1.000000000000000000e+00,-2.002341322504100063e+01
2.000000000000000000e+00,1.859477705672444081e+00
3.000000000000000000e+00,7.953766775763897456e-01
4.000000000000000000e+00,-1.535477829414855222e-01
5.000000000000000000e+00,2.567373686345053585e-02
6.000000000000000000e+00,-4.333454831224603510e-02
7.000000000000000000e+00,-8.017855652253658150e-03
8.000000000000000000e+00,-9.125784751679688611e-03
9.000000000000000000e+00,-9.676365535078446101e-03
1.000000000000000000e+01,-8.226478142233872859e-03
1.100000000000000000e+01,-7.115103123001453866e-03
1.200000000000000000e+01,-6.180229187872754437e-03
1.300000000000000000e+01,-5.413036439056995164e-03
1.400000000000000000e+01,-4.764834940499618199e-03
1.500000000000000000e+01,-4.207649124254864148e-03
1.600000000000000000e+01,-3.736108936498006017e-03
1.700000000000000000e+01,-3.335563367344640540e-03
1.800000000000000000e+01,-2.993349257748967318e-03
1.900000000000000000e+01,-2.700293698461919689e-03
2.000000000000000000e+01,-2.447930965428390948e-03
2.100000000000000000e+01,-2.227412582858967482e-03
2.200000000000000000e+01,-2.036740511949020060e-03
2.300000000000000000e+01,-1.868764762275709757e-03
2.400000000000000000e+01,-1.722057388000131084e-03
2.500000000000000000e+01,-1.591667389563511392e-03
2.600000000000000000e+01,-1.475350984289747203e-03
2.700000000000000000e+01,-1.371069373123035007e-03
2.800000000000000000e+01,-1.278105713804045251e-03
2.900000000000000000e+01,-1.193169147567729738e-03
3.000000000000000000e+01,-1.116178680200086148e-03
3.100000000000000000e+01,-1.046336005281922610e-03
3.200000000000000000e+01,-9.834401635160361366e-04
3.300000000000000000e+01,-9.255446129721178750e-04
3.400000000000000000e+01,-8.724528939199061028e-04
3.500000000000000000e+01,-8.234177182249169391e-04
3.600000000000000000e+01,-7.788336916734195370e-04
3.700000000000000000e+01,-7.375880190592098984e-04
3.800000000000000000e+01,-6.986036768266146169e-04
3.900000000000000000e+01,-6.628969281594621066e-04
4.000000000000000000e+01,-6.300920737540849359e-04
4.100000000000000000e+01,-5.993163566602177639e-04
4.200000000000000000e+01,-5.707674813582030993e-04
4.300000000000000000e+01,-5.439756387763949874e-04
4.400000000000000000e+01,-5.193628395039340262e-04
4.500000000000000000e+01,-4.968136078176144110e-04
4.600000000000000000e+01,-4.745915463271188628e-04
4.700000000000000000e+01,-4.542608343705012430e-04
4.800000000000000000e+01,-4.352787228505405892e-04
4.900000000000000000e+01,-4.172555766537300315e-04
5.000000000000000000e+01,-4.004647806885586192e-04
5.100000000000000000e+01,-3.845416449070881981e-04
5.200000000000000000e+01,-3.698034827541718528e-04
5.300000000000000000e+01,-3.565891504671014900e-04
5.400000000000000000e+01,-3.429557328411547701e-04
5.500000000000000000e+01,-3.305540134936890695e-04
5.600000000000000000e+01,-3.187886441589071751e-04
