r,C_sp
0.000000000000000000e+00,7.246124422763379203e-01
1.000000000000000000e+00,5.005947013692824132e-02
2.000000000000000000e+00,-1.415636893254991133e-02
3.000000000000000000e+00,8.967882566029910379e-03
4.000000000000000000e+00,5.148117769686550403e-03
5.000000000000000000e+00,1.312532222815859014e-03
6.000000000000000000e+00,-1.254248535755459002e-03
7.000000000000000000e+00,3.076526353536443437e-02
8.000000000000000000e+00,1.718077576697061778e-02
9.000000000000000000e+00,-1.064692061964880691e-02
1.000000000000000000e+01,-1.716483893042520734e-02
1.100000000000000000e+01,-1.725917667624888088e-02
1.200000000000000000e+01,9.374112079186551938e-05
1.300000000000000000e+01,-2.725879013194580582e-04
1.400000000000000000e+01,1.424403038824905180e-03
1.500000000000000000e+01,2.973945166934950993e-02
1.600000000000000000e+01,1.690105580692317228e-02
1.700000000000000000e+01,-8.405261966923810793e-03
1.800000000000000000e+01,-1.561939550948509593e-02
1.900000000000000000e+01,-1.670687201177352421e-02
2.000000000000000000e+01,3.512534041170629938e-04
2.100000000000000000e+01,-7.250370076954668671e-04
2.200000000000000000e+01,1.398392902619132903e-03
2.300000000000000000e+01,2.952535753242183439e-02
2.400000000000000000e+01,1.686404802620819487e-02
2.500000000000000000e+01,-8.408606476520716008e-03
2.600000000000000000e+01,-1.563685950216954154e-02
2.700000000000000000e+01,-1.666964892620397681e-02
2.800000000000000000e+01,3.887712940453784275e-04
2.900000000000000000e+01,-7.386615284679102144e-04
3.000000000000000000e+01,1.394581711672229383e-03
3.100000000000000000e+01,2.951348673629392710e-02
3.200000000000000000e+01,1.686183193143273723e-02
3.300000000000000000e+01,-8.408935796554389483e-03
3.400000000000000000e+01,-1.563753462691440388e-02
3.500000000000000000e+01,-1.666810894965861656e-02
3.600000000000000000e+01,3.907637615114750522e-04
3.700000000000000000e+01,-7.393673145657887790e-04
3.800000000000000000e+01,1.394410476005691251e-03
3.900000000000000000e+01,2.951266291238091241e-02
4.000000000000000000e+01,1.686170083545371692e-02
4.100000000000000000e+01,-8.408888758320036752e-03
4.200000000000000000e+01,-1.563748204745383022e-02
4.300000000000000000e+01,-1.666795639404326443e-02
4.400000000000000000e+01,3.908996333115758153e-04
4.500000000000000000e+01,-7.394102086668394736e-04
4.600000000000000000e+01,1.394401115758882488e-03
4.700000000000000000e+01,2.951258529590108579e-02
4.800000000000000000e+01,1.686168486292691573e-02
4.900000000000000000e+01,-8.408876437397311970e-03
5.000000000000000000e+01,-1.563746018475389507e-02
5.100000000000000000e+01,-1.666792556900283453e-02
5.200000000000000000e+01,3.909175789809945611e-04
5.300000000000000000e+01,-7.394042147161572183e-04
5.400000000000000000e+01,1.394405370196702756e-03
5.500000000000000000e+01,2.951256810291656707e-02
5.600000000000000000e+01,1.686168130266281137e-02
5.700000000000000000e+01,-8.408866884190699040e-03
5.800000000000000000e+01,-1.563744423098237940e-02
5.900000000000000000e+01,-1.666790825006595964e-02
6.000000000000000000e+01,3.909256758356186175e-04
6.100000000000000000e+01,-7.393972473891687568e-04
6.200000000000000000e+01,1.394409618958341061e-03
6.300000000000000000e+01,2.951255899566226915e-02
6.400000000000000000e+01,1.686167995855250221e-02
6.500000000000000000e+01,-8.408859783468274063e-03
6.600000000000000000e+01,-1.563743264857093279e-02
6.700000000000000000e+01,-1.666789590727871598e-02
6.800000000000000000e+01,3.909314746975691909e-04
