r,C_nn
0.000000000000000000e+00,7.066338181026994292e-01
1.000000000000000000e+00,-3.149157477055206655e-01
2.000000000000000000e+00,-2.251812087348614710e-02
3.000000000000000000e+00,-1.961439692951261193e-02
4.000000000000000000e+00,-9.701752453987744218e-04
5.000000000000000000e+00,-5.251350835382417870e-04
6.000000000000000000e+00,1.529608076054067567e-03
7.000000000000000000e+00,8.718620595296044939e-04
8.000000000000000000e+00,6.704471827756464108e-04
9.000000000000000000e+00,5.012924014442532439e-04
1.000000000000000000e+01,3.795705273499372367e-04
1.100000000000000000e+01,2.841962944457598894e-04
1.200000000000000000e+01,2.146578688790867773e-04
1.300000000000000000e+01,1.630290652192556422e-04
1.400000000000000000e+01,1.245834279677282552e-04
1.500000000000000000e+01,9.569264994713222450e-05
1.600000000000000000e+01,7.386794672825658381e-05
1.700000000000000000e+01,5.730986774121760163e-05
1.800000000000000000e+01,4.473915548297568989e-05
1.900000000000000000e+01,3.518501633292814290e-05
2.000000000000000000e+01,2.791703342186480086e-05
2.100000000000000000e+01,2.237100800606128814e-05
2.200000000000000000e+01,1.811530589623799870e-05
2.300000000000000000e+01,1.484264310303018419e-05
2.400000000000000000e+01,1.227390889813051444e-05
2.500000000000000000e+01,1.024576188246584252e-05
2.600000000000000000e+01,8.625515894866708777e-06
2.700000000000000000e+01,7.323344042742263582e-06
2.800000000000000000e+01,6.267119394109954555e-06
2.900000000000000000e+01,5.403109475388134797e-06
3.000000000000000000e+01,4.684973551327686891e-06
3.100000000000000000e+01,4.088138193303336720e-06
3.200000000000000000e+01,3.579670576847604480e-06
3.300000000000000000e+01,3.146563019029713359e-06
3.400000000000000000e+01,2.773419940815813334e-06
3.500000000000000000e+01,2.452245057682489460e-06
3.600000000000000000e+01,2.176184682234350021e-06
3.700000000000000000e+01,1.936696615523203491e-06
3.800000000000000000e+01,1.725155954090951127e-06
3.900000000000000000e+01,1.540689590129318276e-06
4.000000000000000000e+01,1.380389011984561876e-06
4.100000000000000000e+01,1.241072581148472409e-06
4.200000000000000000e+01,1.118412280565195260e-06
4.300000000000000000e+01,1.010116512656367149e-06
4.400000000000000000e+01,9.156849190006255412e-07
4.500000000000000000e+01,8.311951296136044220e-07
4.600000000000000000e+01,7.533058994368957428e-07
4.700000000000000000e+01,6.832854930749476807e-07
4.800000000000000000e+01,6.234664651216803577e-07
4.900000000000000000e+01,5.716628961316416735e-07
5.000000000000000000e+01,5.258304605071373317e-07
5.100000000000000000e+01,4.845741004011472342e-07
5.200000000000000000e+01,4.484284579220343403e-07
5.300000000000000000e+01,4.148914012347404423e-07
5.400000000000000000e+01,3.822487055771262021e-07
5.500000000000000000e+01,3.518326643359159789e-07
5.600000000000000000e+01,3.266645256516653717e-07
5.700000000000000000e+01,3.050659542758182852e-07
5.800000000000000000e+01,2.858952363737898850e-07
5.900000000000000000e+01,2.682045656676734779e-07
6.000000000000000000e+01,2.526495261889749600e-07
6.100000000000000000e+01,2.375187859726679562e-07
6.200000000000000000e+01,2.218172872048285171e-07
6.300000000000000000e+01,2.066074351603219839e-07
6.400000000000000000e+01,1.944841478973557969e-07
6.500000000000000000e+01,1.841731283036551758e-07
6.600000000000000000e+01,1.749778273385516059e-07
6.700000000000000000e+01,1.662539617086622457e-07
6.800000000000000000e+01,1.585577775742308404e-07
6.900000000000000000e+01,1.506940447981719444e-07
7.000000000000000000e+01,1.420488286996146599e-07
7.100000000000000000e+01,1.333979531281670461e-07
7.200000000000000000e+01,1.267224112311282624e-07
7.300000000000000000e+01,1.210675191209986679e-07
7.400000000000000000e+01,1.159853897370055620e-07
7.500000000000000000e+01,1.110489487032850775e-07
7.600000000000000000e+01,1.066796615489806754e-07
7.700000000000000000e+01,1.020398689988155638e-07
7.800000000000000000e+01,9.674440093476732727e-08
7.900000000000000000e+01,9.133586420517758597e-08
8.000000000000000000e+01,8.724870248499883019e-08
8.100000000000000000e+01,8.377389981717442424e-08
8.200000000000000000e+01,8.061509149115408945e-08
8.300000000000000000e+01,7.750162867026233471e-08
8.400000000000000000e+01,7.473544272329490923e-08
8.500000000000000000e+01,7.173285698769404917e-08
8.600000000000000000e+01,6.825670073595802023e-08
8.700000000000000000e+01,6.467507596141786053e-08
8.800000000000000000e+01,6.199319457778074138e-08
8.900000000000000000e+01,5.968721916715935549e-08
9.000000000000000000e+01,5.755845533528258784e-08
9.100000000000000000e+01,5.544830594672589541e-08
9.200000000000000000e+01,5.356438936843233023e-08
9.300000000000000000e+01,5.150518589402963698e-08
9.400000000000000000e+01,4.913291107300210570e-08
9.500000000000000000e+01,4.668960240650221749e-08
9.600000000000000000e+01,4.485965821032777967e-08
9.700000000000000000e+01,4.325720581732639403e-08
9.800000000000000000e+01,4.174868761808170348e-08
9.900000000000000000e+01,4.025496869175526626e-08
1.000000000000000000e+02,3.891276456613468326e-08
1.010000000000000000e+02,3.745157162171608434e-08
1.020000000000000000e+02,3.580126683999651505e-08
1.030000000000000000e+02,3.411439575273789160e-08
1.040000000000000000e+02,3.284119642898986058e-08
1.050000000000000000e+02,3.169793982849000713e-08
1.060000000000000000e+02,3.059530939708565711e-08
1.070000000000000000e+02,2.950981059512969296e-08
1.080000000000000000e+02,2.852614056081392846e-08
1.090000000000000000e+02,2.746796745611845836e-08
1.100000000000000000e+02,2.631122253404782896e-08
1.110000000000000000e+02,2.514561714406227111e-08
1.120000000000000000e+02,2.425282552565022343e-08
1.130000000000000000e+02,2.342449434422633203e-08
1.140000000000000000e+02,2.260161835465623881e-08
1.150000000000000000e+02,2.179900393528555469e-08
1.160000000000000000e+02,2.106377738897435847e-08
1.170000000000000000e+02,2.028712042800862037e-08
1.180000000000000000e+02,1.947598526896854310e-08
1.190000000000000000e+02,1.867637688945933405e-08
1.200000000000000000e+02,1.804990112930227042e-08
1.210000000000000000e+02,1.744372069012456450e-08
1.220000000000000000e+02,1.681966921296407236e-08
1.230000000000000000e+02,1.621831158260533812e-08
1.240000000000000000e+02,1.565997287400477944e-08
1.250000000000000000e+02,1.508400959693290133e-08
1.260000000000000000e+02,1.451787046136132631e-08
1.270000000000000000e+02,1.397746718367898211e-08
1.280000000000000000e+02,1.353976131213130429e-08
1.290000000000000000e+02,1.309280062145035117e-08
1.300000000000000000e+02,1.261270332619801593e-08
1.310000000000000000e+02,1.215677558619177034e-08
1.320000000000000000e+02,1.172648911307305752e-08
1.330000000000000000e+02,1.129532467558647113e-08
1.340000000000000000e+02,1.090385115531944393e-08
1.350000000000000000e+02,1.054753706597466589e-08
1.360000000000000000e+02,1.024441331765046925e-08
1.370000000000000000e+02,9.912633380793067772e-09
1.380000000000000000e+02,9.538064560388193058e-09
1.390000000000000000e+02,9.188305671870011793e-09
1.400000000000000000e+02,8.851778865448522993e-09
1.410000000000000000e+02,8.525905315082127345e-09
1.420000000000000000e+02,8.259205763749832840e-09
1.430000000000000000e+02,8.033530285445067420e-09
1.440000000000000000e+02,7.826558956480766938e-09
1.450000000000000000e+02,7.578606187053082976e-09
1.460000000000000000e+02,7.282147329590316076e-09
1.470000000000000000e+02,7.010489522230045623e-09
1.480000000000000000e+02,6.743242408902005991e-09
1.490000000000000000e+02,6.494379256594129401e-09
1.500000000000000000e+02,6.316774658898793859e-09
1.510000000000000000e+02,6.183475065313359664e-09
1.520000000000000000e+02,6.045162592727137962e-09
